Formula,Result
53*91+55*23-77-93*37**1-39+(9*39/65)/37+84**1,5391*5523*+77-93371^*-39-939*65/37/+841/+
13**2+73+14+92-76-46/40-53+97**2-(32**2-24-23),132^73+14+92+76-4640/-53-972^+322^24-23--
8**2-96-75+14+78**1+31/66-28/22+38**2-33**2,82^96-75-14+781^/3166++2822/-382^+332^-
56**1-44/72*14/48-28**2+74*22**2+71-20/(59*60),561^4472/14*48/-282^-74222^*+71+205960*/-
(79+(49+(93**2+(97*64*36-36**1-60)+95*73*38)*2+55)),7949932^9764*36*361^-60-+9573*38*+2*+55++
70/36+63*59/65-79*69+15*46+53+96*51/78*57+73,7036/6359*83/+7969*-1546*+53+9651*78/57*+73+
25**1-99**1-(39+63+45**2+45+(42+68**2+19*80*36)),2563^991^-3963+452^+45+42682^+1980*36*+*-
56*75*48+25-19/8*37-18-(95/9*(19/52+20/47)-81),5694*48*25+198/37*-18-959/2452/2047/+*81--
93+65-25+4*28**2+33*(12/46**2+66)*49/20**2+96,9365+25-4282^*+3312462^/66+*59*202^/+96+
44+60*58/21-7-31+59*79*99/(42**1-85**2+70)/(30),446058*21/+7-31-5979*99*421^852*-96+/30/+
21/38/20**1+12-47-90*77+52*53/20**1-58-59/47,2173/201^/12+47-9077*-5253*201^/+58-5947/-
61+(21-55)-63-97-4+(17/87-62)*49-55/2+31/98+(3),612155-+63-97-4-1787/62-49*+552/-3198/+3+
(82*78/9*40/(79-(5-31/4+93-16-3**1-66+55**2))),8278*9/40*795314/-71+16-31^-66-552^+-/
37/60+83+21-62*80-46**2-96-80/37-58-65-50-33,3760/83+21+6280*-462^-96-8058/-58-65-50-33-
13**1+49-35*(52*46*39/50*58/88)/20/2*(94-87)/64,131^49+355246*2*50/58*88/*20/2/9487-*64/-
(90/98*23)+94**2-9/85*47+22*8**1+(26-7-16**1),9098/23*942^+985/47*-2281^*+767-161^-+
(51+45-82/46+68/74/87)+16-84+(73/(14*53*75*77)/82),5145+8246/-6874/87/+97+84-731483*75*77*/82/+
(48**1-(41**1+32/12/92)**1-84**2-68-24**2+39+25),481^411^3212/92/+1^-842^-68-242^-39+25+
68**1+86**2+37+61/74-86+53-56*12**2-(24-97-91),6858^862^+37+6174/+86-53+56122^*-2497-91--
8*1**2-(52*21*38+77*61*70/31+85+38-90/52*10),812^*5221*38*7761*70*31/+85+38+9052/10*--
56/48/88**2+63-89/24*63**2-58-19+57*77+60*10,5648/882^/63+8924/632^*-58-32-5777*+6010*+
12-71*39**1+39**1-73+50/77+25*30**2+77**2-30,1271391^*-391^-73-5077/+25302^*+772^+30-
38/64+77/(9*43*26-76*15/15/(64-60**1-74)/2**1),3899/77943*26*7615*15/64601^-74-/21^/-/+
93**2-19/42-29+73/47/90/68-42*12+60+57+8**2,932^1942/-5-7347/90/68/+4212*-60+57+82^+
78*11-(34+37/15-23/41-35)+57-50**2+76*37*93*51,7811*343715/+2341/-35--57+502^-7637*93*51*^
(55-7)+14*54*98**1+(73+28+40+39+73/93-46-73*45),557-1454*981^*+7328^40+39+7393/+46-7345*-+
81-37**1-94/10+91+(40*55+56/56**1+9-38*(77-62)),81371^-9410/-91+4055*56561^/+9+387762-*-+
47**2-53-59*33**2-28*91+82/11/44**2+39*36-88,472^53-59332^*-2891*-8211/4455^/+3936*+88-
47/47*61+61+65**2+56-57/5-13-92-32**1+(70**2),4747/61*61+652^+56+575/-13-16-321^-702^+
70-49**1-45/13-8+96*57**2-(48/(17/82)**2-81+81),70491^-4513/-8-96572^*+481782/2^/81-81+-
18*57+9-38*25/42/93+18+69/52*38*25**1-63*55,1857*9+3825*42/93/-18+6952/38*251^*+6355*-
85+50**2+59-64-44-(67*16**2+8/93+76)/87-27+(30),85502^+59+64-44-67162^*891/+76+87/-27-30+
(28-46/29+15/23**2+86)+24/93-77-26**1-43+3**2,284629/-15232^/+86+7093/+77-751^-43-32^+
25/21+(72*96)/14**1-17*1+50-27+77/95*87+(23**2),2521/7296*141^/+171*-50+27-7795/87*+232^+
12-(19/75-79*90+7**1-83)+60/46*4/28/2/34**2,121975/7990*-601^+83--6046/4*28/2/342^/+
(28/(46**1-(64**2-97*70+90)*74-52**2-92*97-23-60)),28461^642^9770*-90+74*-522^-3497*-23-60-/
(74/43/37/13)+83+58/78-67*78/66+14+66*84*58**2,7443/37/13/83+5878/+6778*66/-14+6684*902^*+
58+45*63/77-26/81*(56/28**1+35)-2*28**1-58-(86),584563*77/+2681/56281^/35+*-2281^*-58-86-
2**2+91/93*76**1+12**1+15**1+73+29+(49/72**2),22^9193/761^*+121^+151^+73+29+49332^/+
98/59+87**2-40/22-90/22/86-11+98*20-40+24-9,9859/742^+4022/-9022/86/-11-9820*+40-24+9-
49-91-79**1+1/98**2+22-34+(16/59/40-70/28+55),4991-791^-1982^/+22+34-6559/40/7028/-55++
39+52*(44*48-(17-21*72)+2*32/23)-15**2-54-85*72,39524448*172172*--232*23/+*+152^-54-8572*-
69-81+81+87*4+26+65**1+(43+(79/7-1*46/95**2)),6981-81+874*/26+651^+43797/146*952^/-++
74*77/65+9+57+(18*99)**1-7*40-83*80-65-(78-99),5577*65/9+57+1899*1^+740*-8380*-65-7899--
35**2+76*70/47/99+9-9**2-65-63/13+99+43-68,352^7670*47/99/+6+92^-65-6313/-99+43+68-
99-(4/88+(69**2+73)/14-35*82-89)+17+49*12*(96/34),99488/692^73+14/+3582*-79--17+4912*9634/*+
30-95/99+(58**1+21)+77**1+43+56/23*64*27+75*20,309599/-581^21++771^+43+5623/9*27*+7520*+
26**2+5/(40*30*29**2-99*3-14)**2-99*74**2+46,262^54030*592^*993*-14-2^/+99742^*-46+
90/88/33*(64*9+66*26/19/37/96*9**1+(87*31)-(1)),9088/33/649*6626*19/37/96/91^*+8731*+1-*
41*34+80**2+22/59-63/20**2+37-95-(1*70+(26/(37))),4134*802^+2259/+63202^/-37+95-170*2637/+-
(5+7-(56-27*26-45**2+29+23*26**2-18+(99**2+46))),57+562726*-452^-29+23262^*+18-992^46++-
24+1/82*50-79+82**1+32-65+20+36*62**2-(44*26),24182/50*+79-821^+32+65-20+36622^*+3526*-
53**1+55-(93-57*66*10)+49-(44+9)/16/92**1+26*11,531^55+935766*10*--49+449+16/921^/-2611*+
33-53+(44/94)**2-2*45+(82+(82/(56/(70*83*16**1+(23))))),3353-4494/2^+245*-8282567083*161^*23+^/++
