Formula,Result
(-183**2--659)*-327/-776,-1832/-659--327*-776^
(-814--226**1-992/72),-814-2261^-992-338/-
-36+-722+-787/-191+851,-36-722/-787-191/+851+
-904+(181/-673**2+417),-904181-6732^+417*+
-688**1+91+-145+711,-6881^91+-145+711+
219-674*-166/-981*-470,219-725-166*-981/-470--
799-(-894--706/464-799),799-894-706-730/-799--
-776+836**1+852+(-855),-7768361^^852+-855+
-983+-972+413+-71/694,-983-972+413+273694*+
78-281**1--295*281,78281840^--295811*/
117/-414**2+2/391,117-4142^/2391/+
-25**2+-351/(-736**2),-252^-351-736837^*+
955+866*-14+684--125,955866-14*+684+-125-
-802--586/-274+889*-914,-802-586-274*--866-914*+
688-(-970/(83*-842*-301)),-229-97083-842/-301*/*
-872*-287/375+-995+-435,-872-537*375/-995+-435^
-796*102--219--759/805,168102*-219--759805*-
(-402/456/332/134-235),-402456/332/134/235-
-672/32/126*-483+-563,-67232/-502/-483*-563+
-954--760+866*622+26,-954-580-866622*+26+
903**1--48/-727*-407,9031^-48-727/-407/-
384**1--604+617+-47,4671^-604-617+-47+
146+(-941*-981*(-305/-971)),146-941-981*-642-971/*+
286*653/667/-156/830,286653*667/-156/830/
327+(-52-814)--632**1,327619814-+1371^-
247/106+810+704**2,247106+810+-7712^+
-625-687+278**1+-176,-625687-2781^+-27+
(984**1+-431--54--443),984-404^-431+949--443-
-205-(717-49**2--26),840717492^--26--
419*-514+-515/46*(867),-445-514*-51546/867*+
466--693/400*-230/793,466-693400/389*793*-
-815+-918*174-984*315,-815-918174*+984315*-
-34--296/-769*-850*791,-34-296-769^-850*791*-
-183-783+962/-683**2,-183783-962-6832^/+
194--481-(996+256**2),194-481-9962562^+-
912--273+-456**2+89,912-273--7542/+89+
-749*-700-106/-515**2,-749-700*106-5152^/-
634/-480*-646+293--165,634-480/-646*293+-165-
-869-213--662/(-463/-310),-869213--662-463-310//-
(-659/956**1-234**2),-6599561^/234803^/
-655**2--475-557+(-463),-6552--475-557+-463+
-181+-229+-646*952**1,-181-229+-6469521^*+
-439*449+518--36+(347),-439449*518+-36-347+
(830/763+(-693*-694)--191),830763/-389-694*+-191-
-147/-149*-148--224**2,-147-149/631*-2242^-
-34+(163/-677/633+(-628)),-168-267-677/633/-628++
-318-176*-307**1-988,-573176-3071^*-988-
-781/-370*292/(-899*562),-781954/292*-281562*/
-293**1-246*-833/-135,-2931^246-833*363/-
-774**1--685*539/830,-7741^650539*830/-
-86/78-503-(-302/(487)),-8678/503--302487/-
346-155/(-687/144+-946),346155-564144/-946+/*
(-168/-884/-845--385**1),-168-884/-845+-3851^-
134**1+900*525/543,1341^900525*543/+
(889**2+595/(987/304)),8892^-979987304//+
-508*683+-881+(-50**1),-508683*-881+-501^+
(121-233)*(860**1+592),121233+860643/592+*
211/46**1+-36/557,211461^/-36185/+
-887+-352+-651-470-(-495),-887-440+-651+470+-115-
(-206/-513**1+910)/841,-206989360^/975+841/
138**1-651-(195-538),1381^651--745538-/
-736**1+155+989+767,-7361^155+989+767^
597*380+-649**1+702,597380*-6491++489+
-44+911/604/277+-178,-44911604^277-+-178+
608*-476**1+-694--91,6082041^*-732+-91-
401**2-191*-45**2,4012^849-452**-
(-486+(-290**1+-966)**1),-486-2901^-966+-155^*
(648-464/139-261/-242),648464139/-261-242/*
172-(-195-151**1-260),1725981511^*260--
-140**1-(960*-922/(-663)),-140728^960-922*-663/-
-701*(397-219*-575)/924,-701397219-575^-*924/
-612-(-197**1-635+-122),-612-1971^635^-122/-
-366--561*758/309-(155),-366-821758*309/-155-
-716*-585**1+-823+460,-716-5851^*-823+191/
-644/-826--410+802**2,-285-826/-410-8022^+
474**2--390+-913+491,474-593^-390--913+491+
-23--350**1--396**1,-23-350-656^--3961^*
-5*853/-80*(210+224),-5853*-80/210224+^
-617*-880/682**1+311,-617-880+6821^/311+
(659+911+-432*186+270),659911+-432629*+270^
227**2+-159+(-193--259),2272^-159+-193-259-*
998**2+188+-199**1,4112^188+-1991^+
-551-72*525-321-43,85272525*-321-43-
-81*-301/-266+(246--617),-81-301*-266/246-617^+
-567-(-475*-966)+-815+471,-567114-966*--41+471+
70/-248--895/85/-282,70-248/-89568/457/-
38+-22**1-(-868*(-232)),38-221^+-868-232*-
-115+486**2+(-527-281),-1154862^+-240281-+
751+694**1+430**2,7516941^+4302^+
246--44**2-(458/(195)),246-442^-458195/-
-258-43/931**2+999,765439312^^-999*
-459-993--979**2+-171,-459993--9482^--171+
830-657/-13**1-936,953657-131^/-2-
-374-563/(952--485+182),-374563952-485-182///
(641--933--183)**1-(-515),641-933^-183-1^-515-
248*265-727**1--346,248265*727-932^--346-
-363+964/811+743--234,-363-205811/+743+-234-
(408**1-277)--908--970,4081^471--908--970-
(432/630/-80/-967+837),432630/-720/-967/837+
(-370/368)*-837-244**2,-370368/-837*2442^*
