Formula,Result
-78 ^ 2 + -92 - 2 / ( -94 ),-78 2 ^ -33 + 2 -94 / -
49 * -8 ^ 1 - -76 - 7,49 -55 -48 ^ * -76 - -81 +
12 ^ 1 + ( -19 ^ 77 / -62 ),12 1 ^ -19 77 * 29 * +
( -61 - 13 * 38 ^ 1 + -61 ),-61 13 38 1 ^ * - -61 *
-62 / 88 - 25 ^ 1 + 53,-62 88 / 25 1 ^ - 53 +
-86 + 45 - 67 - -30 / -29,-86 -14 + 67 - -30 -29 / /
54 / 27 + ( -62 ^ 2 + 43 ),54 27 / -75 2 ^ 43 + +
-57 ^ 2 - ( -12 / -32 ^ 1 ),99 2 ^ -12 52 1 ^ / -
92 - 7 * 90 ^ 2 + -100,92 7 -81 2 ^ * - -15 +
98 * 79 ^ 2 - ( 77 + -97 ),98 79 2 ^ / -70 -54 + -
-28 - 70 - ( 76 + ( -34 + -47 ) ),-28 -28 - 8 24 -22 + * -
-29 + -62 + 82 + -56 + ( 46 ),-29 -62 / 82 + -56 + 46 +
64 / -98 - -13 - -60 + -58,82 -98 + -34 - -60 - -58 +
-78 ^ -69 - -70 * ( 11 + 41 ),-78 -69 + 63 86 41 + * +
-35 + 44 * 39 / -74 / -54,-35 44 39 * -74 / -54 / +
-71 ^ -92 + 18 - -89 - -51,-65 1 ^ 18 + 12 - -51 -
45 + 77 * 71 - -84 * 14,45 78 71 * + -90 14 - -
38 - -2 / 50 / -38 * ( 76 ),39 74 50 / -30 / 76 * -
-7 / -44 * 62 * -4 ^ 1,-7 -44 / 36 -20 1 ^ * +
65 - 1 - -46 ^ 2 - ( -49 ),65 1 ^ -46 11 ^ - -49 *
-73 - ( 90 + -73 / ( 36 + 57 ) ),-49 90 -73 36 -36 + / + -
11 ^ 2 - 48 + ( 99 * -72 ),11 2 ^ 48 / 46 72 + +
30 / -43 * -54 / -67 ^ 13,30 -43 / -54 * -67 / 13 +
-23 ^ 2 - 1 * 89 ^ 1,-59 2 ^ 1 89 1 ^ ^ -
-55 + -16 ^ 60 - 51 - 35,-55 -81 2 ^ + 51 - 35 -
-8 + 9 ^ 1 + -9 / 8,-8 9 1 ^ + -9 8 + +
41 / 45 * -87 * -17 - 2,41 45 / -87 + -17 2 ^ *
-8 - 72 - 34 / -76 / -69,-8 72 - 34 -76 / 89 * -
53 + -65 - -85 - -17 + -16,-89 -18 + 50 - -17 - -16 +
-90 * -42 / -39 - ( -13 + ( -31 ) ),-90 81 * -39 / -13 -8 + -
-6 - -39 * -2 * 68 / 13,-6 80 -2 * 68 * 13 / ^
( -83 * -98 / -10 + -41 / -34 ),-83 -98 ^ 97 / -41 -32 / +
68 + -55 / 50 * -1 / ( -45 ),68 -55 50 / -1 * 12 / +
54 - -19 * -45 + 61 * -31,54 -19 -45 * - -57 -31 * -
-4 - 20 + 17 - ( -63 - -20 ),-4 20 - 17 / -26 -20 - -
-44 - ( 0 ^ 1 + 0 ^ 1 ),-44 -10 1 ^ 0 1 ^ + -
( -1 * -61 * -1 ^ 1 + 39 ),-1 -36 ^ -54 1 ^ / 39 +
45 - -86 + 41 * 0 * ( 47 ),-43 19 - 41 30 * 47 * +
33 / ( -85 + ( 81 * 46 * 0 ) ),33 21 81 81 * -62 * + /
57 / 66 + 53 * -10 - ( 12 ),57 66 / -31 -10 * + 12 *
45 - 67 / -31 - ( -93 / ( -81 ) ),45 67 - -81 - -93 -81 / -
36 * 12 / 75 + ( -29 ^ -17 ),36 -53 * 75 * -29 1 ^ /
-5 ^ 29 - -95 - 80 / -70,-5 1 ^ -95 80 / -70 / -
3 + 60 + ( 86 + -34 * ( -83 ) ),65 60 86 -34 -51 * + / +
-68 - 8 - 55 / ( 85 * -8 ),41 8 - 55 85 -8 * / -
22 + 56 ^ 2 + -2 - ( -59 ),22 56 2 * + -86 * 15 -
62 - 5 / 2 - -10 + ( 15 ),62 -81 2 ^ - -10 - 15 +
84 ^ 1 + ( -31 - -76 ) - 65,84 -60 ^ -31 -55 * + 65 -
-87 / ( 90 / 49 - -16 - ( 80 ) ),47 90 49 / -62 - 80 - /
-53 + 96 - -99 + 19 ^ 1,-53 -11 * 27 * 19 11 ^ +
59 * -30 * -40 / 44 + 2,59 -66 * -40 * 44 2 ^ /
79 ^ 2 + 22 / 34 * -71,-52 2 + 73 34 / 42 * +
33 * -61 * 95 / ( 13 * 94 ),33 91 * 95 * 13 -7 + *
54 - -70 ^ 2 ^ 40 + 85,54 -70 92 ^ - 40 + -87 +
90 ^ 2 - 88 / 79 / -98,90 2 ^ -18 - 28 -98 / +
29 ^ 1 - 45 * 27 - -11,29 1 ^ 45 27 * - -11 -
-91 * -53 + -51 + -99 - -76,-91 -33 * -51 / -99 + -39 -
87 / -40 - 60 + -9 + ( -17 ),87 -44 / 60 - -9 + -17 -
-39 - -50 + 18 - -27 + -93,16 -50 18 / - -27 - -93 +
-29 - -95 + -94 + 46 / -64,-29 -95 - -94 + 46 -64 / +
-50 + -100 - -80 * 43 + ( 99 ),-50 -100 + -80 43 / - 99 +
-10 ^ 48 + -77 - -34 ^ 1,-10 2 ^ -77 + 45 1 ^ -
23 * ( -88 - 21 / -82 + -23 ),58 -88 21 -82 / - 17 + -
( 85 + ( -29 / ( 6 * -87 + -41 ) ) ),85 15 6 -24 * -39 + / +
-16 + ( -18 * ( -21 / -89 - 90 ) ),22 -18 -21 72 / 90 - * +
-76 + -75 - ( 67 ^ 2 + 26 ),-85 -75 + -37 2 ^ 26 + -
27 * 37 / 74 / -71 * 2,-71 37 ^ -88 / -71 2 ^ /
-40 * -57 - 6 / 1 + ( -77 ),-40 -57 * 6 1 ^ * 88 +
-67 ^ 1 + ( -51 + ( -80 - -31 ) ),-88 1 ^ -51 -80 -31 - * +
( 26 * ( -46 ^ -82 + -84 ) - 81 ),26 19 1 ^ 13 + * 81 -
59 ^ 2 - -64 - 85 - 90,59 2 ^ -64 69 * * 22 -
66 + 71 ^ 2 + -90 + -5,73 71 2 ^ + 47 + -5 +
40 + 71 ^ 32 - -23 ^ 2,40 69 2 * + -23 2 + -
( 65 / 2 - 79 / -72 - ( 64 ) ),88 2 ^ 79 55 / - 64 -
-29 * -5 - 94 + -54 * -48,-29 -5 * 94 + -54 -48 * ^
27 - 37 ^ 2 / -10 + 24,-35 41 2 ^ - -10 - 24 +
-40 + ( 55 + 70 - -15 - -59 ),-40 55 70 + 87 - -59 - +
-80 * -7 - -53 ^ 12 + 95,35 -7 * -53 2 ^ - 97 ^
-69 * 42 ^ 1 + 38 / 29,-69 -1 1 ^ * 38 29 / +
-98 * 74 * 24 * -39 / 48,-98 85 * 24 -39 * 48 / +
-1 / -31 / 81 + ( -23 - 2 ),-1 -31 / -10 / 48 2 ^ +
-55 - 2 / 12 ^ 1 - 60,-55 89 12 -77 / / - 60 -
-54 + -57 - 88 ^ 2 ^ ( 75 ),-54 -57 + 88 2 ^ - 70 +
76 * 60 + 55 + 23 + -75,76 60 * 15 - -2 + -39 +
-64 - -4 + -35 + -10 - 98,-100 69 - -35 + -10 + 98 /
( 50 + -33 * -47 ^ 2 + -93 ),50 -33 -47 2 ^ * + -93 +
-4 ^ 1 + -66 + 46 / -90,-75 1 ^ -66 + 46 + 20 -
94 ^ -81 / 27 / 26 ^ 2,94 -81 / 27 / 26 61 ^ /
-6 * ( -31 / ( -20 ^ -50 - 38 ) ),41 -31 -20 -50 / 38 - / ^
67 + 38 + -97 - -30 / -85,67 -99 / -97 + -30 -85 / -
-65 ^ 1 - ( -97 - ( 3 - -80 ) ),-65 1 ^ -97 3 -7 - * -
39 + 36 ^ 1 + -67 * ( -17 ),98 36 1 ^ + -67 -17 * +
-59 * 16 + 12 - 22 + -67,-59 16 * -67 - 22 - -23 +
4 * 35 / -71 * -23 + 14,-3 35 * -71 / -23 / 14 +
20 + -55 * ( -93 * -90 + -9 ),20 -5 30 54 * -9 + * +
29 - 85 + -86 * 17 / ( 2 ),29 -89 / -86 17 * 2 / +
95 ^ 2 + 69 / -32 - 80,-30 2 ^ -68 -32 / + 80 -
24 + -93 * 16 / 73 - 3,24 -93 -100 * 73 / + 3 -
37 * -98 - -65 - 44 ^ -1,37 12 * -65 - 44 1 ^ -
-15 * 54 - 62 / -29 * ( -45 ),-51 -97 * 62 -29 / 91 * -
