Formula,Result
2.2+0.17*6.44*1.77*2.08+3.5+7.04*9.48+9.02-3.44,+2.2*0.17*6.44*1.77+-+3.5*7.04+9.48-9.023.44
3.06+(3.24*5.18*(9.98/6.99-3.72/9.58/1.59)+7.44)*6.95,/3.24/9.98-6.99/3.72/9.581.59*+5.187.44*+3.06/
(5.15+7.06*(2.06-7.77-1.34)+9.21/4.13)*2.84*4.45*9.17,+5.15-+-7.771.34*+7.06/9.214.13**2.84*4.459.17
1.27*7.03/(6.91*9.72)+7.15-8.54*4.56+4.73*(3.87+(6.25)),*1.27*6.919.72/+7.03-7.15/8.54+4.566.25+3.87*4.73
8.04-6.16/1.02/3.06-6.6-4.69/1.2*8.19*(3.82+0.97),-8.04/6.16/1.02-/-6.6/**1.2+3.820.97*8.19
3.06-5.57*5.63+8.15/2.41/1.01/0.02+1.45/0.13+5.83,-3.06*5.57+5.63/8.15*2.41/1.01+0.02/1.45+0.13*
3.33*5.52*1.28/0.74/4.68+3.5+4.7*9.53*8.12*7.54,*3.33*5.52/1.28-0.74+4.68+3.5*4.7*9.53*-7.54
1.09+(2.78+1.25)+(7.27/0.45-1.5/(4.44*2.01+6.98/5.63)),+2.781.25+/7.27-0.45*/+2.01/6.985.63/1.5+1.09
(1.34*9.4*(2.72*7.98-6.35*2.41-3.69*0.24+4.58)*(0.35)),*1.34*--7.98*--2.41*3.69+0.244.58*0.35*9.4
3.51-2.11*(4.25*2.6*3.92+8.13-5.47+3.66*9.02/5.88),-3.51*4.25*2.6+3.92-8.13+5.47*3.66/9.025.88*2.11
1.86-4.0-1.27*6.77/7.98/0.56/8.24/7.57-7.51/4.16,-1.86-4.0*1.27/6.77/7.98+-/8.24-7.57/7.514.16
9.98-0.47+1.27/0.91*9.15*4.52*1.0/1.88/(9.67/4.13),-9.98+0.47/1.27*0.91*9.15/4.52/1.0/9.674.13/1.88
1.72+0.4+1.73-(4.25+6.17-(9.11+0.03-0.53-4.15/0.69)),+1.72+0.4+4.25+9.11-0.03-0.53/4.150.69/6.17-1.73
8.7+3.24+2.42+7.96+9.92-8.15-0.24/9.89/(5.76-3.23),+8.7+3.24+-+7.96-9.92-*/0.24-5.763.23/9.89
7.57/8.67-1.12*4.86-1.32+5.74+0.54+(5.54-0.78)*2.37,/7.57-8.67*1.12-4.86-1.32+5.74-5.540.78/+0.542.37
(5.79+3.85)-1.11-1.4+5.73-0.9-(6.79/0.13/(8.83-9.1)),+5.793.85--1.11*1.4--/6.79-8.839.1/0.13-0.9
3.38+6.51*3.92-(0.56+9.12/5.52)+3.82/1.18*7.74*4.24,*3.38*6.51+0.56/9.125.52-/3.92/3.82*1.18*/4.24
0.2*6.13+3.1-0.11-6.95/4.68-1.95-5.88-8.65*3.47,*0.2+6.13-3.1*0.11/6.95-4.68*1.95-5.88*8.65+
(6.07/4.42+6.99+0.51-2.32)/0.24-4.6-(2.48/7.64-9.68),/-+4.42+6.99-0.512.32/-0.24/2.48-7.649.68-4.6
0.72/4.7*(2.85*(3.15-2.04)+9.09)-7.08*(0.2*0.47*2.74),/0.72-3.152.04*++9.09*-4.7*0.2*0.472.74*7.08
5.43-5.82/7.28/8.45-3.5*0.34-4.82-4.62+6.31-9.0,-+/5.82/7.28-8.45*3.5-0.34-*+4.62-6.319.0
4.2/1.49+5.8/(9.03-(0.17-4.55*2.98+7.0*3.23*4.66)),/4.2+1.49-0.17*4.55+2.98*7.0*3.234.66-9.03/5.8
3.47*6.43*0.12/0.3-1.39-1.16-9.47*2.56-7.99+7.99,*3.47*6.43/0.12---1.39-**9.47-2.56+7.997.99
