Formula,Result
63+-13--23+-2+13,++-+18-13-15-213
97-60+-57+-70--40,-++*9749-57-70-40
-17*65/-61*-23/-51,/***8565-61-23-51
-89--93--95/-9/62,/--89-93//-18-962
32--48/-1-18+-36,+--32/-486018-5
50/-92*-6*-23-62,--*/50-92-6-1962
-100-52+56/-89*-1,---10052*/56-59-1
34*-81-37-70+-90,+--*36-813770-90
13/37*-5--44-54,*-++1337-5-4454
16+-24*8-52/-98,-+16*-24-3/52-98
70/-4/55+24/-75,+//70-455/24-75
-19-50--88*-82*-51,---1950*+-88-82-51
23+-42--68/-51-71,--+23-42/-681271
26+-68-89/-80--19,--+26-68*89-80-19
-32/89--35*94/-77,-/-3289/*-35-87-77
32/-31-28/-17/25,-/32-31//281325
-100/-9+-72-7--20,--+/-100-40-727-20
-4+7+-72+-75-50,-+++-47-72-7550
-84+-15--97+-84/-1,+-+-84-15-82/-84-1
-39*-76+-83-11/-3,-+*-395812/11-3
-52*-99+-82+37--81,-++*-52-99-7037-81
68+-10+-44-43/41,-++68-10-44-4341
70+66--87+-1-94,*+-+7066-87-194
-57+98*-92--56*-64,-+-57*93-5*-56-64
-16+12--63--17+-1,/--+-1612-6369-1
97*-2*-45-0+-75,+-**97-2-310-75
-2/-90+-26/-97+-56,*+/-2-90/-26-6-56
-23-84/53+98/-41,+--23-8453/98-41
9*85-63*-84*-23,-*6585**63-84-23
73+-19+39--19--29,--+-73-1939-19-29
1--62*-46/85/1,-1//*-62-46851
88*28--98+73--28,-+-*8828-9873-28
-18*3*85/27/-76,//**-183-5127-76
31-0+-2/6*-9,+*310*--26-9
-33+-100--73*37*40,-+57-100**843740
-13--78+-5+-62*36,+/--13-78-5*-62-99
-91+-97*-58+2/-15,++-91*87-58*2-15
80*-73+-43+-24+8,-/+*80-73-43-248
5*-40/14*-87+-77,+*/*58114-87-77
-26*9-63+93*80,+-*-26963*-3980
-85/16--18-69-52,-+-/-8516-186952
47--13/67/51*-86,-47*/+-136751-86
22+-29/-89*-60-9,-+23*/-29-89-609
-63/54/11+38--98,-+//-6354238-98
-47*-7*47*-85--98,-***-47-747-85-98
-88--94--56+-46+-22,++---88-94-56-9589
45/-78-22*5*75,*/45-78**22575
0*16*76--67*52,-**68-6876*-6752
80/76/-49-72*-10,*-/8076-49*72-10
97-5*60/-67+15,*-97/*560-6715
51+85*-97/-51+-2,++31/+85-52-51-2
-23-82/-3+-86*78,+--23/82-3*-8678
38+18*-4/-89+-19,+/38/*18-4-20-19
-98/60/-95+72+-98,++//-9860-95-24-98
-15+-58*-70*-89--35,-+-15**-58-70-8963
72/33--7+-36*-67,+-/7230-7+-36-35
41+80*-91-46+-68,--+41*80-9146-68
-87*43/81--70*31,-/*-164381*-7031
-59/79--95--39/-41,-//-5979-35/-39-41
50/7*-55/16+-49,+/*/6329-5516-49
16+12-42+12--40,-+*-16124212-40
-11-33--38/13/-21,---1133//-6513-21
-11+17*2/-70*68,+-11*/*172-7068
77-63*78/97-67,-+77/*63-54-467
23*79/-14--68/-89,//*2379-14/-68-89
-47*19*-71+-2+-52,+-**-4797-71-2-52
-3--19--50/-71--49,----3-19/-50-71-2
-30/21--97-17/49,--/-3021-97/1749
40-73--6-45*-51,---4073-6*45-96
-86*-70*-65+79*87,+/*-86-70-65*7936
-58-42*-79*-15-53,---58**-71-79-1553
11/-47/-97+82-38,-*+/11-47-978238
15-83+66*-23+-25,++-1583*66-23-25
-25*41+67*27/56,+--2541/*6727-3
-99/45+32+51+-48,+*+/-99452851-48
-64-55-3--66--51,-----6553-66-51
76*-26+-21-30/95,-+*76-26-21/-6135
-99+45/-83-51+84,+-+-99/45955184
5-6*-15--61*-46,---13*6-15*-61-46
-40--18+-54*-15*67,+/-40-18+*-54-1567
-36+44+10+-74+75,++-+584410-7475
34+-28--70*19*46,-+34-28*--70-7046
33/43-51/99/79,*/3343//-1001879
69*50*90+-5--83,-+**69-6390-5-83
-96--2*77/9+-51,+--96/*-277-54-51
35+-93+-47*60/-23,/+72-93/*-476017
4*-1*-21/95+-83,+/**4-1-2195-42
14--14/14-31+31,+/-14/-14143131
0/-54-12*-62+49,+-/086*12-62-38
12/-7--56/78--36,--/12-7/-565951
-52--36-87+33*-30,+---11-3660*33-30
-93*-10+92-48-0,--/*-93-1092480
-24*-77/-96--13/-69,-/*-24-77-96/-13-69
-85/44+-38*-77-96,-+/-854*26-7796
28*-96+14-73+-47,+-+*28-961473-28
-90--86*-38*-39-67,---90**-86-38-3966
-64+59*71--38*82,-+-64*5971/-3882
77+29/6-4--8,--+77/-8164-8
-29--35-84+86*7,+---29-3584*867
-71--16/-67/82+-92,---71//-16-6782-92
-13/49/-76--10--19,--//-1349-76-10-19
11*-7*-100--68/-7,-**-49-7-100/89-7
47-86+-62/-86-75,-+-4786/-62-8678
-75--25/65/-1/-85,--75*//-4065-1-85
-70*90+-95+86--6,-+/*-7090-958677
-30+49/-23/-68+10,++-30//-57-23-6810
-39/-66*45+69*75,+*--39-6651*6975
-58/-77/7-65/2,-//-58-777/142
18--39+-90/86/7,+/18-88//-90867
-29+-43/76+-52+-70,++--29/-4376-52-70
-2/-98*47+-74--31,-+**-2-9847-46-31
-34/-90*67/70*73,+/*/99-90677073
61/25--14-46--37,---/6138-1446-37
22+86+37+-74--66,-/++228637-74-66
27/-85*43*-96*28,****-34-8543-9628
20--83*83*90+18,+-20**-8383-8518
92-0+-77*-8--28,-+-920*-77-824
12--59/27/3+-64,+-12+/-4603-64
-14/65+-96--26--60,--+/-14-74-9619-60
-17/44+-52-42-60,--+/-1744-524260
-22--55+97/-80*32,+--22-55*/96-97-90
-4*-60--83/-19/61,**-4-60//-83-1961
73+-89+-46--39--49,--+-7362-46-39-49
-3-50+64/-20+-92,+*--350/6494-92
-56+-47/-25*-48+-99,++-56-/-47-25-48-99
-79/32+46+56*-32,++/-793246*56-32
75*-69*-32-22+49,+-**75-69-32-4549
81+39*-28/45+-51,++81/*39-2864-94
-66--42*2+53+-72,++--66*64253-42
86*-5-83/21--71,-+*86-5-8321-71
-83*96-67/-4-26,--*-8396/-4-10026
