Formula,Result
1-54*78**2-67,--43*54^78267
52/(4-(10**1-88)),/52-4-^10188
86-96**2-94*6,--86^962*886
35-(43/55**1+2),-10+^43^55122
(73+14-49)+89/(17),/-+731449/2517
26**1+5-5*70,/+^2615*570
51+71+49**1-4,-/+5171^4914
87**2-8*98-76,--^452*609876
(37/75-(29+74+92)),-/3755++297492
78-8+36**2-33,---7877^368533
53*15/87+20-85,-+/*5315873285
48+47-31+82**1,+-+484731^8218
79/62*91+40*24,++/796252/4024
1**2+94**2+17,++^882^94217
76**2+4+88+87,+++^7624889
51/91-(9/10/20),-/5177//91020
55*55-88**1+40,+-*8355^88140
1/34**2-18**2,-/1^342^182
45/14/(52/57-64),//514-/105764
26/85-94-16**2,-+/268594^162
(53*19*(51**1-65)),**5353-^51165
28**1+(45**2+25),+^721+^45225
11**1-89/88-79,-^^111/898879
51**2-84*69*47,-^512**456947
55+39*39/49/57,+55//+39394957
95+39-41+78-87,---+9539417887
96/48-87-41-13,---/9648874113
(98-(59/(2-67*86))),-98/59+2*6786
52-59/68*16-(72),--23*/59687372
(86/13**2+94-29),^+/86^5429429
26-21/6/96+72,+-26/^2169672
87-87**2+99+23,++-46^2329979
36*96/(27/56)+98,+/+3681/275626
56/68*(46-26)/69,/*/5668-462693
84+21-45**1+35,+-+8421^45135
15**2-76+13*27,+-^15276*1327
60-(99+20-22/91),-60-+9920/2291
98/44+93/14/77,+/9855*/931477
88**2+79**2-81,-+^882*97281
66*18**1-45*19,-*38^181*4519
92+84**2-87/83,-+92^8456/8745
29**2+46+75/98,+^^29246/7598
88/97*17*25**1,**-882617^2560
21**2+67+3*42,++^2128*342
16/59*79+87/37,+*/495979/8737
9*63/54+65*(74),++*96754*6574
73*27-84-84+40,+*-*7327848440
73*(6*48-65/29),*73-+648/6529
69/89+13/72*14,+/6989//137234
28+53+74*97**1,++2853*74^361
48+91/57*10-86,-*48*/91571086
56*(75*97/64-44),*56-/*6697643
24+81-66/59+38,+*/2481/669238
25**1+89+18-6,-++^25189186
(87+79*80**1+20),++87*79^80121
87**1-64*88/93,-^8728/*648893
54+98/84+59*4,++54/9884*9465
4**1+12+(81/48),++^45512/8148
2-30+67-79-32,*-+-230783232
74/(58/4+22+75),/74++/5842275
30+65-66/(96/46),-*3065/66/9646
39**1+45**2-40,-+^391^45240
25+79*53/91-29,-+25//79539129
81+2/89+84**2,-+81/224*842
1-68/8**1+36,+/1/68^75136
39-26-10/33*62,--5326*/103362
41*(21**1+98+78),*41++^2119878
2-44-6-12/9,-+-2446/129
57-73/92**2-6,+-57/73^6326
(12**1+21/1+(54)),++-121/218854
92+64/12+(24**1),++92/3740^241
74-85**2+(54*45),++74^8569*5445
15-(18*25/(80**1)),-43/*587^801
10*49+3*56**1,+*8449-3^771
22**2-61-17/(70),+-^22961/1770
33+(1**2-55**1),+33-^562^5550
13*23+38-32/40,--*132338/3240
(17-75*9-31*6),--17*759*316
61*(23*11+14-38),*61-*/23111438
79+22+17-73-90,--++422177390
(63/22**1-40*(89)),-/63^221*4089
69/13-88-55/90,--/696688/5590
45**2-10**1-18,--^452^99118
4*22+32**1-45,-+*422^326045
64*61+52-57*6,-+*646152*696
(50+33**1-42-69),--+50^3314297
57+22+(56*(24-46)),*+5722*56-2446
36/14/33/83+74,*///361433774
16-59-98/96/(61),--1659*/989181
68-36-96-66*99,---683696/6699
57-63*28/72*(84),-57*/*63287284
34**2-70+91/93,/-^34270/9193
50**1+86+48+(44),+++^31554844
51/46-91/85+11,+-/5146-918511
68/75-81**2-95,--/6875^53295
64**2+66/(69**2),+^642/66^6916
17+91*57+89/18,++17*9157-5418
18*46-74-(71-11),--*184674-7111
22+41-26**1-86,-^+2241*26186
70+90*40*65/48,+70/**90406548
