Formula,Result
1.09*5.22-3.99*6.33*4.39,4.396.333.995.22-*-**
8.25/(0.25/7.77/4.17+4.23),8.25/4.234.177.770.25//+
(5.8+9.28*(2.25*9.43)-9.59),9.599.285.8+-+9.432.25-
4.38/3.72*8.53+9.16*7.7,7.7/8.533.724.38/*+*
3.1*4.07/(3.91*5.54+5.01),4.073.1*/5.015.54/*+
0.29*(6.67/5.34+2.39)-3.41,3.410.29-+2.395.346.67/+
4.14-3.95-0.79*8.74*7.81,7.81*0.793.954.14--*/
4.79*2.35-6.64/3.21-6.43,6.433.21+2.354.79**/-
0.53+(2.46/(9.41/0.27-(7.18))),0.53+-/0.279.41/-7.18
9.6-(0.65/9.77+5.3*(8.41)),9.6-5.3-0.65/+-8.41
9.49*7.12-2.91+9.64/8.24,8.249.64-7.129.49*-+-
5.66/1.39-0.04/3.86*2.35,2.353.86/1.395.66/-+*
7.77-9.75/0.31-6.95-7.46,7.466.950.31+7.77-//-
9.54+8.59/(3.3/9.9+8.04),8.59--/8.049.93.3/+
3.07/3.1*(7.75*3.74/(0.83)),3.13.07/*3.747.75*/0.83
6.68/3.72*0.53+0.95/7.13,7.130.950.533.726.68-*-/
7.44+9.18-0.08-(6.78/7.11),0.089.187.44/--7.116.78/
(2.62-8.88-6.66)/0.27*0.09,0.090.27/6.668.88-/-*
8.15-1.98+4.63/8.59/0.57,0.578.59+1.98--+//
9.77-(3.34/2.49/1.83/4.51),9.77-4.511.83/3.34///
3.47-2.48+4.95*2.67*9.32,9.322.674.952.48/-+**
1.59/4.16-5.15*8.9/(8.4),8.95.15-//-*/8.4
7.6-4.15+0.29*3.57/2.63,*3.57*4.157.6-+*/
6.19-5.3*3.19-(5.1*2.25),/5.3-+*-2.255.1*
8.15*8.2+1.97-4.26-2.99,2.994.261.97/8.15*-*-
6.67/6.35*5.35/1.48/6.83,6.831.48+6.356.67/*//
3.4/4.29*8.32-2.21+(4.07),2.218.324.29/-*-+-
9.43/1.6-3.53-(1.02/3.8),3.531.69.43/---1.02/
7.86/2.05/6.26/3.22+0.57,0.573.226.26*7.86///+
8.82*(0.56/(4.96/2.55)*3.5),8.82*3.50.56*/*4.96/
9.3/4.28*3.87-6.63/9.66,9.666.633.874.289.3/*-/
3.99/(0.15/5.38+9.55)*3.34,3.343.99-/*5.380.15/+
4.28+9.27-(2.58/4.88+2.85),9.274.28+-2.854.88+/+
5.63/2.43+(4.29+8.65)+(6.65),2.435.63/++8.654.29+*
8.33+7.97*(4.46*3.97-5.74),7.978.33+*5.743.97/*-
2.89/3.87-5.59*2.61+8.86,8.862.615.593.872.89--*+
3.53-8.64+7.03-(6.71+5.8),7.038.643.53-+-+6.71+
4.89*(1.71*3.31+4.12)*8.08,8.08***4.123.311.71*+
1.26-8.55/(6.55+5.41)-5.31,5.318.551.26--/5.416.55-
4.04-(9.85+3.42-8.62)*8.91,8.914.04--8.623.429.85+-
9.3-(3.19-9.55/3.7+9.28),9.3-/3.79.553.19-/+
1.14/1.29*8.06*2.16*0.31,0.312.168.061.291.14/**-
(9.04+4.95-2.28/(7.29+1.24)),2.284.959.04+-/1.247.29+
3.46-(3.53/8.02)/6.49+1.53,1.536.493.46-/+3.53/+
7.81/7.73*0.28*0.08*9.6,9.60.08-/7.81/***
9.76/6.34/2.18/0.72*7.87,7.870.722.186.349.76/+/*
4.66+6.99+(9.45/8.49+6.82),6.994.66++/8.499.45/+
4.1+7.73+0.58/3.19-4.3,4.33.190.58*4.1++/-
9.1+2.85-2.94*4.51/1.39,1.394.512.94-9.1+-*/
4.35-1.52+1.51-0.64-0.24,0.240.64+1.524.35-+-/
7.23+(5.94+9.32*9.8+9.44),7.23+*9.89.325.94+*+
3.69/7.74+9.17/2.43-8.16,8.16//7.743.69/+/-
(4.54+(3.17+8.05)+4.31+8.42),8.424.31/-+8.053.17++
7.66/(4.58+7.96-9.13-4.19),7.66/4.199.137.964.58+--
1.59*(4.27/5.07/1.32-2.27),1.59*+1.32+4.27//-
2.9+0.74*7.24/9.82/1.87,-9.827.240.742.9+*//
2.58/4.3*2.67/4.81-(8.05),4.81-4.32.58***-8.05
0.12*2.87+3.66-6.06+5.91,5.916.063.662.870.12*+-+
5.04-(6.73*(2.53+5.33)-(5.3)),5.04-6.73-*-2.53+5.3
(3.4/2.09/6.95)*3.62/2.02,2.023.62*+2.093.4//-
(6.06+5.6)+(1.35+5.53+8.93),*5.66.06+8.935.531.35++
1.48-7.61-5.93+2.09-8.18,8.18+5.937.611.48--+-
4.69+3.95-8.65+1.75-8.22,8.221.758.653.954.69+-+-
0.25/8.28/(2.36/0.81*5.37),8.280.25/-5.370.81*/*
5.6/7.52+7.59+5.26*9.18,9.185.267.597.525.6/+-*
3.54+9.47-6.13/3.38/(6.93),3.386.13*3.54+-//6.93
2.64*2.73/7.09/8.94/(0.53),/7.092.732.64-///0.53
4.96+9.04*6.71-4.47*8.16,8.164.476.719.04/+*-*
9.43*7.67/3.78+(4.27-4.1),+7.679.43//+4.14.27-
8.64-7.84+(7.34/6.2)*2.65,/7.848.64-+*6.27.34/
1.55+9.2-2.69*9.22*4.85,4.859.222.699.21.55+/**
(9.15+9.59*3.78+6.84)*3.62,3.62*6.843.789.599.15**-
7.98/(5.6*(8.14/5.74+2.3)),7.98/5.6*2.35.74-/+
0.66+6.68-4.71-5.62+1.86,1.865.624.716.680.66--*+
(5.23-2.04-6.38*2.31-1.65),1.652.316.38*5.23-++-
7.05/8.4+9.63+4.78/0.98,0.984.789.638.47.05/+*/
4.97-8.82+6.94/3.07/6.38,6.38/6.948.824.97--//
(3.5+3.18/1.51+4.62*3.8),3.84.621.513.18/+/+*
5.88*(5.37*4.15+5.34+3.64),5.88*3.645.344.15+*++
6.0/7.67+7.32/8.5*7.97,7.978.57.327.676.0/-**
6.12+8.55-0.55+4.36/7.73,7.734.360.558.556.12+-+/
6.13+2.93*3.91-8.09-0.19,0.198.093.912.936.13+*--
3.77-5.34*0.33/1.73/9.8,9.81.73-5.343.77-*/+
6.82-6.41-9.95+1.93/2.44,2.441.939.956.416.82--*/
6.73/(5.56/7.74+8.94*6.01),6.73/6.018.947.745.56*+*
7.35+4.65/0.03-1.53/2.53,*1.53/4.657.35+/-/
2.25*5.5*7.14+(5.31+7.52),7.145.52.25/*+7.525.31+
9.39-2.25/(2.1*2.82*2.74),2.259.39-/2.74-/**
6.63-7.97+2.72/1.43*0.27,0.271.43/7.976.63-+/*
