Formula,Result
5 - ( 6 + ( 51 - 0 + -12 ) ),* -22 + 6 + - 51 -34 -12
38 / 83 - 26 / -16 + ( -53 ),+ - / 32 83 / -77 -16 -53
( 47 + 57 + 8 - ( 7 * 56 ) ),- + + 47 57 8 * -62 56
75 - -66 * 61 + 25 * 19,+ + 75 * 48 61 + 25 19
-28 * 75 * 86 * -96 - 92,* - * * -28 -56 23 -96 92
42 * 55 + 0 - 97 - 3,+ - * - 42 55 66 33 3
-51 * 24 * 68 - 63 - -5,- - * * -51 -43 68 63 71
44 * -84 / -53 - -37 * -92,- / - 44 -84 -53 * -37 -60
( -56 + -91 ) - 46 / -67 / 41,/ / * + 76 -91 9 -63 41
-100 + 86 * -97 - -66 - -62,- - + -62 86 -97 / -82 -62
77 * -91 / -49 - 37 - -77,- + / * -8 -91 -49 37 -77
( -91 + ( -92 * 54 ) - 14 * 54 ),/ + -92 * -92 54 * 14 -99
-70 / 80 * ( -79 * -73 ) - 20,- * / -70 80 * -79 -73 20
-64 - 97 / 60 + 54 / -78,/ - -64 / 97 60 / 54 -31
83 - -10 * ( -44 - -52 ) + 4,+ + / 83 -10 - -44 90 -16
( -51 / 97 * -92 * -17 / -67 ),+ * - / -51 48 -92 -17 -67
-48 / -20 + 99 - -55 + ( -99 ),+ - * / -22 14 99 -55 -99
-31 - 45 / -39 + 36 + 99,/ + - -52 / 78 -39 36 99
94 * -46 - -42 / 15 / -100,/ / * * 94 -46 -42 13 -95
-43 / ( -15 + 21 + 21 - 54 ),/ -43 - - + -15 82 21 51
10 + 13 + ( -13 * ( -50 * -2 ) ),/ + 10 13 * -13 - 32 -2
91 - -47 / -36 / 75 * -88,+ 19 * / / -3 -43 75 -88
-24 - -45 + -82 / 19 * 68,* - -24 -45 / / -86 19 68
-65 - 19 / 31 + ( -99 * 72 ),+ / -34 / 19 31 * -47 72
( 41 * -53 - 28 + ( -84 + -38 ) ),+ * * -65 -53 28 - 29 -38
53 - 20 + ( 56 - ( -97 - -5 ) ),+ - 53 20 - 56 * 94 -5
-8 * -24 * -91 / ( -66 + 60 ),/ * -78 -24 / -61 * -66 57
