Formula,Result
1963/7/19/41/,19/63/33/19/10
3617/65/86*25*,36/56/65*86/25
8977/12/17/88+,89/58/12/17+88
6839*85*4+48-,68*39*85+4-48
8616+40-4775//,86/16-40+47/75
9338*65/49/17+,20*38/65/49+59
8183-3726/-38-,81-83-51/26-38
3820*97*3*37/,38*46*97*3/37
610/57*64*62+,6/10*57*64+62
468766-49*+91+,46+87/66*49+91
877639*28/-91-,87-76*39/28-91
189524*25*4/+,18+95/50*25/4
8740*51+25-92-,67*40+51-25-10
5028*61+12*44+,50*28/61+12+44
8547*82/15/90+,85*47/77-15+2
981896*-19+73-,98-49*11+19-73
2120/77*3995/-,96/20*77-39/95
2412/68/373*+,24/12/68+3*9
7875*38+2840/*,78*75+38-28/30
4633*59/64*82*,46*33/59*64*82
886*12+38-62+,88*6+12-38+62
959997/95*80*+,95+99/97*95*80
135/2127*51//,1/35+21*27/51
704717*+67-95+,70+64*17-17+95
23*32*9715/+,2*53*78+97/15
723/154*72/*,72/81+15*4/72
8185*7081*58//,81*85+70*81/58
379075/-7-68+,37-90/75-7+68
9038*2759*93/+,90*79+27*59*93
4414*89+1271/-,44*55+89-12/6
2639/82+3076/-,42/39+82-30/76
902067/38/-14+,66-20/67/38+14
1554/62+1775*+,43/54+62+17*75
849/225+44*-,84+9-2*25*44
517738/-7043++,51-77/38+70*43
2554+74-99+29-,25+54-74+59-29
7754+63+9020*-,77+54+63-90*20
7770*99-5239/*,77*37-99-52/39
6642/94+431/+,66/2+94+43/73
2451+31+54+52-,24+51+31+54-52
4071*74-9213*+,40*71-74+92*13
708411/+6-93+,17+84/11-6+93
9916/99/66/54+,99/16/43/66+54
799875/77*88*+,79+45*75*34*88
4661*53/40*59*,46/61/53*40/98
973/24/19-5-,9/73/24-19-71
573*3552*-6+,5*73+35*52+6
319113/87*-85+,26-91/13*87+85
7267/4636*18*+,72/67+46*80*18
3634-2+5382*-,36-34+2-53*82
8622*6877/64*-,86*22-68/73*64
818731*61/98*-,81-52*32/61*98
6467-8738/36/-,64-67-87/38/83
953177*68/29/-,95-31*77*68/29
4983*424/4*+,49*83+28/24*4
589547*+7482/-,58+95*47-74/82
904/8328*44**,90/4-83*28*44
4234/3/66/90-,42/34/3/66-90
7680/62+5743*+,76/80+62+57*49
145210/-7921*-,14-52/10-30*21
1464/53*92*9*,14/64*53*92*9
1427*90*23-89+,14*27/90-23+89
193*4386/+61-,1*15+43/86-61
7076-6848/+78-,70-76+68/48-78
688915/50/-54-,68-89/42/85-54
165037/-8094/-,38-12/37-80/94
9379*3968+75/+,93-79+39/68/75
975*1/2752*-,9*61/1-27*52
211*30*65/78/,2*86*30/65/78
209/50+406/-,20/38+67-40/6
6640+7+59-70-,66+40+7-59-48
6277-9862/52*-,62-77-98/62*98
1198*89/6625/-,80*98/89-66/25
925772*+91-12-,92+57*72+91-12
178970-+8524*-,17+89*50-85*30
2451-1685/71*/,24*51+16/85*71
3938/38-98+16+,39*38+38+98+16
218/99+7172*-,96/8+99-71*72
197921*36*+90+,19+79*21*36+90
139*5878/58/-,1*39+58/78/58
959523/-16+8+,95-67/23+16+39
898*93+9+53+,89*8+93+9+83
8455*9940/49*-,84*23-99/40*49
3558+5124*+13+,35+58+17*24+13
5114*6455-22*+,96*14+64*55*22
3232*33-2316*+,32*32-33+23/16
7128/81-2447/-,71/28-81-59/47
628272-+9+68-,62+82*13+9-68
684+4077*57*-,6+84-40*77*57
927-3023*/80-,92-7-30*23-80
7535-19/18/60+,75*12/58/18+60
1077/3-77+62-,27/77/3+77-62
678479/12/-13-,67-36/79/8-13
442694*+2325/-,44+26*94-23/25
305532/+89+99+,63+55/32+89+99
96340/1/-71+,9-63/40/1+71
4871/77-5755*-,62/71-77-57*55
6786/10/23/4-,54/93/10/23-4
9228/25/7/77/,52/33/25/7/77
413787*77*76*-,52-37*87*74*76
