Formula,Result
724-635*804*-354/-722/-140833/182/723*-692*+-274-889*+111753*-490+,724*-635*804/-354/-722+-140/833/182*723*-692+-274*-889-111*753+490
-791-558/789*-615-183*+-80844*-111/183/-412/--980290*381*+506--951+,-791/-558*789+569*-183--80*844/-111/183/-412+-980*290*381-506+-951
59595/-466103/--26-266/-848*247*-960*-839*74*576*-170/177/+783-,595/95--466/103+-26/-266*-848*247*-960*-839*74*576*-170/177-783
430-226-539/-754*419*301*-731/-926/--860--252+772+-277-923*-168*-237*-,430--226/-539*-754*419*301/-731/-926--860+-252+772--277*-923*-168*-237
-557697*-193/332955/-576/+-483-934*+-872+-281*-41+-974--666+-196-462-,-557*697/-193+332/955/-576+-483*-934+-872--281+-41--974+-666--196-462
732-110*-54+336-910*-566//-451-589/-66/-70/916/+-704881*-774/-216-,732*-110+-54+336*-910/-566+-451/-589/-66/-70/916--704*881/-774-216
958216--901*776+-496/-698+-162-727/+-786+-575+756+633-262*-855/-836/+,958/216*-901*776/-496+-698+-162/-727+-786+-575+756+633*-262/-855/-836
-292337/741-226+-449+80+617+-92+634--138+-460--499--333+59+-350+,-292/-248-741+226+-449+-33+617+-92-274+-138--460--499+-333+59+-350
254396/-861*-188*575*-515+-845241*221*-823/-137+953180*66/-601/,254/396*-861*-188*575+-515--845*241*221/-823+137-953*180/66-601
851967-93/-115-344300*-438*+998+812-764*-139/582/-285*-366*-662-,851-967/-643-115+344*300*-438+998-812*-764/-139/582*-285*-555-662
269-136*380+673+69188*340/-992*281/--561-102/561*233/-18+970+,269*-210+380+673-69*188/340*-992/281--561/-102*561/233+18+970
-483-87*48+110100/-277--292*654-229/587/772/-432*+-454+-74+-809+,-483*-87+48-110/100-277+-292+654/-229/587/772*-432+-454+-74+-809
548212--967-104/384/466/611*20*-587/383-40/--539-353/-53*-886*+,548-212--967/-104/384/466*611*20-587-383/-40+-539/-353*-53*-886
379-37534*-551*-77231/+-616--254-139*--228936*-213-906/-937/+169+,379--37*534*-551+772/31+-616--254*-139--228*936+213/-906/-937+189
66482/-281*-93728/+-48-352+-910-617+-333-298/*-890--2-735+895+,664/82*-370+-937/28--48+352--910+617--333/-298--890--2+735+895
698441-819*--935817/+-33--619-596*-100-410-743*--237502*832/-920-,698-441*-819+-935/817--33--619*-596-100-410*-743--237*502/832-920
72556919/41/-461*-421--867-817*+44*260-712-193340/-148--742-,72-556/919/41*-461-421+-867*-817-44-260-712-193/340--779--742
900164*665-393/978*-174/-553-614-41/651/-657/--357+977-178/--94-,-259*164-665/-393*978/-174-553-614/-41/651/-657+-357-977/-178--94
507-557/235860/+161+654-84846*-424+-682+732391/+880-745*493-,507/-557+235/860+161-654-848*46+424+-682+732/391-880-745-493
907781743*948*+162/-393+-768+-342-219+321--210193/+-740+354-773/-,907+781*743*-98+162+-393+-768--342+219-321+-210/193+-740-354/-773
139-251-596*931*/-480792*--836-183*-161*+-858+346-926/-257*+-18-300*+,139--251*-596*931--480*792+-836*-183*-161+-858+-978/-926*-257+-18*-300
-24723*748958*-19/-96/-796+898-455*-97-620+-899-920*--458-467*-,-247*23-748*958/-19/-96+796-898*-455-97+620--899*-920--458*-467
139-417--713+168778*857/722/+835+-747--88151/--56+-411-458/+-586-,139--417+-713+168*778/857/-172+835--747--881/51+-56+-411/-458--586
479-695-277-672+-138-310-535+521477*738*59*--525--830+-228756*+,833--695-277+672--138-310+535-521*477*738*59--525+-830+627*756
-717-955*504/-780/-870*236*-698*-478+-574-61/-249104*-340-669*-824*+,-717*-955/504/-780*-870*236*-698+-478--574/-61+249*104/-972*669*-824
-681-488/-570*-249654/+-121962/-172/2/992/-327437*+513-643*--11+,-681/-488+-570+395/654--121/962/-172/2/992+327*437-513*-643+-853
895-454-463-312/-649*-390//221-823*-468*--423580/-492/477*177/863*+,895--454-463/-312*-649/-390-221*-823*-468+-423/580/-492*477/177*863
693-564/-455--524--877+-195+-414-484*-262+-7898*--619-204/-517/117*+,693/-564--715--524+-877+-195--414*-484+262--7*898+-619/-204/-517*117
665-832-718-617/-24*+663-542-512--495--722-71/114/-975-98-508*+,665--832+718/-617*-24-663-542-512-520--722/-71/114-975+98*-508
-440-686*-354*-947330/-145/459/983/-345643*--459-252/2*-895*-451*+,-440*-403*-354--947/330/-145/459/983-345*643+-459/-252*2*-895*-451
-342-588*-318-810/-264+706-62/+425-631*-41/-655--881+1-616-136--,-342*-588--318/-810+264+706/-62-425*-631/-41-655+-881-1-616*-136
132-892/-263-319/+-461-44-755-410/-591*--213-47/86/+386+818+238-,132/-892+-263/-319--461-44-755/-410*-591+-213/-47/86+-835+818+238
9629632*260*249*-258/-296/+783+991--962-977/--100738/318*905/-,9+-606*632*260*249/-258/-296+783-991--962/-977--100/738*318/905
890407/887-699/606/--966+-317+-978+-806-328*-115*-527*-125/-756+592-,890/407-887/-699/606+-966+-317+-978--806*-328*-391*-527/-125+756-592
304-536/416878--563*820*-709*-669/-571/-122-606-923-774*268/917/+,304/-536-416/878*-563*820*-709/-669/-571-122-606+923*-774/268/917
-138-552*772/-633+-121764*-116/*26294*+-168459/-61/-267*-354/--838-,-138*-552/772+-633+-121*764/-116+26*294--168/459/-61*-732/-354--838
-194-1810/837/-475-771268*-584-+309-201/--549712*+-154615*528/-,-194--18/10/837-475+771*268/-584-309/-201+-549*712-272*615/30
504-926*310*288*-624*-46*50-833*-97/+-605+366-610*-57950*+,504*-926*310*288*-624*-46-50*-833+9*7+-605-366*-610+57*950
913-202/249--160*-358-9/+-335-565-828/486/-861*+318/-410698*--142-,913/-202-249--160+-358/-9+-335/-565/828/486*-861-318--410*698--142
374-428/274/-667/-856+-859+-320*478--529-96/322*-223-35*+-838-405+,374/-428/274/538+-856+-859--320-478--529/-96*322+223*-35--838+405
741-75-577/+440--796-568+-319255/--70+-811-321*-494-837+791383/-,741+-75/470-440--796+568--319/255+-70--811*-321-494+837-791/383
-464179+-887-649611/389*41/+466--652797*+660915*582/-495*--729+,-464+179--887+649/611*389/41-778+-652/797-660*915/582*-495+519
-639-940--598+-833--848--514+756-463+-497341/--18+-669-208402*575/-,-639--940--598--833--848+-514-756+463--497/341+-18--669-208*402/575
-494-162/-884*344/421/-421/769/-100+-626+-391--623--503+-843-815114/-,-494/-912*-884/-771/421/-421/769+-100+-626--391--623+-503--843-815/114
206-549255/+557--138-219*-332/869*+-857+-95--679+-30--866--819-162*+,206+-549/255-557+-138*-219/-332*869+-857--95+-679--30--866+-819*-162
-144-515-740*+483-214+585-122/--926739/64/-617*--93194/498/-127*+,-144+-515*-740-483+214-585/-122--926/739/64*-617+-931/94/498*-127
293303*-50510/-744*-890/--66-553*--821-304+-412-761/-477-70-335*-,293-303--50/510*-744/-890--66*-553--821/-304-412/-761-477-70*-335
-633204-176--841478*678/-650/+869+-113-801/-306--95+-471747/+-256-,-633-204-176+-841*478/678/-650+869--113/-801-306+-95+-471/747--256
267-259*-73070/--502-66/588*-985418/515*+-670-777*72*+-643--465-,267*-259--730/70--502/-66/588+985/-76*515+-670*-777*72--643--465
81511--55-46/465*-810*-347775/-6/-177*/-196+-935+-279409/-864/-,815-11--55/-46*465*-810+347/775/-6*-177+-196+-935--279/409/570
-222-230-526/271*--29-975*+-747-207742/--144+-388112*-959*435*-173-,-385--230/-526*271+-29*-975--747-207/742+-144--388*112*128*435-173
595-621-796450*-446/+470-838*+842-736-379*599*+37-457*-778/577*-,595--621+-963*450/-446+470/-838-842+736*-379*599-37*-457/-778*577
-483484+-140+-648--963-776*-620/-29*7/+505-195--88341/994/-831*-,-483+484+-693--648+-963*-776/-620*-29/7-505-195--883/41/994*-831
-855999-777--396240*-311-580*+-493547/574*201*--345161/--296-999+,-938-999-777--396*240+311*-580--493/547*574*201--345/161--296+999
762945+696+349794*-523/--47+791+-462+999--717-953/+-13646/-66*-,762+945+696-349*794/-523+-47+791+-462-999+-717/-953--13/-817*-66
-143871*-39*-357/500+-201+763--443--421+662-844*-128*609*-102/--671-,-143*871*-39/-357+500+-201-763+-443+-421-662*-844*-128*609/-102--671
608512-110/--764-419*-609*216*--818-410*-24+-562-381*+524-911/+-65-,608-512/-110--764*-419*-609*216--818*-410+24+-562*-381+524/-911--65
618385419/190/-377836*+214-821-990*-343504*+919+-177+-505-543+,618-385/419/190+121*836-214-821*-990+343*504+919+-177--505+543
264188*-281+974-763939*-989*519/+320+100797*-335*288*954*-534/-,264*188+-281-974+763*939*-989/519+320--216*797*-335*288*954/-534
957363*773/-532*36/705*323/-7352/269/+863309/-758*-411*+361-,957*363/773*-532/908*705/323+-7/352/269+863/309*-758*-411-361
-714804/-434+-577928*+-957752*+-180+829+-567+24-638/--296-879+876-,-714/804+-434+-577*928+190*752+-180+829+-567-24/-638--296+879-876
-228-78-649*+-380--692479/456/--160+940-274*720*514/+886+-215+-831-,-228+-78*-649--380--692/479/456+-160+940*-274*720/514+886+-215--831
-434274-762/-613*-910*+-743--826-196476*+-661-331*-910+744-506/-262-,-434+274/-762/-613*-910--743--826+196*476--661*-331+910-744/-506-262
-179266950/-873/-970/-949+887-600*+-688-582/+198-492+538+338-405/+,-179-266/888/-873/-970+949+887*-600+-688/-582-198+492+538+338/-405
91975*728498/-151+542-344*-63/599*-936858/-610*+-560801/708/+,91*975-728/616+151-542*-344/-63*599+936/858*-610+-560/801/708
683-945+-286--273+-595-356/--53030/-122/+660-431--635+412+414+-422+,683+528--286+-273--595/-356+-530/30/-122-660-431+-635+412+414+-422
-378-446691*323*-479-208*--856+302-746*-477*+-272514*+-701+-873-151/+,-378--479*691*323-479*-208+-856+302*-746*-477+-272*514+-701+-873/-151
602971/-146-427*--347+891--979-69273*329/+911+252582/983/--627-,602-971--146*-427+-347-891--979+692*73/329+377-252/-73/983--627
-738-602/-895*428-60/468*--938--99484*-811--142-372+-515--802--384-,-738/-602/-895-428/-60/468--938--994*84-811--142+372--561--802--384
-288-264207*-200/-204*-338724*--438-976/--887+-347+-466-568/+731-70/-,-288--264*207/-200*-204-338*724--438/-976+-887+-347+-466/-568-731/-70
31881/-969-386/-377*-222*343*/-227+293422/364*249*-859+-531+490+,31/881--969/-386*-377*-222*343+-227-293/422*364*249+859+-531+490
-479971*-95+-812-99--912+348398/+214+387+827+-65740*-111/879/-,-479*971+-95--812-99+-912+576/398+214+387+827-619*740/-111/879
754-440+-662+188-786/--732939*71/65++-120-584/-538+274*+990593*+,754+-440+-662-188/-786+-732*939/71*65+-120/-584*-538*274+990*593
-491-905/957/-414*-660/-875-460*+-53-922776*+-383-293/-354*72/-729*+,-491/22/957*-414/-660+-875*-460--53+922*776+-383/-293*-354/72*-729
-190-207-732*+511983*+411-377*--850-225/-868*--315339--801/--21/-804-,-190+-207*-732+511*983-411*-377--850/-225*-868--315/339/-801--21--804
-128-432-402/-290/+-215--285--1000-635*-656*474/-363/--900784*-133*+-449-,-128+-432/-402/-290--215--285--1000*-635*-656/474/-363+-900*784*-133--449
802-600--772-202*+-62+421394*998*835/-999/383*+-206-557851*--391-,802--600+-772*-202+-62+421*394*998/835/-999*383--206-557*851--391
-395-330/357+-171+196+-509--394--160-875/-400*726*-218/-455523*--796-,-395/-330+357+-171+196--509--394--160/-875*-400*726/-218-455*-840--796
970-194318*+-133-88*560/--548--685+-637498*-694/-487*577*869/--973+,970+-194*318-564*-88/560--548+-685--637*498/-694*-487*577/869+-973
