Formula,Result
*-64.0/--55.07/75.5657.35,-64.0*-11.57+55.07-75.56/57.35
*-72.92**/47.57*94.9976.45,-72.92*-17.79*47.57/94.99*76.45
--68.48*17.75/-26.93-+-30.31,-68.48-17.75+-26.93+31.65--30.31
/6.68*-16.23+-83.48+34.9611.15,6.68/-16.23*-83.48+34.96+11.15
/+*-43.62+-87.71*/15.74,9.9/-43.62*-87.71+79.02*15.74
+-50.9+-58.64+35.09/-81.9114.84,-50.9+-58.64+35.09+-81.91/14.84
-15.78*-24.89*-52.26*64.66-,15.78--24.89*-52.26*64.66*-70.18
+-2.29/5.37/69.22-1.18-35.63,-2.29+5.37/69.22/1.18--35.63
-++97.78-+*49.13-19.39,-75.02-97.78*4.44-49.13*-19.39
*-87.83/15.86+35.77/*-17.86,-87.83*15.86+35.77+81.51/-17.86
-*--96.18+-85.23/43.61-29.62,-48.43--96.18--85.23+43.61/-29.62
+-2.93+-33.04+25.45/+8.96,-2.93+-33.04+25.45+25.67/8.96
+-89.18+77.5--83.88+4.02-55.42,-89.18+77.5+-83.88-4.02+-55.42
+66.95/58.37*-74.45+8.8124.8,66.95+58.37/-74.45*8.81+24.8
--60.11*+/-36.39-84.27-9.75,-60.11-23.42--36.39/84.27--9.75
*-64.14*-42.0*22.49*4.33-41.34,-64.14*-42.0-22.49*4.33*-41.34
*-59.29*36.25*-*-39.17-41.68,-59.29*36.25*9.51--39.17*-41.68
/71.61/+*-41.52/*55.71,71.61/97.74/-41.52*16.25/55.71
-*+95.88+94.37+-55.39.37,0.21-95.88/94.37+-55.3+9.37
+-66.83--70.5*18.95+16.1943.68,-66.83+-70.5-18.95*16.19+43.68
++/*-7.9/-43.7346.48,66.61/34.41/7.9--43.73/46.48
*-69.08*-39.16-57.59/82.55-,-69.08*-39.16*57.59-82.55/-79.78
/+**-70.77-60.9362.26,3.68/0.97*70.77-60.93-62.26
/-73.57-74.36-86.98--63.34/,-73.57/74.36-86.98--63.34--32.6
*-53.5*18.74/-72.17--23.98+,-53.5*18.74*-72.17/-23.98--82.0
+85.8*-74.94+*+-22.73-38.63,85.8+-74.94+-73.14+-22.73+-38.63
/-34.9--11.15+4.35--82.5148.26,-34.9/-11.15-4.35*-82.51-48.26
*26.27+77.37*60.83/0.22-88.08,26.27*77.37+60.83*0.22/-88.08
+*/-35.18/57.71-86.06-15.45,-18.89+-35.18/57.71/86.06--15.45
/21.53-48.56/-43.78+82.82-1.37,21.53*48.56--43.78/82.82+-1.37
++/-+71.39-5.45-16.02,-65.15+2.57/71.39+5.45/-16.02
--51.95/82.03/-32.38-38.66-,-51.95-82.03/-32.38/38.66--58.65
*+*4.7*-81.73/7.3584.78,-45.87*4.7*-81.73*7.35/84.78
*7.17/64.12**+-64.52-15.79,7.17*64.12/67.87*-64.52+-15.79
/52.57*47.47/79.24*-38.4765.89,52.57/47.47*79.24--38.47*65.89
+-72.29+88.46+27.82/-34.02-62.02,-72.29+88.46+27.82--34.02/-62.02
*-43.81+/--41.48*31.4535.56,-43.81*-23.03+-41.48-31.45*35.56
/-49.95*81.64++--7.67-98.05,-49.95/81.64*62.88+-7.67--98.05
+-61.99*62.23+19.08+-30.355.06,-61.99+62.23*19.08+-30.35+5.06
*-50.57+**-81.78-35.25-22.48,-50.57*26.55+-81.78*35.25--22.48
+60.72/-10.69/20.67--95.97-86.66,60.72/-10.69/20.67/-95.97--86.66
-+*-94.11*3.79-86.35-25.73,-18.35--94.11*3.79*86.35--25.73
*71.48--77.34/-11.32/-26.57-9.36,71.48*-77.34--11.32/-26.57+-9.36
/87.05*-87.66+-41.01-*-82.99,87.05/-87.66*-41.01+-24.39--82.99
+37.95+--21.38/63.5171.29,37.95+6.87+21.38-63.51/71.29
-18.99/-94.41+-11.2-74.0*,18.99--94.41/-11.2+74.0-90.86
*/*12.52/++-95.06-25.63,10.91*12.52+79.49/-95.06+-25.63
*-14.66+27.85+**32.8631.2,-14.66*27.85/71.4+32.86*31.2
--61.78*--51.53--28.64/,-61.78-64.25*51.53--28.64-51.45
+88.21/43.56*-60.04*4.9175.1,88.21+43.56/-60.04*4.91/75.1
