Formula,Result
63-13+-23--2+13+,63+-13--23+-2+13
9760--57+-70+-40-,97-60+-57+-70--40
-1765*-61/-19*-51/,-17*65/-61*-23/-51
-89-93--95-9/62//,-89--93--95/-9/62
32-48-1/-18--36+,32--48/-1-18+-36
50-92/-6+15*62-,50/-92*-6*-23-62
-10081-56-89/17*+,-100-52+56/-89*-1
-66-81*37*70--90+,34*-81-37-70+-90
-8737/-80*-44--76-,13/37*-5--44-54
16-248*+52-98*-,16+-24*8-52/-98
70-4/55/24-75++,70/-4/55+24/-75
-8450--88-82*-51*-,-19-50--88*-82*-51
2395+-6824*-71-,23+-42--68/-51-71
26-68+89-80/--19/,26+-68-89/-80--19
-32-21/-3594*-77+-,-32/89--35*94/-77
95-31/-45-17/25/-,32/-31-28/-17/25
21-9/-72+56-65-,-100/-9+-72-7--20
-47/-72+-75+50-,-4+7+-72+-75-50
-84-15/-97--84-1/+,-84+-15--97+-84/-1
-39-76*-83+11-3/+,-39*-76+-83-11/-3
-52-99*-82+37+-81-,-52*-99+-82+37--81
68-10/-44+4341/-,68+-10+-44-43/41
7066+90--1/94-,70+66--87+-1-94
-5798-92*+-56-64*-,-57+98*-92--56*-64
-1612+97--17--1+,-16+12--63--17+-1
97-2*-45*-49*-75+,97*-2*-45-0+-75
23-90/-26-75/+-56+,-2/-90+-26/-97+-56
-238453/+98-41/+,-23-84/53+98/-41
6885*-23-84*-23*-,9*85-63*-84*-23
73-19+39+-19--29-,73+-19+39--19--29
1-62-46*85/1/-,1--62*-46/85/1
88-55*-98-73+-28-,88*28--98+73--28
4125*85*27/-76/,-18*3*85/27/-76
310--230/-9*+,31-0+-2/6*-9
-3362+-7337*40*-,-33+-100--73*37*40
-13-78/-78+-6236*+,-13--78+-5+-62*36
-91-97-58**2-15/+,-91+-97*-58+2/-15
80-73*-43+-37-8+,80*-73+-43+-24+8
-80-40*-84+-87*-77+,5*-40/14*-87+-77
-269*63+93-64*+,-26*9-63+93*80
-8516/-18-69-44-,-85/16--18-69-52
47-1367/51/-86*-,47--13/67/51*-86
22-29-89/-60*+9+,22+-29/-89*-60-9
