Formula,Result
-19-7032/+30--7678*82/+-8477*67/+,-19+-70/32-30+-76*78/82+-21*77/67
20-16+80+8845/+57-7/50/98/28*+,20+-21+80+88/45+57/-7/50/98*28
6258*16*+51-48+-96*-24+-6141/-,62+5*8*16-51*-48*-96+24--61/41
-83-15*12*8127*0*81**2796*+-67-,-83*-15*12-81*27*0*81+27*96-13
-1328*-27/-61-2989/31*--6020/27--,-13*28/-27--61-29/89*31--60/20/27
-9453--34+78-85*42/+6628/+-22-45*-,-94-53+-34+78*-85/42+66/28--22*-45
16439*--86+88+13+-513*-84*--42+,16-43*9+-86+-51+13--5*13*-84+-42
8170/-45*-46--471/+-93+5252/--37-,81/70*-45--46+-37/1+-93-52/52-72
7643--12+-3197/42/+-79+96-87*75*-,-23-43+-12+-31*97/42+-79-96*-87*75
73-33*-25*63+-94+90--66-63/84*/24+,73*-33*-25*63+-94-90+-66/-63*84+24
7823+86-68/-9/+-1534/-1-75/99/-,78+23+86/-68/62--15/34-1/-75/99
-1121/-62-311/+-981/+27--53-16*+,-11/21--62+31/1+-98*1-27+-53*-16
-7519-8*-70*+-75+87-84/--66+9419/*,-75+19*-8/-70+-75-87/-84+-66-94/19
-3344-43/+-21-74*-75*42*14/+-3673*-,-33+44/-43+-33*-74*-75*42/-89--36*73
-37-60-80/--55+-40-87/19*52*-48*-54/-,-37--60/-80+-55--40/-87*-90*52*-48*-54
-9472/-8267/+-65--283*86*+97+-9-,-94/72+-82/67--65+-2*83*86+97--9
9026*50/-19*-98-9483/+-90-97/+-89+,-87*26/50*-19--98+94/83+-90/-97+-89
9789/29-39*-1164*--33+-28--3411/+,97/89-29*-39-11*-24+-33--28+-34/11
29-83/-65-20/-54/--88-37/+32--30-75*,29/-83--65/-20/-54+-88/-37-32--30-75
-2852-56*-554/22/+-5617*-95+--32+,-28-52*-56+55/4*22--56*17/-95+-32
-3256*-43*48-90+-8663/2/15*-98*+,-32*56*-43-48+90+-86/63/2*15*-98
-64-90-43-33*-86*63-7/-10-58*99*+,-64-5/-43*33*-86/63/7+10*-58*99
79-63-41-37*+9937/+21-65-77+19-,79--63+41*-37+99/37-21-65+77-19
6798-43-12+-60-76*91/-3-42+-45-,67-98-43+71--60*-76/91-3+42--45
-35-71/51-21--12--35-24*+-52+-6+6-,-35--71-51+21--12+-35*-24+-52+-6-6
-6674--10-81*-16*24/--9148/-26*-27/+,-66-74--10*-27*-16/24+-91/48*-26/85
-83-94*70-37/29*+-52-7531*-21/-12+,-83*-94+70/-37*29--52-75*-88/-21+12
-4547-97/35/-47+35+4556/33*+-59+,-45-47/-3/35+47+35+45/56*33+-59
85-11-44/3*-16+-88--36-87/+2295*-,85--11/-44*3+16--88+-36/-87--24*95
765820/-54*26++-2021*47*/-82+-93-,76+58/20*-54*26--20*21*47+-82--93
12-32+-83-9461*-36-41--45--4943*+,12+-32--83+94*61-36-41--45+-49*43
