Formula,Result
296058/1898+/-,29-60/58/(41+98)
9636/56+80-63+,96/36+68-80+63
191421/+435*+,19+14/21+4*1
9780-58+37+59-,(97-80+58+37-59)
2323/14/9273/+,23/23/14+92/73
122+754449+*-,1+22-(73*(44+49))
1151192086/+*-,11-(51*(19+90/51))
357755+50+-+,3+(5-(77+55+50))
7740+4660/+44-,77+40+46/23-43
5145+3166*67/+,51+45+(31*66/67)
8425*73*48*94-,84*25*73*48-94
4720-73-8384*+,47-20-73+83*84
21223--8414/+,21/(2-23)+(37/(96))
1859*22+8624*+,18*59+22+86*24
41393481+58/-+,41+(71-(34+81)/(58))
812438/6773+/-,81-24/38/(21+73)
1889/9485*77-/,18/80/(94*85-77)
599332*44*81*/,59/(93*19*44*9)
418030*83/+1+,32+80*4/83+90
5778-4477*-11-,57-78-44*77-11
5621/20/7213-*,56/21/20*(72-13)
3769/80-8098/-,37+69-47-80/98
9989/62*96-98+,(99/89/62+96+98)
9173*61*9-45-,91*65*61-9-45
779944/37/82*-,4-99/44/37*89
868-69+87/7+,86-8-69+87+7
5831/978230*--,58/46-(97-(82*30))
5291+63/70*98/,52+91+63+70+98
1979*4*94*6+,19*79*4*94+6
6315*7490/-46/,63*1-74/90-(46)
6858/13257*-*,68/58*(13-2*57)
1716/736327+*+,17/16+73*(63+27)
872*91-8114/+,8*72-91-81/(14)
314698/+14-42-,31-46/98-14-42
9518/7081*+65+,95/18+70*81+65
479688--419*-,47-96*88-41*(9)
552*3883*62/-,(5*52-38*83/36)
1914/8/94+67+,19/14-8+94+67
546210/-31-45+,(54-62/10-31)+(45)
1746*617395**-,17-46-84*(73*95)
3887*73*5620+*,38*87*73*(56+20)
411367*-5377*-,41-13*67-53*10
8977*2888*9/+,89*77+18*88/56
2338*56/5594-/,23*38/56/(55-94)
907/33/30-74-,(90-7)/3-30-77
9056-22+9167/-,90-56+22-91/67
37967/+77-82+,37+94/7-77+82
8679-11+276/+,50-79+11+2/(76)
612/463120+/-,61/2+23/(31+20)
762224*+3899/-,76+22/24-38/50
89558180*77-**,(65-55*(81*80-97))
2991/54/1623*-,29/91/54-16*23
671399*50-11++,67+(13*84-50+(11))
5895424638/*-+,52+(88-(42-46/38))
5969*74875**-,59*99-7*(48*75)
99664*40*11*/,99-(6*64*40*(11))
4626586/70-*/,(4/(62*(65/86-70)))
50135/-91-76-,50-13/5-71-75
1576/51-14+40+,(15/74-67+14+40)
1910*3018/63/+,19*45+30/34/(11)
3168+649*+82-,52+68+6*49-82
615498+1864*--,61-(71+98-(18*50))
397313*33+61-+,39+(73*13+33-61)
51639587*6/*-,69-41*(95*87/6)
1093+6218*29/-,10+93-62*18/28
2960+2297-49--,29+60-(48-97-49)
8880/6689/-40+,88/80-60/89+40
6777655025+/-/,67/(77-65/(50+87))
2270-9+5945/-,22-70+9-(59*(45))
2226*93*4590/+,22*32*93+45/90
21624/66*-41+,21-62*4*23-41
711/531569**/,71/1/(43*(15*69))
2983/47-3324*+,29*83-47+22*24
535493/+8028/+,53+(54/93)+80/28
225460/75++32/,(22*(54/60+75)/32)
89237874/1//+,89+23/(78/74+1)
3193-3/720+-,31*93/5-(7+20)
35843363*-87+*,35*(84-33*97+87)
933518*+18+81-,93+35*39+18-81
6789/32/86*9/,67/89/32*2/9
4725*36/22-2/,(47*25)/36-22-2
9255*15/4-73+,92/55/61-4+73
313/22+3071*+,3/13+22+2*71
7190-53+72/10+,71-90+89-72+10
281237/9096-/+,(28+12/37/(90-96))
3670/9810//95-,36+70+98/10-95
53817+1971*+*,53*(8/17+19/71)
582320*/69-27+,58+23*20-69+27
6414*67-20+75*,(64*14-67+43+75)
8849*8958-74*-,88/49-(89-58)*74
1395+29+5972*+,13+95+29+59*43
392795*2047/-/,39/(27*95-20/47)
991593/1794-+-,99-(95/93+(17-(94)))
4838-6940/79/*,(48-68)*(69/40/79)
537*722/9/*,5/37*(72/2+9)
93145296/54-+*,93*(14+(35-96-54))
1142*64+2448-+,11*42+64+(78-(48))
5680-1663*+78-,56-80+16*40-(78)
41930/436*+*,(41*(9/17+43*(6)))
5267+29+86+29*,52+67+29+86+29
