Formula,Result
+-808.6+745.96-793.46/--323.31289.67,-808.6/-323.31-(745.96+-793.46)/289.67
--/-92.58+-97.34-132.95*-785.98,-947.55--92.58/-97.34+-785.98*(-132.95)
+*+867.86/960.67+739.29-730.76,(179.07/867.86+960.67/739.29+-730.76)
*-973.54+215.26+*-639.18/-260.14,-973.54*215.26+-260.14/(-639.18*(-325.67))
/100.48+--564.96++-833.41-821.54,(100.48/-184.12+-564.96)+-833.41+-821.54
*-185.07---421.03/915.98/,-185.07*-782.25-421.03-915.98/-220.39
--766.48//--50.39113.68*-316.27,(-316.27*(-50.39+(-766.48-134.11)/113.68))
/452.35/903.96-716.22*-314.21+-977.9,-977.9-(-314.21*(452.35/903.96*-716.22))
-301.36+-636.37-445.74--193.16--261.56,301.36+-261.56-(-193.16-(-636.37+-445.74))
/181.74+952.25--913.78-780.45*638.62,181.74/952.25+638.62*(-913.78--780.45)
/414.41*-756.54*/--443.05*,414.41/-756.54-871.7*-443.05--309.71
*26.44--388.42*756.91879.64*989.0,989.0*(26.44*-388.42-756.91*879.64)
*-435.31--913.24**42.65--37.82,-37.82-(42.65+(-435.31*-913.24--467.17))
+699.56/75.83/*+639.51-492.26,(699.56+75.83/-52.73/639.51--492.26)
+-824.43*799.81+-945.04*-525.62-378.27,-824.43+799.81*-945.04+-525.62*-378.27
--331.84/392.51-*+/-747.26,-331.84-392.51/-566.03--830.8+-747.26
-252.98-981.31+-678.69309.26+-,252.98-955.46+(981.31--678.69+309.26)
*-/475.26+-381.75*583.9-243.35,-712.12*475.26/-381.75+583.9*-243.35
/72.1*-897.9/462.07455.97+-94.96,(72.1/-897.9/462.07*-94.96+(455.97))
/-553.42+/+609.21-178.46/-723.29,-553.42/-756.88+609.21+-723.29/(-178.46)
/111.93--964.74-597.88198.35--990.99,111.93/-964.74-597.88--990.99-(198.35)
+-374.31*-129.22/882.16//394.99,-374.31+-129.22*882.16/394.99/(359.15)
/198.17+-498.15+*/--322.52,198.17/-498.15+-576.23+411.4/-322.52
*-897.74/-793.37/640.98+-506.9-,-897.74*-793.37/640.98/-506.9+381.28
--398.24/-997.74+720.2-156.96*-145.91,-398.24+-145.91*(-997.74/720.2--156.96)
+844.82+-113.3-638.88/-787.04*624.08,624.08*(844.82+-113.3+-787.04/(-638.88))
*510.68--738.32+*915.49/-706.67,-706.67/(510.68*915.49*(-738.32--376.28))
+**237.74/534.22-24.09+444.45,-112.19+444.45+(237.74-534.22/-24.09)
*-995.5--872.67911.67**76.19995.75,76.19*(-995.5*-872.67-911.67)/995.75
/-560.1418.49**10.88-417.84/-649.61,(-560.1/418.49)*-649.61/(10.88*-417.84)
*-317.59*-379.29/619.9+-758.31-907.38,-317.59*-379.29*619.9/-758.31+-907.38
*/*846.3+--916.02343.04,333.15*846.3*-663.55+916.02-343.04
+-*-/-264.01+107.79866.91,-13.21+-587.99*-264.01/107.79+866.91
+-926.08*533.97/119.89-421.2/+,(202.04/(-926.08+533.97*119.89/-421.2))
+720.64*921.33+863.99/680.22994.73,720.64+921.33*863.99+680.22*994.73
/-936.75+971.17+--748.19-950.08,-936.75-971.17+-114.64+748.19--950.08
/-299.37-732.37/--450.7436.45--14.22,-450.7+(-299.37/-732.37)/-14.22-(436.45)
-623.1-915.21+36.6-203.68+322.09,623.1-915.21-36.6+322.09/(-203.68)
+-117.79----186.48-732.19*-637.46,-117.79+639.17--637.46*(-186.48--732.19)
*-615.56--450.2*877.7+145.57-862.85,-615.56/-450.2-877.7*145.57+-862.85
/788.81*-462.07--168.46-/235.74,788.81/-462.07*-168.46-966.28-235.74
/*-876.94/-/-269.4230.99,639.83/876.94-533.48/-269.42/30.99
/-25.86*-*-58.41115.27--174.22,-25.86/-222.39*-58.41*-174.22-(115.27)
+-983.57/762.78+601.04++341.45,341.45+(-983.57-762.78/601.04/903.86)
*448.19/226.02+-+618.27-,448.19*226.02/209.42+618.27+-555.14
/-763.08/6.68/57.0+663.94+,-763.08/6.68/57.0/663.94+699.86
+55.17*++399.56-638.98*-647.59,55.17+911.18*399.56+-647.59*(-638.98)
///-364.81-771.13*-472.97397.46,-189.55+-364.81/771.13--472.97*397.46
--185.98*++994.49/*0.13,-185.98--452.34+994.49+-180.73/0.13
//+-688.5+958.77/*828.94,62.45/-688.5+828.94*(958.77+-286.95)
--271.74+600.06--711.04686.55/*,-271.74-600.06+-298.01+(-711.04-686.55)
+-224.5/-639.44209.34*--715.17-531.25,-224.5+-715.17/(-639.44/209.34)--531.25
+//+--175.7/832.96-354.59,-360.15+-879.2/-175.7-832.96/-354.59
/507.92-696.57//134.58--285.77582.63,134.58/(507.92/-696.57)/-285.77/582.63
--186.38+-396.64*--505.57119.59,(-186.38--396.64+-665.48)-505.57-119.59
/-156.56*-725.6--986.18++798.78,-156.56/-725.6*798.78+(-986.18--653.57)
+524.62-132.65/-813.72-366.23/-670.15,524.62+132.65*-670.15/(-813.72/-366.23)
/-48.16/973.36*/708.69/-435.66,-48.16/973.36*-594.64*-435.66/(708.69)
+893.99-399.91+-927.78-738.74+-647.67,-647.67+(893.99+399.91--927.78+-738.74)
*--710.13/50.43-113.41+,(386.59*710.13-50.43/113.41--984.1)
/506.11*30.78-713.53+-927.66-50.39,506.11/30.78*713.53--927.66+-50.39
/649.03921.19/*-148.7/314.3-184.69,(649.03/921.19)/-148.7*314.3/-184.69
+-62.68-++639.9+/-488.12,-62.68+-711.15-639.9+757.77+-488.12
+-72.76--66.52*-109.86-541.95--171.85,-72.76--171.85-(-66.52--109.86*-541.95)
+-618.43/-721.91935.54*+741.36-195.57,-618.43+741.36*(-721.91/935.54)+-195.57
+-885.6+*+*97.53/474.93,-885.6+474.93/(-251.14+864.61-97.53)
**-694.82+892.85-196.78/+,-356.18/(574.55*694.82-892.85+-196.78)
+361.92/-13.81-182.01/*-286.1910.03,(361.92+-13.81/-182.01)/-286.1*910.03
/677.66/+/-701.31//-298.96,677.66/65.8/-701.31/56.05/-298.96
+++429.57938.85+-340.64162.47,340.64+(-979.68/429.57+938.85)-162.47
*988.52/-+887.27-260.07*-801.8,(988.52*180.62/887.27+-801.8*(-260.07))
**+-195.7-210.75-390.67*340.98,(20.33*-195.7+210.75-340.98*(-390.67))
/66.69--618.75*-588.66601.81+-468.16,66.69+-618.75--588.66*-468.16+(601.81)
/253.93*-457.06/-482.63819.22+-558.59,253.93+-457.06*-482.63/-558.59+(819.22)
+-328.88+-289.32/207.22+*601.56,-328.88+-289.32+207.22/952.72+601.56
+502.95+-921.64+881.77-*-699.84,502.95+-921.64+-699.84*(881.77+-959.44)
/281.61/*/732.35-8.0340.18,281.61/-166.88/732.35/8.0-340.18
/-52.73/-303.37/819.91*-206.7370.63,(-52.73/-303.37/819.91/-206.7*370.63)
**--589.63-300.78++-164.42670.74,-164.42+(93.48*-589.63--300.78)+670.74
*/-+*568.3+-908.75275.73,-724.09*-985.57-568.3*-908.75+275.73
--69.04*-682.15*372.06*-34.28886.58,-69.04--682.15*372.06+-34.28*886.58
/82.75+-580.49--580.83*-946.4-982.67,82.75+-580.49+-580.83--946.4+-982.67
/-782.4*73.92-465.31-885.03*,-782.4/73.92*465.31+885.03-945.72
/+--369.34+-34.7-368.31756.72,364.26/-369.34+-34.7+368.31-756.72
/-268.67-6.29-774.44+--903.88,-268.67/6.29-774.44-314.44+-903.88
--23.95/-79.28/580.65/-608.14/,-23.95--79.28/580.65/-608.14/816.27
+---706.16303.34+849.92/-455.29,783.19+-706.16--455.29/(849.92+(303.34))
*-665.82-/+402.43*-885.68-969.89,-665.82*-382.96-402.43+-885.68*-969.89
*-943.22+883.32/-777.47/901.443.26,-943.22+883.32--777.47/901.4/43.26
/-849.42+920.05*957.2+364.9568.74,-849.42/920.05+957.2+364.9+568.74
