Formula,Result
6861*-49/78+-1-,4*61/-49+-11--1
173173*+94-64*+,-46+31*73+94*(-64)
-341*5322/96/-,-34*1--83/22/96
-396527-23*-29+/+,-39+65/(15*-23+-29)
-6173+7+-4-92/+,-61/73+7+-4/-92
-54-19*-71+-67-38*-,-54/-19+-71--40*-38
27-32/8/8034*+,27/-32/8+80*34
59-34-2+-52--3+,59*-34+2--52+-3
-89-44*35*35-50-/,-89*-44*35/(35--50)
31-83-58*-787/-+,31+(-83*-58-58/(7))
4046*95*41-37*-,(-35*46*95-41*(-27))
7595*-70/7232/-,(75*95)/-70--69/32
-983/-82-50/66-+,-98/3+-82/-50*66
-21-3120/*61+38+,-21--31/20+61+(-17)
-8571*12--53-71-,-85*-29*12--53-55
51-43-51*--37-100*+,51--15*-51+(-37*-100)
721042+1-51/-/,96/(10+42-1/-3)
-47-23-69*-100/67/*,-47--23*-69/-67/(67)
35-4514*-78-76*+/,(35/(-24*14+-78*-76))
-37-80*20--49-31-*,-37*-99/20*(-49--31)
-24-28-81*--7017*+,-24--28*-81+-70*17
570+-17+-47-85*-,57+0+-21--47*-85
64-40*-11*72-79+/,64*-40/-11/(72+(-79))
639789/+-30-67/-,63+97/89--30/38
-12-92-85/80*-30/-,-12--92/-85*8/-30
62-10/49--8831*-,62/-10-49--88*-1
-26-24*3+7-86+,-26*-24-3--75+-90
82-91+1899--55--,82+-91-(18-84)*-66
8138-94*76*-77*+,81+38*-94*76*-77
71-46*-91*-20+8+,(-51*-46*-7)+-20+8
-96-38/-95-92+6+,-96/-38/-95+26+6
74-39*-77-67/*-49*,(74*-9)*(-77/-84)*(-49)
856088*-6+29*-,85/(60*88/-6*29)
878811+91+32*+,87+(88+11+91)*32
-76-95-74-70-28*++,-76--95+(74+(-70*(-28)))
-2136*15/-71-35**,-21/36/-68*(-71*-35)
-58-44/68*-20/85*,-58/-44*68/-20*-19
-29-75*6171*82*+,-29*-75+(61*67*73)
-5971-9/+-47--90-,-59+13/-9--47--90
9249*-260*+-22*,92*49+-2*60+(-22)
-77-27-94-44/-23*+,-77--27+-24/-44*-23
366-16*+608*-,36+6*-16-60*8
51-62+-64*34-31/+,(51/-62*-64+34/(-31))
12994*-48/-11*+,12+9*-6/-48*-11
3495*-4110*-96-,34+95--41*10-(96)
936755/-19--96-,88-67/-39-19--96
6745/82-8+--57+,(67/45-82/-8)-(-57)
-10090-91*+86+43+,99+90*-91+86+43
80-84-53-69-51/*,(80--84)-53+69/-51
31-41-93/-91/+-89*,31+-41/-93/-91--89
-72-7739/85*--72-,-4--77/39*85-(-72)
093-8*70*--82+,(0-93*-8/70+-82)
91-1-5543+-38/*,(91--1+(55+43)/-38)
2391/71*-88*-87/,23/91*71*-88+-87
18-81-19-+33-14*+,18/(6--19)+33*-14
27-44/85-30/-100-+,27/-44+(85/-30--100)
3139-81+/51+-50/,98/(39+-81)+51+(-50)
-3984-88-87-58*++,-39+(84--88-87*(51))
8790-75*32*/92*,87+90*-75*32-(92)
832-82*/-63-91+,83+2*-82--63+91
6188-82-*6849/+,61-(88--82)+68/49
-726023*-71--24+,-72-60*23-71+-24
1396/-80*-1984/-,(13/-63*-80)--19/84
559363*-3433/+,55-93*63+34/33
-3516-47-30/+-27-,-35-16+47/-30--20
4636--6259-96/+/,46-36-(-62+59/-96)
-5862491*+*49*,-5*(38+24*91)*25
4884*-98/-66*-59+,48/84/-98*-66+-59
697-70-2418/+++,6+97*(-70+-24/18)
3969*-81*9-85*+,74*69+-81+9*-85
3-9779+75*83*+,3+-97/79*75*83
2782*-94*-85+,2+75*82*-94+85
-100-54-74*40+--18*,-100--54*90/40--18
562*388626*/+,5*58+38/(86*26)
2429*87/685/+,24*29/87+91/44
11-4199/16/-67//,11/(-41*99/7/-67)
-2892+2664*50/+,-28+92+(26*64/50)
68-26+-187/--70+,(68+-26--18*7+-70)
59-984/-120-**,59*(-98*4*(-12-0))
6653-19/32*--89-,-68-28/-19*32--89
944137*-47/17*/,94/(41*80/-47*17)
37-91+-41+-44/-3+,37+-91+-41-6+-3
-8676/51/-72*23+,61/76+51--72+23
70-75/-6313*-20/-,70/-75--63*-54/-20
37-17+-8619-6+-,37+-48+(-86-19+6)
2616/-23/-95-60+,26*16/-20--95+60
5744-84+11-87*-+,57+(44+-84-11/-87)
5-873/-65/-42-*,5*(-87/3*-65*-42)
44-7920/-28+-60-+,(44*(-79/20+-28--60))
64-66-58*/-28+66+,64+-66*93+-28+66
-865039-89*++30-,-72+(50+39*-89)-(30)
34607415/9+*/,(34+60*(74*15+9))
-67-15*6+-21+92+,-67*-15+-47+-21+92
250/-93-64--95-,2+50--93-64--95
-80-29-12/40*--2+,-80--100/-12*40+-2
66-20/59+-39/47-,(66/-20+59)/-39-(71)
-9015/8/-7213/-,-90/15/8--72/-70
-7481/55*-4-22*-,-74/81*55--4*65
-2472/-40+97-42-+,(-24/72+-40+(97+-42))
-8464+-75-13+-15-,-84+93--75+13+-15
2634+19+11*-93+,26+34+19-11+-93
-6673-7138+-39-**,-66+25*(-71+38-(-39))
-6812-57-2//41+,-68/12-57/-2+41
376988/68--53*-,37-69/88/68*-53
