Formula,Result
+0.6+5.42*8.52/8.66-,9.318.668.525.420.6+/-/
/*-7.79-4.45/7.635.96,5.967.634.457.795.54/*-/
/0.95+5.1*+*0.999.6,9.60.993.945.1-/+**
/0.16+8.34-4.48-*9.81,9.810.654.48-0.16/+--
/6.03+0.56+7.18*/4.3,4.39.587.180.566.03+++*
*8.49*8.84-6.62+0.856.51,6.510.85-8.848.49**-+
+3.93+8.41-7.98/6.27-,0.576.277.988.413.93++-/
/2.05-+*8.56+1.428.85,8.851.428.565.332.05/-*+
-6.63-+-2.42-9.527.6,7.69.52*7.366.63--+-
*0.32-9.32/2.28*3.662.66,2.663.66*9.320.32++/*
-9.84/-/--7.344.08,4.087.343.492.29.84-/+-
*0.5*2.15*7.76+5.882.73,2.735.887.762.150.5**/+
+-*0.5/6.54-7.014.17,4.177.016.540.57.98+*+-
*/*6.5/8.95*6.188.99,8.996.188.956.59.6**/-
*7.28-2.17+3.96*6.035.34,/6.033.962.17-*-+/
-9.01+-**-6.812.82,2.826.819.084.86*-+*-
*0.97-7.75+-/0.176.74,*/8.087.750.97*-*/
*7.84-5.86+5.02+7.746.73,6.737.745.025.867.84*-+/
+3.56/-/7.63/7.925.86,-7.927.630.75++///
+7.75/7.98/2.05/9.782.24,2.24-+7.987.75++-/
*9.47+3.67*/-4.99*,1.834.996.433.679.47*+*/
+9.6+*-6.19-0.281.85,1.850.286.190.169.6++-/
-9.76/2.37/4.56/0.313.96,3.960.31*2.379.76-///
/*-2.95-4.31+4.377.75,7.754.374.312.959.9/--+
/*/4.38-7.35/0.227.45,7.450.227.354.387.96+/-/
+4.12+5.55+*/4.353.35,3.354.357.3-4.12+-+/
*6.65/-*3.8*4.643.05,-4.643.86.766.65*//*
-4.12-7.5+1.03+7.956.68,6.687.951.037.5/--++
-8.16-8.08/+*3.741.17,1.173.74-8.088.16-*/*
/7.89/5.87/3.99-0.374.41,4.410.373.995.877.89-//-
*0.71+0.52-2.02+*3.18,3.18/2.020.52**+-+
