Formula,Result
673-183*-934642*-775--,-*673-183**-70091-775
556996/541*-477*757/,/**/-459996541-477757
-805608--310*-200--640+,+/*/-805-716-310-200-640
-719-212*-660-721/400/-,-*-719-212//-84360400
-671936-834*-762*--514+,+-992**936-450927-514
-10321*-60378*-212*-,-/-10321*--60616-212
89899-276+626/-537+,/++-89899-721626-537
-950926969/545/-168*-,--950*//-445-113-514-168
683-867-768*+-686-634+,+--797*-867-768-882634
404688+-137+-725+799+,++++404688-137-725348
196578-789981*512/-,-+196-607//789981-434
273748+-522191*+-318-,-++273748*437191-498
-70840+444-823-777*+,+-+-708-370444*823-424
433291/959166--280/-,--900291/*959166-280
-90974+-523--451+358*,*+-+-90974-523-45183
-599763*-318*-131--815-,--**-599763-318-318125
517-685/195/183331/+,+//517-685-602/-956331
933-493*-505-394/-878*+,-*-380-493*/-478-394-125
17-990/-852+29-480-,--+/17-549-23329-109
98-222+-190--385+520-,++-*204-222-590-385520
-314531/-7*122*207+,+**/-314-630-7-242207
-900454-159*-101*+494+,++-900**454983-116494
393596-978*-821325/*,+-393-596-978/374325
-129202*-267-864*--189-,-**38202*-600-864-189
41-109/940+416--950+,+-+/41-18940416301
-564-745+-210+-648397*+,+++311-745-210*-648397
150-801-464/--322--941-,----809/-689-464-322-941
-59056288/-712/+-399-,++-590//56288-712-939
8999/-610--586-640--,--/557348-610/-586-640
538337/118/-659*-217/,/*//538290118-659-217
14540257*--757+-536-,-+--548*540257-757-342
-362-8/104*185-181-,-/**-362-8104185181
-697-884*-494--632+779-,-+-+-697-884-494-632235
-864-390-868/-981/+877+,++-864//-390715-981877
264-166*-458*-253+569-,*+*+264353-458-253569
-918-586193+-263/-433/-,--918-/*-586895-263-433
-764644/-214+-337-421/-,-+/-764644-214/-337-697
-674233*-476*868-461-,--**-674233-476868461
576461+-550--819--573+,+--+-92754-550-819-573
476799*-771+469*514-,-++*476799-771469-623
99138/261--494-270/-,--/991946261/-494-270
-476930--360/857+233-,-+---476365136857233
-645-388+345-771*253*+,++162738**345-771-713
-723926*580/-854770*+,+/*-723798580*-854708
33-527/813290/-110-,--/33-527*718290110
645-955-621--21-217/+,+--645-955435/-39-217
-626-182933*+-332--426+,+*+-626*115933-332-426
-311-30-252/-377*-373--,--311*-/-30-252-95585
608373/533--500-784/-,/-/608373533/-500-784
266744+738+-923-719-,--++266-555738-923490
28-88-828*912/-459/-,/28//*-88-828912834
-175-291-636-+-612-981*+,/+-175+-291-636*-806-981
-35382-995--277+-21+,++---35382995-277-21
-176-175*-916868/--983+,+-*-176-730/-972868-572
320-128-51*-493*884/+,+-772+**-128-51-493884
-741959+-848*-732/754*,*/*+-741959-848670-42
594-439*-708-29+767-,-+-*-632-439897-342767
391-596+642/309-23+,++/*391-59664266523
-42-188/922--521--872+,+/-/-42-188-760-521-872
-946-182/-698-624//-341-,/+/-946772/-698-624-341
-799505-334*--173-509*+,--928/505-334*-173-509
727527-183+208-371+,+-+-305527-745208473
-111448+-163/-510+-39-,-+-+-111448-163-582-39
747-491/-496869*--329-,*--747-491/434869-329
932-108*813905*--731+,+-*486-108*813201-731
485993595*+-694+559-,*++485+993501-694559
-819933*498*422--996-,---*-819151498636-421
46949692/-767*-886*+,+-367**/949692-767-32
116-83572/750/--41-,--116//-93272750-41
-178193*-726+542-797/+,+/*-178242-726/542-797
421729+-774+703-235*+,+++-875729-774*-929-235
661236+15913/+19+,+++661236/-301319
-265974--240-464*241*-,---265-401**-240-464241
520291+-260-849/-698*+,+/566291*/-260-849-698
-815-850*-322381+115+-,-*-81522**-322381633
-382278597/-902-825+,+---382-278597902825
-391429/80*915/-73*,*/*/-391-62680915530
570-464-592+592*-303/-,-570/**-464-592592-303
-809656--301+-580--564+,+-+/-809656-301772-564
-236717/-457/-990-230*/,+/*-236717-733*-149-230
-965-469--131+-274--83-,--++500854-131-274-83
-375-946*128-91*435*-,-*-375-946**-929-546435
-756673+641-462*71/+,+*793673/*641-46271
378674/-991879*+403+,++/-599674+-991879403
298-953/-450+-113612*+,+-/-650-953-450/589612
559-743-167/-91120/+,+//559-743167/-91-916
465-754+-700+705-683*-,-+--665-754-700/-898-683
428851+-621/95/131+,++*/428851-62195131
199-639214/572/+235-,-+199//-639214572739
109142-155-329/-428-,*-109/*142-155-295428
-144443855/-848360*-,---144/443855*848360
-191-354+-891-125*-661/+,+/-191-354//-891391-661
-467-748213/--489-239+,----467/-748213-489897
-383980*-604/-97/-665-,-//*-383980-604205-4
566-516*250*-66+-598-,-+**566527250289-598
-622333/999-69*-391-,--+-152-415*999-69391
-694-852*447-2343/+,/-*-694-852447/23-134
-830-715/-800/-152-371--,-+/-830-715-800*249-371
-228-520/-963*891*-683-,-**+-228-520-963891287
-75501*-951*-802*-214*,/*-*-75501-951-802-214
