Formula,Result
8359/57359791/+73+382^-202^+3216/+62-/+43-,-+/8359/57-++-++35/979173^382^202/32166243
32^3931*+482^+8629/98/+6679/40/2189-/10*+,+*++^32*3931^482//861198*///667940-218910
721054*-6260/59+64/35/+691^+6351*33/48/-18+,+-++-72/1054//+/6260596435^691//*6351333118
992^19+4584*+351^+122^+84-603596*47*+56--,--++++^99219*4584^351^8284-+60**35964756
922*47-172^+45-79-841^+812^+8619*+60-1-,--+-+--+-*92247^1724579^941^252*5419601
1238922^/-63+2423/53/+221^-35-39+10165-++,++--++-12/54^65263//242392^3013539+10-165
55412^+61*711^/+152^-53+431^+3498*99*+,+++-++55^412/*63^711^15247^431**349899
39413*96/+68-1793*172^*+51+8+159940*85+/-,-+++-+3/*13139668**5993^6825169/15+*114085
38532^/35482^*+995760/-61-456466*43^/20*++,++/38^532*35^462+--99/566061*/45-*64664320
1527-9^312^-2273/618121*+341^12^47-+-/-,--+-15279^312//2273*^61*8121+^341-^1247
199372^*-42701^*-4076*16035*+/48/-34-12+,+----19*9^372*42^701//*1076+82*6035483420
8932^572^+59*221^+87535*4*70/94/241^//+,++-+^892^57259^221/8////*753547094^248
246084^/5997*3152/1^-6234*-1+4054--43*+20-,-+/24^601*-+--*5997^/60521*62341/40544320
871^3775+26+951^-56+9*29512^*7643/+-/-,-^871/53--+--+48526^9536569+*29^512/7643
771^3941^/-44+64+86-47064/-227971^*+52++,+-++-^771/3^941446486/+-4/7064*60^79252
4369/33*352^60-892^-73+21792^-67+97-42-+-,-*/436933++^*^64260^89273--+-21^792679742
402/983397+1030*62*+63-35-72/3/+6925*/-42-,--^402/+98//*-^+3397**1030626335723*692542
57694^+21^-83+479352^+41+987486*1//-/-,-+-+40^691^16183/4-/+79^35241/93/*74861
9024*87/651^-802/-5365-+951^+596/74/49/+,+++--/*902487^651/802/7065^951///5967449
678945/182^*-67-46+7+75-44956526988+/-^/+,+-^+--67*/8945/1826746775/44/9-56/52+6988
8839-27932^*+78-88+5167/+6263/+4122-1467/+-,-+++-+-8839*27^9327888/5151/6263+-7622/1967
502/11+362^+821^-7024*+695**942^+38-56-,--+/+-++/50238^362^821*7024*695^9423856
