Formula,Result
92541*44+302680*94-61-17-/-*,*92-+^54144/30---*268094817
912^29+3061+22456401^/-*-+,++^909286++3061*22-4/56^401
3165*42+44542^64*+2710^--+,++*316542-44*+^932*64/2710
7066-836*4*-56+96-96-591/+,+--+--7066^*8364569696/4691
9737*825459/22-5978*+9877/+*+,+*9737*82/+-/545922*5978*9877
51871^7334*96*-87154*45^-+-,-51+-^871**733496-52/*115445
4277*241774/-2^-70322--84--,--*4276^-22/17742--70^32284
321^3431/+612^-36+8994/+90-,-++-+^321/3431^61236/899490
2616/531^+9382*80*-14+22+55-,-++-+/2616^811**938280148255
121+75222^8859*-132^+9-/+,++121/75-+-^222*8865-1329
4134-1178/-88-96+5232^-84--,---4134/1178--+/8896^52279
7625+922^+8515++3040*-322^-,--+++7625^925*8515*3040^322
551^9841+79-69-+1672*481^*+,++^551--+98417969**7072+481
893-77381^/131^+721^-48--,--851--+*77^381^1398^729248
3285-3+10769667^-99-35-2^++,++-6853+10^---76-96199294
3895/2650*-12342^*+785/42*-,-+-/3895*2650*12^342*/78542
84282^/41*526/59*-3472/-69-,---+/84^28241*/52659/877269
69131^34+3783/-62^+3871+-/,/36-+-+^176934/3783^62+3871
9897-9850*96*38-402^*+79+11+,^++-9897***^98509638^4027911
7566/2*9-1054-811^142^-*+,+-*/756629**1054-^811^142
86202^*+4611272^+7812*-/-,-+8*6^202/46-+11/822*7812
12212^*17-5714-9271^*-79++,+-*12^21225^--5714*63/27179
599171//96657966/+1^/^54-92+,+-+-49/9171/96^+65/796614692
5117*22/38/55*601^1058*-2^-,-*//*5154593855^-^601*10392
102^8797-431^/+747/50/-53+,+-+^102/-8797^431//7475098
722^4219861^/5052^+12-64+*+,+^722*42+-+*19^861^6111251
8352^^8559*+24-5141*292^*+,+-+*83^52*855924+*3441^292
2855*94/49*5711*872^/-18-55-,---++*28559449/*5734^9521844
8561/882^2516/798/892^*+++,+/8561^^882-/2516*/751^892
4953+32-70131^*-17-481^-39-,-----+495323*13^13117^48139
1835*70*381^+141^-61-852^+,+--+**183570/385^14161^852
873/14+70-17+51^/3-20+80*,-+-/+-+/853147017^16132080
7229/38*575979/453*9*-23-+*,*//812973+57+-/5979**453923
491^49+97+11+582^722^+93--,-+++^491499711-+^582^72293
770*66*8235+81*20*+172^1++,++**77066**/82355720+^17262
53662^+4147^-1-45-6869/17*-,----+53^662^844152*/686917
469-2124/892^37+411^+51-*+,+-469+/9524-++^89237^41151
7328/622^+15+581^582^*93+-,-*+/7328^62215+-^581^58293
4475-272^+62^-5489+-4230/-,---+-4475^272^62+5489+7330
799394/35/4464^*+2577*60*65-+,++79*//939435^441-**25776065
1678/9724**1025/-401^-2830--,----/678-9724/1025^401-2830
50662^/57*5+411^-97+7214*+,++-+-/50^662375^30197*7214
135378-10682^6-80571^/-*+*,*13+-6478*10-+^6826/80*571
983391*41/94/14/12*+9967/+83*,-++98*///*339141941412-996783
418392-412^/+60-44509089*+/-,--+41/-8342^41260^44+50*9064
657/101^+8499^-791^+68^28+,+-+-+/657+1012*8499^7916828
81221155-31-*+272^-53^611^-,-+-+81*22--115536^27253^6174
3495-80^56*91721^-3482*-*48/,/*/*-34488056--91^721*348248
451^48-161^-852^+2333/75*-,-+--^45148^531*982*/233375
1970659/6363*47/30-77/97--+-,-19+70-/299-+-/*636347307797
551^8+1^1994-12+76/^1480*+,++^+^73181/+-19941276*1480
7682*/892^-6044*+87-647/+,+*+-/76^82^892*608887/647
65141/50892^-52-591940/+-/^,^65//141---63^89252+59/1940
7494+718*+3215*39/+9762*67+-,-+++7494*718/*328139+/566267
522^54372^-+336965+443/-/-,-+^522/54*372/33-+6965/4843
947*65-9566*-702^+59+193/+,+++--*94765*9514^70259/193
63731^-7763/-30+86699-96+*+,++--63^7337/776330*8+-669996
279499*36*^71-+14-9861*13*-,--+-27**94336^7114**986113
5483*4221*56*1^^861^-4638/+,+--*8383+**42215612^861^4638
92513/*141^17+2^*6266*99/-,--+51/2513^+^201172/*346699
28741^*9271/51/89*-12141^*-,--*21^741*//92715113*9^1413
2745*952^+8440^-57+651^-14+,+-+-+*2759^952-844057^6512
732588-781^+61+-53-3535*68/-,---73++-2547^7816153^*923568
9426+25+4-5214/278569+2^/--,--++4526254-/7525/27^*85692
9443/5*22+53792^/-831^-49-,--^+*/9443522/53+792^88149
6559+9838*62/322^32+153/-*-,-+4359*/*983862-+^32232/2336
9933/922^*35-652^+51^-71-,--+-*/9933^92235^652^5171
35861^/371^-72+3863*7*22/+,++-/50^861/37172/**3848722
7272^3073*-81^-6151/+83--,-72-+--^72*273^81/61583
85762^*7320*4968-40262^*-*+,+*8^762*+7320-*4968*40^262
5128-401^+3764/+5445/+364*-,-+++-5128^401/3764/4045*3642
1110/362^+5919/+57+45+742^-,-+-++/1110^842/59285745^742
4275/6336*54/-571/-12^-22-,----/4275/*633654/571^1222
988874/605779*-/21^21-65-*+,+98*//8874/60-5779--^4112165
73324*+6510+27+521^-21+69--,-+7*3524-+-+*651027^5218269
1768^2625*-9662^*+188187-*-,-+-^171*2625*96^628*18-8184
72705318^72*6787*-57-3078/+/+,+72/12++-*/531872*678757/3078
9929+202^-29-6562^-401/-25+,+----+9929^20288^652^40125
7139/55+81-94+44+7+12-5473+-,--+++-+/713955819444712+4771
507/26/59*6-362^8785/-91--,--*//50826596-/^362/878591
122^73-5938/-392^-821^+22-,-+---^12273/1038^392^82122
748^454/21*+770*-19-1871++,+/-+*748*/45421*77090+1839
7216+644^+77342^/+6583/+67-,-++++7216^61/77/342/658367
66762^*6434/51/+252^+8+27-,-+++*41^762/^643451^882827
2451+638/5119++459/-8*+57-,-+*2451**+/6358*5119/459857
8960-952^+6422/99*33*-51^+,+-+-8960^952**/64229933^556
612859/6474-+1294*46/-911^/+,+61--+/2823/6474/*129446^911
542^55-9653/^6220*412^*77*+,+--^54255/9653+**6220^27277
7825*70+13-33342^/+93996//+,++--*78257074/33^342/93/996
9285/52/75645*9555*291*-*/+,+/-928552/7**5631-*9555*291
4951/-61-94+12-82991+/-79+,+^^+--4/951619412/82^99163
79421/+24/42*76/96512^/+85+,++/*/+79/421244276/96^515785
801^10+7223*781^*+4222*36*-,+++^80110*/7223*781**422236
919736+94816/22*52/7684/+*+*,*91++9736*66+/*/72406052/7645
3842/22/271^+62+4426/1226*/+,+++//474244^27162//4421*1226
36246^*14-87+1-70-5890*-82+,++--+-*36^2422787170*589082
201+31^14+492^-942^96-+-,-^201+-+^318^492-^94296
4322/98*2053*-9665*10/+4762*+,++-+/442298*2053/*30656*4762
8639-362^*41-682^-74611^/+,+--**8639^36241^682/74^6142
8985/9280*+3192/-63-801^+24-,-+--+/8985*3180*319263^80124
