Formula,Result
81 89 -21 * +,+ 81 * 89 -21
66 -6 / -58 *,* / 66 -6 -58
16 -97 * 17 *,* * 16 -97 17
-40 -52 81 / -,- -40 / -52 81
39 1 ^ -25 -,- ^ 39 1 -25
3 -57 -76 - -,- 3 - -57 -76
75 2 ^ -7 -,- ^ 75 2 -7
32 1 ^ 4 +,+ ^ 32 1 4
30 -86 + 71 -,- + 30 -86 71
-73 -85 / -96 *,* / -73 -85 -96
7 2 ^ -12 +,+ ^ 7 2 -12
80 96 / -29 +,+ / 80 96 -29
-78 -99 * -49 -,- * -78 -99 -49
-68 35 + -100 +,+ + -68 35 -100
-2 -26 * 42 +,+ * -2 -26 42
82 95 * -76 *,* * 82 95 -76
-12 -61 / 5 /,/ / -12 -61 5
16 -33 * -41 *,* * 16 -33 -41
42 2 ^ 0 -,- ^ 42 2 0
15 8 * -47 *,* * 15 8 -47
58 2 ^ 90 -,- ^ 58 2 90
93 -51 - 36 +,+ - 93 -51 36
70 -90 -16 * +,+ 70 * -90 -16
81 76 61 / +,+ 81 / 76 61
75 18 1 ^ +,+ 75 ^ 18 1
-70 90 1 ^ *,* -70 ^ 90 1
90 89 * -22 -,- * 90 89 -22
98 -85 - 38 -,- - 98 -85 38
-14 78 * 68 /,/ * -14 78 68
-84 -3 + -63 +,+ + -84 -3 -63
-30 60 / -72 /,/ / -30 60 -72
