Formula,Result
-2359--3541+-882^421^-34--46-301^+-9823-75/*+---,---2359-+-3541---^-882^421-62++-46^-6653*-98/2321
-3982-91/-96-26^-791^61-1/35*-552^*+84-7+86/-*-,--39*/82-91-+-96-26/+++^-791**/61-1-45^-55284786
-851--29--12--33-75-371^/-73--953-18*-96*98/11**-/+,++-^-851-29-12/-33--/-75^-371-73*-9*/**-8-18-969811
841^-69-1664+*-86/44*9584/-20-*+-60+-83358*-84/+-,-+++841*//*-69+-5164-8644-/9584-2069+-8/*3358-84
8715/8+-621^-332^-34-3439*-361^51-31-16^-+/+,+--+/87158^-621^332/34+*-34-47--^-36151-31-16
76-3/6372/86/^-472^--40-82*63/+-72-62--9-70-14+*-,---+--/76-3//637486^-4723/*-40-8263-7262*-9+-70-14
-21192^*89--801^-7520*+74-72-5/70*+9170/50*+,++-+--+-21^19289^-801*752074*/72-570*/917050
8385+-852^--45-11^59*-30+93-192^/-65+-781^+-5+,+++-+--+8385^-852**-45-175930/-19^-19265^-781-5
341^-2643*-1344*6839*+-201^-303270-61/-68-*+/--,-^341-*-2643/+*-1344*6839+^-201*-30--32/70-6168
-3738-33/-18++-11--89--36-8-73*--27-53^-73+-14-68*-21*-,-++-----+-37//38-33-18-11-8969*8-73-2753-73**-14-68-21
-40411^*292^2831/-+-78-262^40-71/+1*/+-92+1-,-+++*-40^411-^-932/2831/-78^+^-262/40-711-921
-59-15-1534-25-772*/79+-49-/-52*-54+3592/64*24/-+-,--59+-15-+--15*/34-+/-25*-77279-49-5254/*/35926424
86-50-33-97851^+432^+-32-66*+18+-10-30^-40-/29*//,*-83/-50*/-33---++++-97^8521^432*-32-6618-1030-4029
-17-917^/-4954/+2-132^*-8871*4*-92*+321^--88-,--+-*/-17^-911/-4954*2^-132**+8871422^321-88
-26-89*-9--42+-38-31-691/-100-16*-962^/+-42+-502^-^,+--*-*-26-89-9-42-3814-++/691/*-100-16^-962-42--502
83-95+-712^+-87-80*-87*84/-75--22+62^^-93-74-63/-,--++--++83-95^-712/**-87-80538475-22^62-93/74-63
-30-19*-24+17-77*+-80--3597*--32+54228-27/47*-/-54*+,++^-++*-30-19-24*17-77-80*-3597-32*/54-2*/28-2747-54
16-161^/-11+-41+-87+-961^+99+-481^+89*5-37--3+,+--++++^++/-15^-161-11-41-87--96199^-48189537-3
8554/82--602^-96+-2-24-362^*--97+5290/--74+-52-,-+-+--+-+/855482^-60296-2*24^-362-97/5290-74-52
-631^86-4*+60+-5490*-69-97411^/+-682^+-61-57/+-,-++^-631*-23-460+++-*-5490-69/89^411^-682/-61-57
6-87-562^+-70+36-58*71*-70+-762^-48+-8-80*+-45--+,+6-+-+*-87^-562-70**36-587170-++^-422-48*-8-80-45
-4291--82^+-50-55/-2*31/-28-4*32*+-28-412^*+66+,+++-+--4291^-82/*/-50-55-231**18-432*-28^-41266
863-60*--512^--39+66--2226*301^-6+-161^/--77+,+--+--86*3-60^-5121566/+-*-2226^3016^141-77
28-85+-38-161^/-7837*-4/*54-94*-241^-37+5173*+,+++-+-+28-85/-6^-161/*7837-4*78-94^24137*5173
-58-95--98-91^-682^--5047/37/-832^-58-*45*40-56+/+,+----58-95^-191^682/**//-504737-^-832-4745^40-56
6244*-19-67/611^*-50-77/-83*+39+38521^/+-842^+,++++-*6244*^-19-67^611*/50-77-8339/38^521^-842
63-61962^/14+-6024/99-658-5*-33--72-71/++-*+*+,+6*43++/-61^96214*/-6024-99+-65+-*8-5-33*-72-71
-86-36-98/--771^--13+-33-23*+94+-87-87/01^+-1050*-+,++++---86*-36-98^-771-13*97-2394-+/-87-87^01*-1050
-71-9884*+-7764-84*-92*85/98+54-58/59*71/-47+-98++/+,++-71*-9884/-77++/**81-84-928598++/*/54-585971-4844
-444*90+-41-22/44/39*48*+46-87*-85-46*-81-89/--76++,+-+++-44490**//-41-22443948^14-87+-*85-46/-81-51-76
-23-19/551^+3614+-19*+-8675/942^/-38-88*2132/*-,--++/-23-19+551*+3614-19//-8675^942-*38-61/2132
-47352-96**-771^-14--62482^/-132^+52-13*-68*+,+++----47*3*52-96^-36114/-17^482^132**52-13-68
-35-71-621^/-79+-32^-5868/822^+74-2^+-3314/+,++--+--35-71^621-79^-32^-+/5868^822742/-3314
-56-2/-9722/-30-2^+87-51-54-6720-701^-81-43-+/+,++/-56-2^-/-4922-302/87++-51-54--+-6820^7018143
53-9368/21//61/-748*42/--72+59--24-41*+-84-17/-97*+,++-++//-95//-93682161/*-74842-7259*-24-41*/-84-17-97
29985+-702^+-56-*-302^+-1068*-73/50842^+0-*-,-+/2-++99-80^-702-56^-302/^*-1068-73-+50^9920
-33-85*-78+-51731^/+9062422^/--18-23*-79/--60---28+,+-++*-33-2-78/-51^-571---90/62^422/*-18-23-7986-28
-62-511^+2248*60/-1-581^2015-53^/--76-23/+21--,---+-62^-511/*2248601-+-^971/20^151/-76-7321
