Formula,Result
/-194.8*316.52/-337.34//*-383.16*924.95+130.84+464.84-115.46*--780.14/798.67+-781.01*-94.61/63.1610.04,10.0463.16-94.61-781.01798.67-780.14130.84924.95/742.82-337.34316.52-194.8/+//**+-*-115.46464.84+/+**
*839.26+280.01-548.81*-272.51*934.46/-670.31+-13.51-106.02/--339.69+-427.97*-280.01/745.43*-448.9827.47-142.11,142.11280.01839.26*/-827.47-448.9745.43-280.01-427.97-339.69-670.31934.46/548.81-**/-/-106.02-13.51++*/*
/596.2+-/-789.8+901.63*-597.68-432.62/-288.86+103.33+260.37--12.57-289.14--810.06--235.74-435.37*-133.39,-133.39-810.06289.14-12.57260.37103.33-288.86432.62-597.68901.63-789.8-681.38596.2/+-+*-/*+---*-435.37/-
-100.62165.3-+870.74-932.97//-77.67-401.26+-274.25+-870.95*960.31+-327.62*-101.59-765.23+-382.18+-313.26-668.27,+-313.26/765.23-101.59-327.62960.31-870.95-274.25401.26-77.67*165.3100.62-//-932.97870.74+-/+*+*-++
+240.22-152.05/279.26+-/-709.6-21.18*-261.68+++-195.33+579.52+576.28-962.53+105.33--17.36-654.29,-654.29-105.33962.53*579.52-195.33-987.43-261.6821.18-709.6-633.2279.26152.05240.22+-/+/-*++++-+-
--399.06--469.4--465.13+335.03*-946.35-/*156.59/-413.22--371.42/179.37-9.59*-886.34-106.69-451.25--722.72,-722.72-371.42-413.22156.59-816.06-946.35335.03-465.13-469.4-399.06---+*-*/---451.25*-886.349.59179.37/+*/
/103.37+-737.03+-124.39-798.2/+624.1-873.62*551.6--275.25-45.16/673.48/851.19+22.93-867.66*-963.09+-725.22,-725.22624.1+*-798.2-124.39-737.03103.37/+++-963.09673.4845.16-275.25551.6873.62-*--/*-867.6622.93851.19-+
/-434.74*325.26-347.99+-714.58/994.98-337.58/+312.63*-347.22/-625.04--791.09--339.85/28.59*620.62/60.56660.93,660.9360.56620.6228.59-339.85-791.09-625.04-347.22312.63347.99325.26-434.74/*-//-337.58994.98-714.58+/*/--/*/
*69.45+365.47-424.82-+989.21-132.83--281.3/742.37+-159.21+795.05477.71*+239.35/-524.08++330.74+909.85,909.85-281.3132.83989.2169.45*+--424.82365.47+--+330.74/654.96-524.08239.35742.37/+*477.71795.05-159.21++/
--753.82*104.87+969.23*-167.99-546.91/-660.15*372.5+-731.92-515.66/766.05924.7*+319.74-*--218.5965.62,965.62-218.5-198.61319.74546.91-167.99+104.87-753.82-*+*-+*924.7766.05515.66-731.92372.5-660.15/*+//--
*336.06+727.17/547.09/-636.89-532.23/-36.3/333.99-456.2-936.7/-627.36+-161.8/-635.72*-+357.94/550.54,550.54336.06*/357.94547.09++/+64.33-636.89/*-635.72/-161.8-36.3532.23-/+-627.36*//-936.7456.2-
+80.99/785.09-389.09+589.66/726.06/-512.19*23.74+30.52--746.16/-828.83861.49-444.5+-228.36+396.08*223.44,223.44785.0980.99+/*396.08389.09-+-228.36-512.19726.06589.66+//+--861.49-828.83-746.1630.5223.74*--/
/-816.11-440.93+622.4*465.32*513.86/228.69424.46-+-645.4176.75+--508.01-977.86--501.43-904.6/-440.59+751.92,751.92+-440.59+//-904.6/977.86-508.01-+76.75-645.41513.86465.32622.4440.93-+/*+-424.46228.69/-+
/422.04*158.35*-771.85++/650.17--904.6854.2/--758.41+*+365.0+558.58+736.37952.88/+398.37-789.7,-789.7398.37+/952.88736.37558.58365.0-920.01-758.41-771.85158.35422.04/**-/54.2+650.17237.54+/-++-+
+-994.98--49.75/514.14*-257.8--904.44+-324.65-807.45+-247.37+-220.66/-181.02-432.91*+-83.72276.35*-/+-251.98,-251.98514.14-49.75-994.98+-/+--807.45-324.65-904.44-257.8*-+21.16-83.72/++*-432.91-181.02-220.66+/*276.35
+-375.89/229.99--342.17--945.64+-406.31-389.62+-319.02--871.52--886.23298.01*--289.73+834.53726.25*82.25--613.37,-613.37389.62-406.31-945.64-342.17229.99-375.89+/--+--82.25-319.02+*/298.01-886.23-871.52--726.25834.53-289.73-*
/-242.26/697.83*-504.4/-528.09/-491.42*-948.5+/+519.51/-294.35+-494.8+/--904.53/618.81+-637.98-378.61,-378.61-637.98618.81-904.53791.95-494.8/519.51697.83-242.26//+/-512.36-948.5-491.42-528.09-504.4*/**/++--+
+-344.55/213.85+-76.86+-64.15+892.29+230.27--788.78/-837.5*311.13*-496.6/-369.68/590.36487.11--832.9-162.65,-162.65832.9-369.68-496.6311.13-837.5-788.78230.27892.29-64.15+213.85-344.55+/++++-/**---487.11590.36/
/-58.98-795.57*-98.26/-722.6--847.89--965.76-515.5*/182.03317.36-**/962.1*794.51*154.1/107.52-939.75,-939.75107.52154.1794.51962.1-426.79795.57-58.98/--*317.36182.03/*-515.5-965.76-847.89-722.6-98.26*/--/**/
+808.1/210.99+/--339.65+574.3+-286.83*-722.92+-36.43-489.4*-629.74563.97--258.42*552.25*-287.79/-915.36,-915.36-339.65509.39210.99808.1+/+-/-287.79574.3+*552.25-722.92-286.83+***-489.4-36.43+-258.42-563.97629.74-
+-291.51+-340.01589.4-+-968.2+-743.37--915.66/-534.0710.45//777.6+628.79+390.04+66.67/770.06+851.32-722.46,-722.46851.32770.0666.67390.04628.79777.6-743.37-968.2+-589.4-340.01-291.51+++//710.45-534.0-915.66-/+++/+
/-850.88-199.39*/326.87+-737.3+19.63/-336.7/957.13*-395.23--76.86+557.62-8.46+679.98944.0/-93.61,-93.61737.3-*326.87-592.98199.39-850.88/-*/944.0679.988.46557.62+-395.23957.13-336.719.63+//*-+*+
+-774.53*+/-258.38+67.9*-630.69/-551.25*-627.21+992.45/331.24*-121.57/-426.09-903.39-807.66/554.21--133.08,-133.08-630.69+-258.38-622.15-774.53+*/+*-554.21331.24992.45-627.21-551.25/*+//-807.66903.39-426.09-121.57//-
/-187.36*-162.75+-967.79/-973.19-*--70.56--509.57-540.77/-515.73*-238.38+460.39*107.26118.9/+-455.89,455.89-530.49540.77/-70.56747.27-973.19-967.79-162.75-187.36/*+/----+/-107.26460.39/-515.73/*+*
+-77.45+-/-93.79+727.5+-473.31*992.16-16.67/--161.43/-384.65*600.91+467.78/636.79*378.86992.1--644.93,-644.93636.79467.78600.91-384.65-161.43-/-16.67992.16-473.31727.5-93.79145.95-77.45++/++*/*+/-*378.86*
+-676.74--643.13/409.86259.2/*780.94/435.12557.3+*-548.86*689.01/849.15*-381.85+227.74-476.9+-702.97/984.18,984.18689.01-548.86780.94/259.2409.86-643.13-676.74+-/*++557.3435.12///-702.97+-476.9227.74-381.85849.15/-+
+-167.78+61.96/379.83-714.92/620.94/863.2-+*-927.31+269.95+369.2892.4//-772.14*-985.36-351.8/-977.01,-977.01-927.31439.83863.2+714.92379.8361.96-167.78++/-//-*//92.4369.28269.95++-351.8-985.36-772.14//
--442.46126.14//563.37--147.58+-669.69--768.22*230.8--578.96*208.25//--491.3/51.66+836.88--718.04784.09,784.09-718.04836.8851.66-491.3933.82208.25-578.96*-768.22-669.69-147.58563.37//126.14-442.46--+-*-*/-/+-
+-35.36+-157.96/780.58/752.28-380.31+887.07--911.01*642.78+-987.88/-775.04/707.04288.86*397.56*-387.55/584.1,584.1887.07380.31752.28780.58-157.96-35.36++//-+/-387.55-775.04-987.88642.78-911.01+*+/*397.56*288.86707.04/
+199.75/787.01--261.11--261.63/431.61*-100.59*-109.14+-7.92-789.86/-682.5/147.48+-490.9/194.34-67.42-799.44,799.44-261.11787.01199.75+/---67.42194.34-490.9147.48682.5/--/-789.86-7.92-109.14-100.59431.61/**+/+/
/328.55*-134.96/-115.29-538.28/554.14-268.56-112.58*+-32.82*881.15/646.47/556.71/32.06*-528.23-577.94*41.92,41.92538.28-115.29-134.96328.55/*/-*-577.94-528.2332.06556.71646.47881.15-32.82554.14/+*-112.58268.56-*///-
-650.14*537.73-727.36--412.49--761.27+-698.48+-519.74+877.77+13.21-203.31-322.04/895.53*770.88562.85*475.32,475.32770.88895.53322.04203.3113.21877.77-519.74/-761.27-412.49727.36537.73650.14-*/---++---/**562.85
*297.22--49.31*-185.13/-12.33/160.3--435.49+-494.28*-456.17*655.22-868.17---727.74*-469.86/-493.85*-61.250.9,50.9-61.2-493.85-469.86-727.74-494.28-435.49160.3-12.33-185.13-49.31297.22*-*//-*-/-868.17655.22/***/*
/-563.59/-511.46/-71.0/575.89*--868.79*/-837.13+71.76-56.82/-759.64*-795.16/-411.77-413.24922.44*966.33,966.33-563.59/*922.44413.24-411.77-795.16759.64-511.46/+*-868.79331.69575.89-71.0//*/-56.8271.76-837.13/+*/-
/-994.54--557.52**--101.22/657.45*-5.47--655.66*65.54-589.06/+527.29-947.57+331.43/-530.51/360.66-256.92,-256.92360.66-530.51331.43947.57527.29657.45-101.22-*116.95-557.52-994.54/+-+/-589.0665.54-655.66-5.47--*-+//
+-798.33+-786.76/-66.77/666.88*175.93+68.52/230.7/11.54*-97.95/-907.67--939.66+-662.32*609.94-650.28/879.38,879.38-97.9511.54230.768.52175.93666.88-66.77/-798.33++//*+//*/-650.28609.94-662.32-939.66-907.67/-+*
*-759.38-258.98--140.92+-894.98/++90.52--239.62-800.35-217.63--149.61/-309.79-111.06/-+-31.97*420.68,420.6890.52133.81-894.98-140.92258.98-759.38*--+/+*-31.97-239.62-+323.36217.63800.35--/-111.06-309.79-149.61-/
/-287.05*65.01-743.99-907.66+988.18*-811.84-438.28--204.71+991.17/408.46-127.29*806.25/576.23-864.53/-170.28,-170.28127.29408.46991.17-204.71438.28-811.84988.18907.66743.9965.01-287.05/*--+*-*+/-/-864.53576.23806.25*/
*554.3+132.81-834.06-792.24*662.05-697.99/-684.23/-*-638.23/*-227.44828.37+-33.88/708.7--910.77,-910.77792.24834.06132.81554.3*+---708.7//697.99662.05*-+*227.44-46.3-638.23-814.82-684.23//*/-
-212.69*-965.84+-190.48*323.5+-676.63+-445.46+-314.68*-956.85649.43/--189.67/-777.88/460.01*-618.64-140.25/62.38,62.38/-140.25-618.64460.01-777.88-189.67323.5-190.48-965.84212.69-*+*-/649.43-956.85-314.68-445.46-676.63+++///*
/-911.22342.37*/-198.78*-769.47+-741.74*283.68--594.51--904.05+-998.85-884.7548.19-+-426.72-558.02-247.28-907.28,-907.28-558.02-426.72283.68-741.74-769.47-198.78/*342.37-911.22/*+*+-48.19884.75-998.85-904.05-594.51--+---
--283.36*-650.32/209.31-360.6*-890.32--945.0+-27.82*-137.44/-161.88*-797.26+486.56450.16+/+174.0/516.6,516.6209.31-650.32-283.36-*//174.0-945.0-890.32360.6-*-+-836.24+450.16486.56-797.26-161.88-137.44-27.82+*/*+
--515.58/958.99432.98/+-126.24-137.41/*816.68--743.33+-702.61-277.51/-611.23-22.1+17.19-382.59--29.97-825.43,*816.68/-137.41-126.24+/432.98958.99-515.58-/*--29.97-743.33--382.59-17.19277.51++-+-22.1-611.23/
-748.76--604.4-964.8-983.77--203.31+622.3+-260.03+-691.0+518.1/860.09+522.01/-73.24-983.53/622.01+-652.71,-652.71518.1-691.0+622.3-203.31983.77964.8-604.4748.76-----+++++622.01522.01860.09/*/-983.53-73.24/
/-156.19*-58.54*-702.63+****-909.33-367.44---469.43+22.45+921.72+-837.27-386.43/-763.54615.4+615.5,615.5921.7222.45-469.43-819.52-324.91-702.63-58.54-156.19/**+*---367.44-909.33*+**615.4-763.54386.43-837.27+-/
-850.26*49.4+606.09*803.42/699.96--293.23-+371.78/+-5.9-593.67/+*-721.8/728.72-611.43-849.85,849.85728.72-721.8530.87593.67-5.9803.42606.0949.4850.26-*+/+/371.78-344.44-293.23699.96/---///--611.43
-957.97-164.71/-923.35+257.85-398.4+-438.75--867.89-54.32*++99.59+552.43-42.91-526.89139.95--974.65,-974.65-438.75398.4257.85-923.35164.71957.97+-/+-+-139.95526.8942.91552.4399.59-598.5454.32-867.89--*++--
/-613.4-680.35--710.15/490.46*-557.85*-0.68*-835.39-386.56/681.35+*-923.28375.18-148.28/528.58-550.85,550.85-528.58/148.28923.28118.73681.35386.56--0.68-557.85490.46-710.15680.35-613.4/-//***-/+--375.18
/-572.9/-666.77+-350.88*-41.84/-146.18+-580.73+923.89/-601.08-673.68+-799.04*-531.89/132.66-902.83+-92.73-285.01,-285.01-92.73902.83132.66-531.89-799.04673.68-601.08923.89-580.73-146.18-41.84-350.88-666.77-572.9//+*/+///+*/-+
+601.39/634.93/157.02*+-544.35*-334.13*512.59*408.2/-631.37/689.72--616.25967.24+211.99/608.08/-303.67,-303.67-865.42157.02634.93601.39+//*/608.08/211.99544.35-*967.24-616.25689.72-631.37408.2/-334.13***//-
*513.44/262.43-858.14+-280.72///-236.62*-186.78+204.75-3.6/-538.93/301.47-987.24-147.63+286.34*+,+-186.78-236.62689.93-280.72858.14262.43513.44*/-+//**286.34987.24301.47538.93-/-3.6204.75+/-+-147.63
--9.86*640.98*378.93+-641.59+175.36/91.88+392.13*-175.75940.27//-737.12*+--96.94--681.92*390.78120.19,120.19390.78-681.92-96.94-212.35-737.12378.93640.98-9.86-**/-940.27-175.75392.1391.88175.36-641.59++/+**--*
--482.74+-794.42*107.61+370.91+-584.28/-200.43/133.1/731.97/-664.82-561.89/--21.43*-+818.72-387.49*613.71,613.71-778.53-21.43-584.28370.91107.61-794.42--+*++-/-561.89-664.82731.97133.1-200.43/*//**-387.49818.72+
-692.2*655.68+-124.49+641.94/61.31/235.09+282.17+-879.74/447.3*951.48-194.04*-558.27/-936.64/655.9,655.9641.94-124.49655.68692.2-*+*/936.64-358.29-558.27194.04951.48*-879.74282.17235.0961.31//++/*-*
*41.97/75.67-268.66/--473.53*801.23*-562.34+-622.65--33.93-534.48/*-577.66+-875.6192.1//64.52324.68/-933.05,-933.05+//-268.6675.6741.97*/92.1-875.61-577.66-473.53-+/-534.48-33.93*-562.34801.23**+-+324.6864.52/
*-803.89/271.11/-407.92*176.46--254.33*-565.88--656.42-448.88/589.38+573.43*-990.73/509.24817.49+308.55+-211.52,+-407.92271.11-803.89*//+308.55+817.49509.24-990.73573.43589.38448.88-656.42-565.88-254.33176.46*-*+-/+*/
+-595.17/321.09+-946.23*167.65+-230.57--959.51/-808.83110.36*-820.84+662.58*-451.98-231.78/--332.59*-749.64644.26,644.26-749.64-332.59662.58820.84321.09-595.17+/-*110.36-808.83-959.51-230.57167.65-946.23+*+-/+-/-231.78-451.98**
*319.64/-168.31+880.43*-967.18893.1+/231.9-779.1+-211.6-95.87--511.58--837.75+-41.3985.78-886.12/946.02,946.02319.64*/886.12511.58880.43-168.31/+--+893.1-967.18*-95.87-211.6779.1231.9/-+-85.78-41.39-837.75-+
--59.32--799.52+-706.23-*/738.81/-281.46+693.1/-826.26628.12*-776.82/-65.64/-770.73/520.24*764.48-916.0,-916.0764.48520.24-770.73-65.64776.82-706.23-799.52-59.32--+-*628.12-693.1-281.46738.81-591.25-//+////*
+-380.01-804.2+-849.8/153.17/205.05/331.0*-122.31/229.67*878.97-248.17/-549.37+-153.5++451.29+-242.37,+331.0205.05153.17-849.8804.2-380.01+-+///+451.29229.67-122.31*/+975.55--549.37248.17878.97*-/+
+-264.07+449.69-*/-598.15-*--561.78/-450.33/529.35/836.19/-50.72-872.54--948.97844.99/*672.49543.17,543.17672.49836.19529.35-450.33-561.78-264.07+-*-126.03-598.1533.17449.69+-//*/*/844.99-948.97872.54-50.72/--
