Formula,Result
++/513832/4694,51/38+32+46/94
-/*-773672958,7*73*67/29-97
+/2516*/46873,25/16+46/87*70
/-+-5697514914,56-97+51-49-14
++++539568642,73+39+56+86+42
+/6182**15147,61/82+15*39*7
+-79+*52378162,79-52*37/81+62
*/*/565431565,56/24*50/56*5
++//452510658,45*25/10+6+58
++*211634/3244,21*16+34+32/44
+-*4336/491829,43*36+49/18+29
+/9210//705620,92/10+70/3/20
-*3790*/87432,37*90-8/74*32
+78**+89972133,78+89/97*21*86
-/6683**90797,66/83-90*79*7
--8962/*325297,89-62-32*52/21
-+5330-/894439,53+30-89/44*39
+-17//94241137,17-94/90/11+37
++/*6383857491,82*83/85+74+91
-+342*/622127,34+31-62/21*27
+-//849342267,8/49/89-22+67
--+-194184232,52-41+84-23-2
-/*771986/1329,77*19/86-13/29
/+/646/608038,99/6+60/80+38
+-6528*/64935,65-28+16/9*35
+-+6981*404376,69+81-40*43+76
+///2572271250,25/72/27/12+50
-+3241*/99568,32+41-99/56*8
-**753124/9842,75*31*24-33/42
-//2718*241,2/7/18-24*1
-++-8759164172,87+59+7+41-72
+-4/3629/8224,4-36/29+81/24
-12//*14665171,12-14*66/57/71
--9138//125844,91/38-12/41/44
--*3114*926155,31*14-92*61-25
-+-84/14507244,70-14/50+72-44
++*/2421395015,24/21*39+50+35
+**/6014615645,60/14*61*56+45
+-30*/6826264,30-4*26*26+4
-+44*4564*2027,44+45*64-20*27
-*7574*/766329,75*74-76/63*29
*//*495123229,4*95/12/32*29
-+89*2782*4671,89+27*82-46*71
+--333691*4316,33-36-91+43*16
-+/838277*5232,11/82+77-52*32
-+*683858*6023,68*38+38-60/23
-22**/71649367,22-71/64*15*67
-+8789/*616814,87+25-58*68/14
++-/511586447,51/15-8+68+47
+-/-6862964036,68*62/96-40+36
++5441/*307660,54+41+30*76*60
-*+654292/7672,30+42+92-76/72
-18*/*1982864,18-19*82/86*4
///*4056389733,40*71/38/97/33
-50***3461878,50-10*61*8*78
-+48//3426625,48+34/26/6-25
-/6242/*266242,62/42-26*68/95
++-93/217865,93-71/70+86+5
---7933/456995,79-33-45/69-95
+--5582*858548,55-82-85*85+48
+/*/535828283,25/58*2/82+83
+59*//91696925,59+91/69/90*25
+*//3047133,30/47/1*3+3
-/*393173/1871,39*31/73-18/71
--+1821*652856,18+21-65*28-56
+--222668*6469,68-26-68+64*69
--/918885/3722,21/88-85-37/22
/++/1422133456,87/22+13+34+56
++/687756*75,68/77+56+7*5
-/**7896721813,78*96*72+18-13
-+96*1981/7169,96+81*81-71/69
-++*999609941,99*9+60+99-41
**/*562023244,56*20/23*24*17
-+**8514923786,85*14*92+37-85
-++-562982573,89-62+98+25-73
+--+3230403730,32+30-66-37+32
++23**63692470,23+63*56*24+70
---28*10483987,28-61*48-39-87
-++75/45709921,75+92/70+99-21
+-*306662/7457,30*66-69+74/57
+-+426/922788,4+26-92/27+88
/+328/*243377,32+8+24*33/77
+--691/526379,6-91-52/63+79
-*/446347*6557,44/63*47-78*57
--/-7750713248,77-50+71-32-48
-*+85-47361949,85+47/36+19-49
+-5279//423565,52/79+42/35/65
-++6272/34453,62+72+34/4-73
-+-857563/315,85-75+63-31/5
++/598852*1452,3/88+52+14*78
-51///30139824,60-30/13/98/24
-*1154*/128716,11*54-12/87*24
+*+*859392912,8*59+39+29+12
++-/662653428,62/26-5+34+45
-+1766**465757,69-66-46*57*57
+-/724*722130,7/24-7*21+30
-*//1558198159,15/58/19*81-94
+8*/*6037598,8+45*37/5*15
--*385652*2329,38*27-52-81*29
+-32/8246+9366,32-82/46+93/66
+--709236*7953,70-24-36+79*53
--17/8584*2211,17-85/84-22*11
**//8650711523,86/50/71*15*23
//*17491*7986,1*74/23+79*86
-/*591539*9034,59*15/39-90*34
++891//568183,8+91+56/81/83
++--958433498,95-8-43+34+98
-+*3342/64947,89*42+68/49-47
+-/41630/1660,41/6-30+16/60
---4119*91757,41-19-27*17-57
+-74/1511/3923,74-15/11+39/23
*//425846*8659,42/58/46+86*59
/-+98*9915680,98+9*91-56-80
+++45*7211157,45+72*1-69+57
++*867321*9717,86*73+21+97/17
-*+7*7796640,7+7*79-66-40
+-**7359446054,26*59*44-60+54
+-*776437/123,77*64-37+1/23
-*/683813/3431,68/38*13-34/4
+-15/7371*1445,15-50/71+27*45
++++2196611076,21+96+61+10+15
--63/9216*7269,63-92/16-72*69
++-/9375675770,93/75-67+57+69
-*84/560*7722,96+5/60-77*22
////1153246325,11/53/24/63*50
-+-121538/6324,12-43+38-63/24
*+/7963/26486,79/63+2/64-86
-+/13249*4788,13/24+9-47*88
+-+5654/77291,56+54-77/29+1
/-*708996*3266,70*89-96+32*66
---68*92312263,68-92*31-22-63
--39//1495824,39-14/95/82-11
/-7280/*975370,72-80+97*53/83
////6569701216,65/69/70/12/16
++/*8949222653,16/49/22+26+53
/*//1659367483,16/59/36*74/83
