Formula,Result
6.24-575.59461.68-532.87652.57650.44-948.38-160.18-403.01+-*--+++/,-403.01+-160.18-948.38*-522.34-650.44-652.57+-532.87+461.68+-575.59/6.24
-477.43363.88896.5-24.21+-627.77-411.45-659.49-708.38-34.17+///+-/**,-34.17+-708.38/-659.49/-411.45/-627.77+-561.73--24.21/896.5*363.88*-477.43
-901.42+-898.55206.2213.25-279.56633.86-202.95986.12-*/*--*-//,-130.28*986.12/-202.95/633.86--279.56-13.25*206.22--898.55/-834.8/-901.42
-790.68/915.86-902.28668.78872.98-592.74-523.07-854.88-569.5*/++-*-/+,-569.5*-854.88/-523.07+-592.74+872.98-668.78+-902.28-915.86/695.22+-790.68
-375.96-986.72+556.12-612.65673.32-371.16-913.62388.91672.66-/*+/*/+*,672.66-388.91/-913.62*-371.16+673.32/-612.65*556.12/238.8+-986.72*-375.96
524.76-653.54485.3476.42954.08624.2963.95-552.79466.81**--*/*//-,-335.73*466.81--552.79-63.95*624.29/954.08*476.42/485.3/-653.54-524.76
524.4191.76834.69688.62141.21158.83-957.76-314.43384.52438.79---++----,438.79-384.52--314.43--957.76+158.83+141.21-688.62-834.69/191.76-524.4
501.27*-812.41-885.42-46.13-334.35-19.77-985.88687.9-24.56+-/-+/-*+,-24.56+687.9--985.88/-19.77--334.35+-46.13/-885.42--812.41*674.35+501.27
625.27-515.52-743.84-333.24933.13833.8341.35-52.59-721.3+-/--/-*+,-721.3+52.59-141.22+41.35-833.83-933.13/-333.24--743.84*-515.52+625.27
-262.59781.56-579.62-366.38-830.66-134.43108.83552.09356.22-823.18-//--+*+-,-823.18-356.22/552.09/108.83*-134.43--830.66+-366.38*-579.62+781.56--262.59
50.34340.04/867.11-883.65-857.64-242.64152.14-475.36338.9-*-+*/+/+,338.9--475.36*152.14--242.64+-857.64+-883.65/867.11+569.31/340.04+50.34
214.4729.71185.37--766.56992.96810.56430.5214.67566.78--/+-*/-*,566.78-14.67-430.52/810.56+992.96--766.56*600.77/185.37-729.71*214.4
952.71-54.64-246.39236.97-530.87-780.23701.68-921.26778.28663.35-**/+*-/+,663.35-778.28*-921.26*701.68/-780.23+-530.87*236.97--246.39/-54.64+952.71
-852.1-89.77-988.31763.98-672.11990.08-254.7723.96-443.94+/**++-//,-443.94+23.96/-254.77*990.08*-672.11+763.98+-988.31--89.77/852.1/440.29
-208.35-593.33471.1-889.69-291.39+353.96128.31798.62-497.61-++++//+-,-497.61-798.62+128.31+353.96+795.21+-291.39/-889.69-471.1+-593.33--208.35
-380.84*-169.03388.4532.73-211.06-448.6-781.69295.96-566.68*-++/++/+,-566.68*295.96--781.69+-448.6+-211.06/532.73+388.4+-169.03/-353.05+-380.84
395.45384.75-644.65-277.8470.92388.68-156.28124.79987.51693.12-/-*-*++-,693.12-987.51/124.79--156.28*388.68-70.92*-277.84+-644.65-384.75-395.45
-375.9-711.53-266.94403.67-809.09-79.17-172.77203.9-80.91-570.86*//++//-/,-570.86*-80.91/203.9/-172.77+-79.17+-809.09/403.67/-266.94--711.53/-375.9
889.91-61.05--689.41848.79-202.37188.81777.24-147.17978.38-/*-*-+*-,978.38--147.17/777.24*188.81--202.37*848.79--689.41+-278.74*-61.05-889.91
252.16-247.73-866.8841.23-27.2/-113.29-256.41-522.63-984.23/-*+*+*++,-984.23/-522.63--256.41*-113.29+550.95*-27.2+41.23*-866.88+-247.73/252.16
-851.33580.45420.42357.56684.0-561.34-360.91-500.47-897.26948.44+*--+-+--,948.44+-897.26*-500.47--360.91--561.34+684.0+357.56+420.42-580.45--851.33
-127.79-878.8-774.48*756.24-921.58513.52506.58-255.01-488.84*///*/*/+,-488.84*-255.01/506.58/513.52/-921.58*756.24/-563.92*-774.48/-878.8+-127.79
334.48-2.56621.44-510.03-489.29251.92-700.95/-509.32-541.28++++/-*-/,-541.28+-509.32+-191.19+-700.95+251.92/-489.29--510.03*621.44--2.56+334.48
