Formula,Result
-*/-643-986-449*791-370,-643/-987*-449-791*-370
-+-+646-156-588-973-65,646+-641--588+-973+-65
+++/579-815-476524530,77--815+-476+524+530
***/-71187873-52-112,-71/656*873*851*-112
++*387536*123632418,663*536-123*632+418
*+//-803268154203-1,-803/268/154*203*-1
+-582/**-553-873-89382,-582+-553*-873*420/895
+--*-380-599-84827294,-380*-599--84-827+270
+-/*-970-811943-185-382,627*-811/943--960+-382
++-818/627481*676241,-951+627/481+676*241
---246-151*-580878249,212--151--580*878-249
++--85464*72734329,398-64+72*734+329
+-518-377//99613307,518*-377+99/613/307
-*/*-843-197912723-82,-843*-197/912*723--82
--+/624927-348-613-295,624/927+-348--533-719
+-+-995901-758/-145807,407+506+-758+-145/807
-/-215794*/941-391-210,-215--558-941/-391*-210
--+/-124-882965-791-145,-124/-858+965--994--145
///742-933-865/330734,742/-85/-865+330/734
-++*640-211-77563-757,230*-211+290+563--757
-/-*285155882949-378,285*748/-172/949--378
-/-595-331-933/255150,595+-331+-933-255/150
+/-913-204**801657120,-913+-204+-547*496*120
+-/-847-410*-289-310-987,-847*-410--289*-310+-987
*//*25742600780657,25*742/948/780*657
+*-636-841/*-508-481-543,-636*-841+-984*-481/-543
+/*/44715789382106,447/15*980/382+-171
-++-837591/109-240-966,-837+591+109/-240--966
-*+*-97130137-357-679,-971*30+137+-357--679
-++-107-15-472-920-99,107--709+-472+-920--99
++-691*-803364*270400,-691+-803*694+270*400
+-+896/187888-617-592,728+187/888--617+-592
-*/+-644738-943-934407,-644*738/-943*-365-407
+/263-33*/-808-917155,263/-33+-808/-917*155
-+415-566/+-528-937891,415+-566--528/291/891
--*-400-827460/-968-626,-400*-827-460--968/-626
+--894352**-745128720,-894-352+-745*128/-312
++-208*-591980*-199-524,-208+-591*980+-199*-524
--*987701-305/-77574,987*701--305--77/574
-/285+-289648+-220750,285+-289/648--220/750
+--802/*434106940577,-802-434/106*940+577
+--*-17028123683532,616*281--749-83+532
---/38-308-46-2872,38/-308--46--28-498
-+---722847-684987-422,-976-847--684+987--422
-+720-49695*108-113,720+49/695-108*-113
-++-637+-918-982316-319,-637+-918/-982+316--319
--/-339-794/-740-832563,-339/-700--740/-832-563
-/+500-417-442*-668283,-722*-417/-442--668*283
--+981949/106541110,981+949-899/541-110
-++*-922562-315930-650,-922*70+637+930--650
+----107-973-117-874-693,-107--973--117+-874+-693
--+-816*-772-213828541,-816+-772*-213-828-408
+--614348*--544-964-774,-614--459+-544/-964*-774
--+/793145224-542613,793/-475+224--542-613
+--319628/22-792-738,319+628-22/-792+-738
+*833725*/-239404-315,-730*725+-239*404*-390
+-*/2-809403184-172,2/-180*403-184+211
-+//-765795-325820-861,-765/795/-325+-825--861
-/--166/979697-376-558,-166--603/697+-376--558
*+437-393*/-469114323,437+-429+-469/114*323
-+/-841*17245-721-133,-841-172*45+-721--684
++585-22*/-254-433425,585+141+968/-433*425
**/-57-799-940*831-644,-57/-799*-940+831*-644
*+-598194**24239972,-598+194+242*399*72
+++270602545*53765,270+602+545+53*765
+/**-307-234-14595467,-307*-234*-145/441+467
--/-603-378405/213271,-603/-378-405-213/271
