Formula,Result
27.0389.69-60.56-43.9564.8667.91-37.39-84.57-80.0417.97**+/-+--+,17.97*-80.04*-84.57+-37.39/67.91-64.86+-43.95--60.56-89.69+27.03
-70.0+2.4318.39-57.4832.66-12.3638.56-72.72-85.41**///*-*-,-85.41*-72.72*38.56/-12.36/32.66/-57.48*18.39-2.43*47.05--70.0
-54.43-0.99-7.5483.3-21.23/-5.97-3.79-63.69-5.9/-*/*++/+,-5.9/-63.69--3.79*-5.97/18.27*-21.23+83.3+-7.54/-0.99+-54.43
79.4-46.32-6.39-36.14+-9.63-37.9884.5399.2-6.18//+*//-+-,-6.18/99.2/84.53+-37.98*-9.63/-13.08/-36.14--6.39+-46.32-79.4
-19.51-51.6297.29-84.35-82.72-81.39-18.564.86-49.9261.56*+++-/*/+,61.56*-49.92+64.86+-18.5+-81.39--82.72/-84.35*97.29/-51.62+-19.51
85.36-43.325.83-80.2567.514.9956.0638.4663.7220.09++-/+*-/-,20.09+63.72+38.46-56.06/14.99+67.5*-80.25-25.83/-43.3-85.36
/-9.54-29.17-28.9614.2897.7183.691.398.96-31.65---*-/+--,-31.65-98.96-1.3-83.69*97.71-14.28/-28.96+-29.17--9.54--71.66
59.2658.58-48.6-83.01-13.4563.11-83.0354.65-9.02-47.84*++--*-**,-47.84*-9.02+54.65+-83.03-63.11--13.45*-83.01--48.6*58.58*59.26
-87.09-83.38-76.9968.6115.4862.26-51.22-93.4-56.15-19.16/+++*//**,-19.16/-56.15+-93.4+-51.22+62.26*15.48/68.61/-76.99*-83.38*-87.09
-30.6659.76-71.87-50.96-51.83-64.78-49.52-52.25-11.3627.15//--+-++/,27.15/-11.36/-52.25--49.52--64.78/-51.83--50.96+-71.87-59.76/-30.66
95.27-94.26-0.16-72.47-96.94-18.8274.47-10.0928.65+*+--*-+-,28.65+-10.09*74.47+-18.82--96.94-72.47*-10.43--0.16+-94.26-95.27
79.0213.7133.8-78.52-37.82*-27.3516.5470.4876.94+**/++///,76.94+70.48*16.54*-27.35/96.2+-37.82+-78.52/33.8/13.71/79.02
-39.39-23.39-6.6520.9494.296.19-5.82-89.17-24.235.74/+*-+////,35.74/-24.2+-89.17*-5.82-96.19+94.2/20.94/-6.65/-23.39/-39.39
21.91-18.29-47.7676.28-13.86-61.68-8.8371.79-41.16-93.52*+--++-/+,-93.52*-41.16+71.79--8.83--61.68+-13.86+76.28--47.76/-18.29+21.91
-80.7416.5490.3641.31-52.96-80.51-46.63-77.0826.71-65.5-+-*+++-/,-65.5-26.71+-77.08--46.63*-80.51+-52.96+41.31+90.36-16.54/-80.74
76.8922.5774.4569.1563.4548.12-99.2915.7126.53-77.11//*-*---*,-77.11/26.53/15.71*-99.29-48.12*63.45-69.15-74.45-22.57*76.89
43.04-13.65-42.3377.863.3616.4499.3732.69-29.92--+/*-++*,-29.92-32.69-99.37+16.44/3.36*77.86--42.33+13.65+14.33*43.04
45.29-65.2964.06-50.53-2.0736.71-77.7718.7636.1694.12-*+*-*/*/,94.12-36.16*18.76+-77.77*36.71/-2.07*-50.53/64.06*-65.29/45.29
-53.3455.45-49.88-92.78-83.0799.3-8.3511.75-87.6554.82/*+////*/,54.82/-87.65*11.75+-8.35/99.3/-83.07/-92.78/-49.88*55.45/-53.34
-55.64-16.62-85.91-4.6167.1324.53-20.88-73.25-29.98-37.74*+-*-++/-,-37.74*-29.98+-73.25--20.88*24.53-67.13+-4.61+-85.91/-16.62--55.64
-64.24-19.0888.41-74.83-35.8132.0863.1467.5491.35+-+/*+++*+,83.99-91.35+67.54/63.14*32.08+-35.81+-74.83+88.41*-19.08+-64.24
