Formula,Result
+///-7261934090,-72/61/93*40+90
+-11*677/78-63,11-67*7+46/61
+/*-545-75/-7799,-5*45--75+-77/99
-*10-31/+6-100-75,-48*-31-6/-100/-75
+-8/-*27-89-52-31,-8+27*-100/-51/-31
/-/1543/-72-28-23,-86/43--72/-28--23
--+62/-3556-139,62+-35/72--1-39
-**1179*-83-8523,11*79--83*-85-23
*+//92-7777-7361,92/52/77+-73-61
-+/-88721/-487,-88/72+1-39/87
*-125/*-4787-17,1-25+65*87/-17
-79///-6596-3293,-60--65/14/-32/93
+/--75-8910/7484,-75--89+10+74/84
+//-1008352*3915,-100/83/52+-54*15
/+-26//-29451250,-26+-85/45/-24+50
-/**16-35553970,16*-35*55/39--28
+--18-85**027-95,-18/-85+0*27*-95
*55*/-1424-209,55+14*24/-20*9
---92+/-627-5740,-92--62/7*-57-40
*-/*-21582835-14,-21*58/-27*35*-14
--+44/34-982560,44+34/-98+25-8
++*7435/-748834,74*35+-74/88+34
+*+/-24-8495-9494,-24/-84*95*-94+-83
---4270//5297-80,-42-70--78/97/-80
-/*-327726/-6-20,-32*77-26--6/-20
-/-57-89*/66-65-47,-57/-89-66/-65*-47
**/--584-97-6191,-58*4/-97*-61*91
-/-37-38/*-61-41-73,-37/-38--61*-85/-73
++-20*-64-5-3211,20--64/-5+-32+11
+-/2251/3051-7,22/51--84/51+-91
-+-5995*+-92-95-18,-59+95--92/-95*-18
-++/79-1797-9628,79/-17+97+-96-63
-++2177/84-7059,43+77+84/-70-59
+/77*-92-93/47-15,77+-92*-93+47/-15
+*+-9123-99+48-65,-91+23--99+48*-65
++/*-2448164388,-53*48/16+43+88
-+39-99/*-49-649,99+-99--49*-6/49
/*+/-96-8189-9230,-96/-81/89*-92/30
++*-5533-1277-36,55*33*-12+77+11
++/+-438-8739-67,-56/20/-87+39+-67
+-38-63/*39-59-22,38--63+39*57/-22
---43-18*-63-14-31,43--18--63*-14--31
-+/-8779/-257113,4/79+77/71-13
-/72-96+*71-77-50,72/-96-71*-77*-50
-+-125*72-70-11,1+25+72*-67--11
-*/*661460-1096,66*14/60*-10-96
-/-169*-697725,16-2--69*-13-25
+-+*-48-68364825,-48*-68+36-48-25
-***-23272114-77,-23*27*21*37--77
--+-11-34*990-62,-11+-34-99*0--62
++23**649697-50,23+64*-8*97+-15
++/-274057/6-38,-27+40+57+6/-53
+*/*-51-15-64-8426,-51*-15/-64*-84+26
+++-87878794-53,87+-6+87-94+-53
-+/-6560+-18670,-65/60+-18/67-0
++77/--9929-6840,77+-99*29/-68-40
++4582//401843,3+82+40/18/43
++-6731//-7780-5,-67+-31+-77/80/-5
-+-462169*-440,46-21+69--4*40
+-++-41-5484-964,-41+-54+84--9+63
*+---62-356935-11,64--35-69+35+-11
++-*96-37221,96*-3-7+80+1
++-+8740-65-3213,87/40--65+-32+13
+---72/33-3827-88,-72-33/69-27+-88
/+71-100*/55-27-3,71+-100--66/-27*-95
+--9854*54764,98-54-54*7+64
+--3496*/-95-84-52,-34+96+-95/-84*-52
+++-35-88-8130-62,35--88--81+30+-62
+/-54*-10-82*3561,-54+-10*-82+82*61
+-*/41-817-4196,41/97*7*-41+96
++33**-8282-1-33,33+-82*82*-1+-54
-/*111921/-4885,11*19/21--48/85
++-91-88*/8631-42,-91+4+86/31*-42
--+-8967-95/40-49,-89/69--95-40/-49
-/-45-91*/-72-5573,-45/-91--72/-55*73
--*20/2393-30-54,20+23/93--30--47
++-26/-82-97/84-29,-26+-82/35+84/-29
++1*/6451-76-24,1+64/51*-76+-24
-/-3-74*/48-15-96,-3/-83+48/-15*-96
-/**-7118821543,-71*18*-15/15-43
+-/-277384*0-98,-27/73-84-0*-98
-+*57-68-82*-7474,57*-68+-82--74*74
--/46-19*60-3978,46/-19-60*-5-78
+/+-90-24-35*3865,-90*-24/-35+38*65
+++-81-14-11/39-79,-81/-14+-11+39/-79
-+--74*99-48-428,-97-99*-48+-4-28
--+-98-5446*49-10,-98--54-46-49*-10
--++-1152065-19,-11+-82+0-65--19
+-+--41-60-6653-36,-41--60+-66-76+-36
-+-4862/*-74-1797,-48+62--74*-17/97
+/-1346*+-492812,-13/46--49*-38*12
-/*5319-51/65-48,53*19/-51-81/-48
+-28-11*/94-25-77,57--11+94/-25*-77
++/12-76*-67-796,12/-76+-90*-79+6
-*-4/-8761*960,-4--15/61--47*60
+--*-8-99616778,-8*-99-61-67--84
--++72-32-88-96-19,72+-32+-88--96--19
//**-65-839838-79,-65*-54*98/38/-79
----38-8160/-54-96,-38--25-60--54/-96
+--11-6**45-45-70,-11/-6+45*-45*-70
