Formula,Result
+-+++11/32*63147^84117*4852,11-32/63**1+47+84**1-17+48*52
-+1898-*68-/90^88211/17*1034,18+98-(68*(90/88**2-5)-17/(10*34))
-+/11^53298//*236190-^78194,11/53**2+98-23*72/90/(78**1-94)
-/+64^641^351^-42^21^821,64+64**1+35**1-(42-2**1-(82**1))
-+-+52620/+*62^29267^50235,52+6-20+(62*29**2+67)/56**2-35
--+++7143*/724137/33^872145,71+43+72/41*37+4/87**2-14-5
+---83*18936254/*--3582731270,(83-18*93-62-54+(35-82-73)*12/70)
++---^632564497*6188*74-5879,(63**2-56)-44-97+61*88+74*(58-(79))
++57++--7634595421/60+19*3767,(57+(76-34-59+54+21)+60/(19+37*67))
+++-+++^91/33842115889878,9**1+3/38+42+11-58+66+98+30
+++++++-6910-908491365708477,69-10+90*8+49+13+65+70+84+77
++-+^472/95^611/92847^112,47**2+95/61**1-92/8+47+11**2
-/*27-+/22^8293*68687/5165,27*(22/8**2+93-68*6)/87-51/65
--*/*64724^732^+*291330157,64*72/4*73**2-(93*13+59)**1-57
+79++/7158*62^332//8435^342,79+(71-58+62*33**2+84/35/34**2)
+-+-^461/60^2021617+-237689,46**1-60/20**2+39-17+(23+76+89)
--69*//*4243911744*/4613+5770,69-42*43/91/17*44-46/13*(57+(70))
++/23860-++^211/50984/209,23/78+60+(21**1+50/9+84-20/9)
+^771*7-/40^842*/8080/922,77**1+7*(40/84**2-80/80*92**2)
-+8841-+^802*1++6399/106582,88+41-(80**2+1*(63+99+10/65)-82)
+----++29*3369945161^9116158,29+33*69+94-51-61-91**1-61+58
*59+++/28^162+81*10927*9386,59*(28/16**2+(81+10*9)+27+93*86)
++-////75932155^61/9961224,75/93/21/55/6**1-99/61+2+24
-++-/31^831*7697^98132/2980,31/83**1-76*97+98**1+32-29/80
-++-56/4*752523++915+7144,56-4/75**2+5+23-(91+5+71/44)
+-+7597*3676/91+-*2577^18133,75+97-36*76+91/(25*77-18**1+83)
**2918--66*/5277^+63711*124,29*18*(66-52/77*(63+71)**1-(1*24))
-^581+-+-70/39^5722918/4558,58**1-(70-39/57**2+29-18+45/(58))
+-+/29^5180**//375717417939,29/5**1+80-37/57/17*41*79+39
++57//-+-1820605250^1644^412,57+(18-20+60-52)/50/16**1+41**2
++*+^3721^981^692-^89161,(37**2+1)*98**1+23**2+(89**1-61)
+--**7194^842/**683834392780,71*94*84**2-68*38*34/39-27+80
+--29^36182+-+^8929325*8010,29-36**1-82+(89**2+93-25+80*10)
++^++^4613172/1144*4999*7647,(46**1+31+72-11/44+49*99+76*47)
+-+/*2495^411*22^84170^312,24*95/41**1+35*84**1-70+31**2
+-/**/75952195^4222**847014,75/95*74*95/42**2-2+84*70*14
--+-37/7690^+795085^161*8084,37-76/90+(79+50)**1-16**1-80*84
-+++//4058^232-805196+2915,40/58/23**2+80*51+96+29**1-5
/99+60*90-+-^302*26^9729438,(99/(60/(90*(30**2-26*97**2+94-38))))
-^972-++*542413*4420*10^852,97**2-(54*24+13+44*20-10*85**2)
-/*/361539-+/7213^4151^332,36/15*39/(72/13+4**1-51)-33**2
+-/611/*432085-/87^271+262,(61/1-43*20/85+(87/27**1-(78+2)))
--+^25189/85^931*93-32+682,25**1+89-85/93**1-93*(32-(68+2))
*/1216-+*4690/7582//18+164874,12/16*(46*90-75/82-18/(16+48)/74)
++-^861//482290/811+7*5595,86**1-48/22/90+50**1+(7+55*95)
++++*65^262^62147/82^41244,65+26**2+62**1+47+82/41**2+(44)
--/3^781^331*/7558*26^721,3/78**1-33**1+75/58*(26/72**1)
-+--+*402155**1565^382554735,40*21+55-15*65*38**2-69+47-35
-++^781^352*1118*65+57*2791,(78**1+35**2+11*18)-65*(57+27*91)
-+-/5518^802//89/758369/3552,55/18-80**2+89/(75/48)/69-35/52
-+-+/9419*1831^201/*59615165,94/19+18*31-20**1+59*61/51-65
-+++/578260+162^842//72937,57/82+60+16**2+84**2-(7/29/37)
+-*13^412^-+3127362--654086,13*41**2-(31+27-36)**2+(65*40-2)
--5441/++++-7650/74722579692,54*41-(76-50+74/7+22+57+96)/92
*96----43274/--60/3244414628,96*(43-27-4-(60-5/44-41)/46-28)
+++--^7021^292*8197^15254,70**2-1-29**2+81/97+15**2+54
+*4638-+++-7336^8111*39536,46*38+(73-36+8**1+11+3*95-(36))
/16/40+*++^12//993321362028,16+40/(1**2+99/33/21+36+20+28)
++--*1618**4178^792-95242416,81*18-41*78*79**2-(95-24)+24+16
-----13^24^531^881^3316922,13-24*53**1-88**1-33**1-69-22
--+++^82294/1019/7010*103615,83**2+94+10/19+70/10-10*71-15
---+^9931^961*8922/6580*1295,99**1+96**1-89*22-65/80-(12*95)
+-+++95^14139*982281^51^111,95+14**1+39+98*22-81+51*(11**1)
-++^472/86^72*22^992/7676,80**2+86/7**2+22*99**2-76/76
+-+69/202310-6**//6537104761,69+20/23-10+(6-65/37/10*47*61)
+++//358362*73^90245-99^551,35/5/62+73*90**2+45+(99-55**1)
--2777*/+*32+-35*77842163815,27-77-32*(35-77*8+42)*16/38*15
+--^982^502*//65164383*2539,98**2-50**2-65/16/43*83+(25*39)
*/234/36+^652*87+**33423879,(2/34*(36/(65**2+14*(33*42*38+79))))
*43++^3897/87^-^962/729165,43*(38**2+87/(96**2-62/9)**1+65)
-^-+-3896*//78191735/806141,(38-96+78/19/17*35-80/6)**1-(41)
++43/4652-+/43^83274//569787,43+46/52+(43/83**2+74-(56/97/87))
--+-8424*36152*/4849/78^431,84-53+36*1-52-48/49*(78/63**1)
-++--+/28172/99^50219434317,2/81+72-99/50**2-19+43+43-17
+-^662/62^211/67//5085-8475,66**2-62/21**1+67/(50/85/(84-75))
+++-+73^722^601/4134*754216,73+72**2-60**1+41/34+(75*42)+(13)
/+--+3/41431*2965/16^8186,3+41/4-31-29*65+16/8**1-86
+-+*955255****7364679^9123,95*52+55-73*64*67*9*91**2+3
--+--8691/6921/5775+57^9619,86-91-69/21+57/75-57/96**1-9
----21804085*^/96453-/557818,21-80-40-85-9/64*53*(55/78-18)
-+-+-++6568^10395453730*319,65+68+10**2-95+45-37+30-3*19
-+9011+90/*67-^91**38482659,90+11-(90+67*(59**1-38*48*26)/(59))
+++^52*-18*653732^521^922,5**2+(18-65*37)*32+52**1+87**2
-++69^712^241-*1769/67^4896,69+71**2+24**1-(17*69-67/48**1)
++-696/81+-+39^972/39579383,(69-6+81/(39+97**2-39/57+93)+83)
-++5474*6562-33***/2718199461,54+88-(65*62)-(33-27/18*19*94*61)
--80^222**7325-*84^251*9616,80-22**2-82*25*(84*25**1-96*16)
+/-+^141647587-*4821-97/2299,(14**1+64-75+87+(48*21-(97-22/99)))
-++-+^1412771^932*6142/557,14**1+27-71+93**2+61*42-55/7
+-++^9926491*44^*45981^212,99**2+64+91-44*(45*98)**1+21**2
+^691/*/+6638093+67-^93242,69**1+(6+63)/80*93/(67+(93**2-42))
--+/***/26619568492358^395119,26/61*95*68*49/23+58-39**1-(50)
+-+^51*6^102/*48+44545583,5**1+6*10**2-48*(44+54)/55+83
-+*294*6926/58+*97^501*9994,29*31+69*26-58/(97*50**1+99*(94))
---+/-3572507826^222+-451581,35/72/50+78-26-22**2-(45-15+81)
+--+^29188^311/3095**573945,29**1+88-31**1-56/95+57*39*45
+-^+**65487635/93^7675/913985,65*48*76+35-93/76**2-91/39+85
+--+-^752/55^352*7967342057,75**2-55/35**2+79*67-34-46+57
-70+++++^872/6129672610/6636,70-(87**2+61/29+67+26+10+61/36)
--+-+13^722*9067^/134589255,13+72**2-90*67+13/45/89-2-55
-+++284759//528471+//29416857,28+47+59+52/84/71-(29/41/68+57)
+--**287465//56529/7878*9264,28*74*65-56/5/29-78/78+(92*64)
+-++^241^791/4990^662/8333,24**1+79**1+49/90-66**2+83/33
--^66183-*/*88585-^4824235,66**1+83-(88*58/5*(48**2-42)-35)
-54/37++-+^2022231^*5156252,54-32/(20**2+22-31+(51*56)**2+52)
+---47/3826*26^971/49^44136,47-38/26-26*97**1-49/44**1+3
--*872546*40+*27^461+^77232,87*25-46-40*(27*46**1+(77**2+32))
++-+-/90961/9153//4970753615,90/9*61+91/53-49/70/75+36+15
--+47^4213++//*678132512478,47+42**1-32-(67*81/32/51+24+78)
-+*278221*89^+-+165^1424172,27*82+21-89*(1+65-14**2+41)**2
+-52/67--+49/71693692*57+4563,52-3/(49+71/69-36-92)+57*(45+63)
+--*+89796040*5082+-961*9162,(89-79)*60-40-50*82+(96-1+91*62)
-+--/9974-^36113^651^3222,99/74-(36**1-13)-65**1+32**2-95
++--++46/9355^351419024^811,46+93/55+35**1-41-90+24+81**1
-++-47**/99518210/662^31160,47-99/51/82*10+6/62+31**1-60
++30*1236*/1428+/14^902^702,(30+12*36+14/28*(14/90**2+16**2))
