Formula,Result
0.73 -4.11 -1.86 -3.71 -3.39 7.79 -2.34 - * - - ^ 1 / * / -9.11 7.54 -8.58 5.13 / / / + 7.22 7.21 5.73 / -,-2.34 - 7.79 * -3.39 - -3.71 ^ 1 - -1.86 / -4.11 * 0.73 / ( 5.13 / -8.58 / 7.54 / -9.11 + ( 5.73 / 7.21 - 7.22 ) )
-9.44 -8.34 -8.44 3.09 -9.52 -4.5 9.54 8.72 -6.17 5.62 -4.77 2.48 9.58 + / / + - / - - ^ 1 - * - ^ 2 -,9.58 + 2.48 / -4.77 / 5.62 + -6.17 - 8.72 / 9.54 - -4.5 ^ 1 - -9.52 - 3.09 * -8.44 ^ 2 - -8.34 - -9.44
4.09 + * ^ -7.98 -6.53 3.07 6.32 -0.19 * - / + 2 9.32 -1.58 -2.33 -4.36 -6.24 -2.31 / + + + - / -8.75 8.18 /,4.09 * ( -0.19 * 6.32 - 3.07 / -6.53 + -7.98 ) ^ 2 + ( -2.31 / -6.24 + -4.36 + -2.33 + -1.58 - 9.32 / ( 8.18 / -8.75 ) )
0.14 -2.72 6.05 0.27 -2.4 0.29 3.61 -0.77 1.09 * + + - ^ 2 + * -5.85 8.08 * * - ^ 2 * -9.37 9.86 - +,1.09 * -0.77 + 3.61 + 0.29 ^ 2 - -2.4 + ( 8.08 * -5.85 ) * 0.27 * 6.05 ^ 2 - ( 9.86 - -9.37 ) * -2.72 + 0.14
7.67 7.57 5.4 -9.63 -6.07 -8.3 -7.99 - + + ^ 2 + + / * 0.9 1.18 5.23 - * / 5.03 -2.63 -9.26 4.03 + / /,-7.99 - -8.3 + -6.07 ^ 2 + -9.63 + 5.4 + 7.57 * ( 5.23 - 1.18 * 0.9 ) / 7.67 / ( 4.03 + -9.26 / -2.63 / 5.03 )
6.25 -2.62 6.67 + - -0.42 7.92 9.95 + * - + -1.97 * / -7.26 8.68 * -7.51 -3.56 -9.8 + + * 6.92 -6.22 2.7 * /,6.67 - ( 9.95 + 7.92 * -0.42 ) + -2.62 - 6.25 + ( -1.97 / ( 8.68 * -7.26 ) * ( -9.8 + -3.56 + -7.51 * ( 2.7 * -6.22 / 6.92 ) ) )
-4.06 9.56 9.15 6.99 0.4 * + ^ 2 / * * -8.07 -3.34 -8.15 6.97 - - ^ 2 / / -5.04 -7.27 5.79 - ^ 2 -,0.4 * 6.99 ^ 2 + 9.15 / 9.56 * -4.06 * ( 6.97 - -8.15 ^ 2 - -3.34 / ( 5.79 ^ 2 - -7.27 - -5.04 ) / -8.07 )
-9.52 3.82 8.06 3.9 8.7 5.05 -2.47 -9.5 -2.66 6.65 -5.74 - + + * -8.54 2.74 -9.57 -1.61 / - * * + + / + - *,( -5.74 - 6.65 + -2.66 * ( -1.61 / -9.57 - 2.74 * -8.54 ) + -9.5 * -2.47 + 5.05 + 8.7 / 3.9 + 8.06 - 3.82 * -9.52 )
0.66 -4.77 -7.53 -9.84 -1.74 7.09 3.11 8.08 -5.79 4.77 0.24 -2.81 - ^ 2 - - - * - - ^ 2 / - * * ^ 2,-2.81 ^ 2 - 0.24 - 4.77 - -5.79 - 8.08 * 3.11 - 7.09 ^ 2 - -1.74 / -9.84 - -7.53 * -4.77 * 0.66 ^ 2
3.93 -1.84 -7.25 / + + * -0.77 -6.74 0.12 * - -4.55 -8.28 + - 8.07 -4.55 -5.13 -4.87 / - ^ 1 + + 7.22 ^ 2,-7.25 / -1.84 + 3.93 + ( 0.12 * -6.74 - -0.77 ) * ( -8.28 + -4.55 - ( -4.87 / -5.13 ^ 1 - -4.55 + 8.07 + ( 7.22 ^ 2 ) ) )
-2.42 -2.69 -8.77 2.91 -9.58 7.05 -1.88 0.63 -1.74 -2.41 1.65 * + * - + * * - ^ 1 / - * ^ 4.26 5.05 / 1,1.65 * -2.41 + -1.74 * 0.63 - -1.88 + 7.05 * -9.58 * 2.91 ^ 1 - -8.77 / -2.69 - -2.42 * ( 5.05 / 4.26 ) ^ 1
-4.4 -1.14 0.93 * - ^ 2 / 5.41 6.64 * + -4.9 + * ^ -0.79 -6.21 -0.01 7.23 / - - ^ 2 2 3.64 ^ 1,0.93 * -1.14 ^ 2 - -4.4 / ( 6.64 * 5.41 + ( -4.9 * ( 7.23 / -0.01 - -6.21 ^ 2 - -0.79 ) ^ 2 + ( 3.64 ^ 1 ) ) )
5.48 6.03 2.38 6.7 -3.6 -8.65 -1.09 -0.84 -0.97 -7.63 -0.65 + / - / * * / / / - * * -0.33 9.45 0.43 * * 1.65,-0.65 + -7.63 / -0.97 - -0.84 / -1.09 * -8.65 * -3.6 / 6.7 / 2.38 / 6.03 - 5.48 * ( 0.43 * 9.45 * -0.33 ) * ( 1.65 )
1.63 9.39 7.86 2.05 3.31 -6.49 -2.38 8.06 5.22 -5.03 -8.29 -7.42 8.07 - ^ 2 - / + / + + * + - - / / -9.92,8.07 ^ 2 - -7.42 - -8.29 / -5.03 + 5.22 / 8.06 + -2.38 + -6.49 * 3.31 + 2.05 - 7.86 - 9.39 / 1.63 / ( -9.92 )
3.32 -5.3 / / 4.27 7.48 7.28 -5.68 / / / + ^ 1 -0.91 1.22 -5.76 -3.35 -6.68 -5.2 0.31 3.76 - + + * * - *,-5.3 / ( -5.68 / 7.28 / 7.48 / 4.27 ) / 3.32 ^ 1 + ( 3.76 - 0.31 + -5.2 + -6.68 * -3.35 * -5.76 - 1.22 * -0.91 )
5.79 2.99 -0.86 5.82 * / - ^ 2 / -0.36 -5.57 -5.32 4.29 - ^ 1 + ^ 1 - ^ 1 + ^ 1 9.04 ^ 2,5.82 * -0.86 / 2.99 ^ 2 - 5.79 / ( 4.29 ^ 1 - -5.32 ^ 1 + -5.57 ^ 1 - -0.36 ^ 1 + ( 9.04 ^ 2 ) )
-7.1 9.42 -8.79 0.76 -7.64 -5.99 -6.12 0.78 - + ^ 2 + ^ 2 - - ^ 1 ^ 0.85 1.96 / 1 - ^ 2 / -,0.78 - -6.12 ^ 2 + -5.99 ^ 2 + -7.64 ^ 1 - ( 1.96 / 0.85 ) ^ 1 - 0.76 ^ 2 - -8.79 / 9.42 - -7.1
-6.52 -6.03 6.64 -9.8 / * / / 4.83 1.35 -9.37 -2.84 - + + / -3.82 / 5.15 -0.05 2.14 2.52 4.13 - - ^ 1 + +,-9.8 / 6.64 * -6.03 / -6.52 / ( -2.84 - -9.37 + 1.35 + 4.83 / ( -3.82 / ( 4.13 - 2.52 ^ 1 - 2.14 + -0.05 + 5.15 ) ) )
6.27 3.94 8.69 1.8 -2.26 -3.84 0.02 + ^ 1 + - * -8.86 -2.17 - + ^ 2 - / * -2.46 * 9.7 -4.79 + ^ 1,0.02 ^ 1 + -3.84 + -2.26 - ( -2.17 - -8.86 ) * 1.8 ^ 2 + 8.69 - 3.94 / 6.27 * ( -2.46 * ( -4.79 ^ 1 + 9.7 ) )
-8.12 -4.58 -8.3 -4.37 8.52 -4.92 -6.96 / 4.8 -2.29 + ^ 1 - * * / - - + ^ 1 3.47 -2.15 -9.39 - ^ 1 *,( -2.29 ^ 1 + 4.8 ) / -6.96 - -4.92 * 8.52 * -4.37 / -8.3 - -4.58 - -8.12 ^ 1 + ( -9.39 ^ 1 - -2.15 * 3.47 )
7.78 9.35 + * -5.62 6.28 0.64 1.15 -8.43 5.86 -5.28 + / / / / - ^ 2 + 6.04 -5.39 1.21 -7.75 -8.76 / * * /,9.35 + 7.78 * ( -5.28 + 5.86 / -8.43 / 1.15 / 0.64 / 6.28 ^ 2 - -5.62 + ( -8.76 / -7.75 * 1.21 * -5.39 / 6.04 ) )
-4.89 3.64 3.0 -6.7 -6.05 -1.32 - ^ 1 + ^ 1 - + - * -1.42 3.83 4.22 - - * 4.98 0.25 -9.8 / - ^ 2,-1.32 ^ 1 - -6.05 ^ 1 + -6.7 - 3.0 + 3.64 - -4.89 * ( 4.22 - 3.83 - -1.42 * ( -9.8 / 0.25 ^ 2 - 4.98 ) )
5.28 -8.47 -0.72 4.79 2.81 -4.0 -4.86 -5.37 -3.73 5.44 5.06 -1.79 + + + * * + - * / - ^ 1 / - -1.9 -5.02 -,-1.79 + 5.06 + 5.44 + -3.73 * -5.37 * -4.86 + -4.0 - 2.81 * 4.79 / -0.72 ^ 1 - -8.47 / 5.28 - ( -5.02 - -1.9 )
-4.21 -4.92 0.62 8.25 + / + ^ 2 * 7.08 -5.79 5.9 + * + 1.47 - -1.36 0.24 4.9 -7.94 -8.29 - - ^ 1 + /,8.25 + 0.62 / -4.92 ^ 2 + -4.21 * ( 5.9 + -5.79 * 7.08 + ( 1.47 - ( -8.29 - -7.94 ^ 1 - 4.9 + 0.24 / -1.36 ) ) )
-5.51 5.58 -4.96 -0.6 8.97 -6.19 / - / + / 7.39 4.18 -2.69 0.9 0.99 7.04 - + ^ 1 - ^ 1 + + * / -9.14,-6.19 / 8.97 - -0.6 / -4.96 + ( 7.04 - 0.99 ^ 1 + 0.9 ^ 1 - -2.69 + 4.18 + 7.39 ) / 5.58 * -5.51 / ( -9.14 )
-2.87 -3.85 0.23 9.11 3.6 3.08 8.3 -9.5 7.47 4.97 - * -6.95 -4.49 + * * + + - ^ 2 - / - ^ 1 / -8.31,4.97 * ( -4.49 + -6.95 ) - 7.47 * -9.5 * 8.3 + 3.08 + 3.6 ^ 2 - 9.11 - 0.23 / -3.85 ^ 1 - -2.87 / ( -8.31 )
8.97 -2.65 8.75 -1.56 -8.49 -1.45 9.26 -5.09 3.27 -0.32 6.12 -7.14 * + / * - / * + + * - * 5.46 -7.54 - ^ 2,-7.14 * 6.12 + -0.32 / 3.27 * -5.09 - 9.26 / -1.45 * -8.49 + -1.56 + 8.75 * -2.65 - ( -7.54 ^ 2 - 5.46 ) * 8.97
9.3 + -7.86 -3.33 -4.66 6.46 -0.53 -7.56 7.22 -9.94 0.3 - - * -8.27 -4.68 0.42 -4.57 + - / * / / * + + ^ 1,9.3 + ( 0.3 - -9.94 - ( -4.57 + 0.42 - -4.68 / -8.27 ) * 7.22 * -7.56 / -0.53 / 6.46 * -4.66 + -3.33 ^ 1 + -7.86 )
-8.73 7.67 -6.19 5.55 - / * / -9.95 -5.52 -8.75 -3.65 -3.47 - ^ 1 - ^ 2 / * * -5.17 -0.39 -8.59 / - ^ 1,5.55 - -6.19 / 7.67 * -8.73 / ( -3.47 ^ 1 - -3.65 ^ 2 - -8.75 / -5.52 * -9.95 * ( -8.59 / -0.39 - -5.17 ^ 1 ) )
-5.75 0.88 9.77 2.23 9.53 -6.97 -2.64 -8.53 -0.7 -1.33 6.66 -5.03 8.25 - ^ 1 + ^ 2 + * - / - - + - - /,8.25 ^ 1 - -5.03 ^ 2 + 6.66 + -1.33 * -0.7 - -8.53 / -2.64 - -6.97 - 9.53 + 2.23 - 9.77 - 0.88 / -5.75
-5.8 -9.5 -8.27 4.15 5.42 - + + - ^ 1 - + ^ 2 ^ -0.93 -8.73 -3.08 4.91 * - - ^ 2 2 -3.03 4.93 *,5.42 - 4.15 + -8.27 + -9.5 ^ 1 - -5.8 ^ 2 + ( 4.91 * -3.08 - -8.73 ^ 2 - -0.93 ) ^ 2 - ( 4.93 * -3.03 )
