Formula,Result
0.78 0.17 0.21 -0.92 -0.78 0.94 0.28 / - - - ^ 1 / * * -0.13 0.16 -,( 0.28 / 0.94 - -0.78 - -0.92 ^ 1 - 0.21 / 0.17 * ( 0.16 - -0.13 ) * 0.78 )
-0.1 0.66 0.34 -0.96 0.17 -0.23 0.38 -0.17 + ^ 1 + ^ 1 + - / - -,-0.17 ^ 1 + 0.38 ^ 1 + -0.23 + 0.17 - -0.96 / 0.34 - 0.66 - -0.1
-0.8 -0.12 0.75 0.1 0.86 0.66 0.4 -0.04 0.44 / - * + - ^ 1 - * /,0.44 / -0.04 - 0.4 * 0.66 + 0.86 ^ 1 - 0.1 - 0.75 * -0.12 / -0.8
0.28 0.78 0.13 -0.78 0.39 0.72 0.37 -0.95 * + ^ 2 - ^ 1 / - + +,-0.95 * 0.37 ^ 2 + 0.72 ^ 1 - 0.39 / -0.78 - 0.13 + 0.78 + 0.28
-0.77 -0.4 0.15 -0.73 -0.41 0.08 + / -0.39 -0.1 0.65 -0.24 * - / / - - *,0.08 + ( -0.24 * 0.65 - -0.1 / -0.39 ) / -0.41 / -0.73 - 0.15 - -0.4 * -0.77
-0.29 -0.67 -0.14 0.78 -0.48 -0.7 -0.25 + ^ 2 + / + * - ^ 2 ^ 2,-0.25 ^ 2 + -0.7 + -0.48 / 0.78 + -0.14 * -0.67 ^ 2 - -0.29 ^ 2
-0.59 -0.58 -0.79 0.86 -0.84 + / + ^ 2 + + -0.9 - ^ 2 -0.22 0.66 +,-0.84 + 0.86 / -0.79 ^ 2 + -0.58 + -0.59 + ( -0.9 ^ 2 - ( 0.66 + -0.22 ) )
-0.4 -0.88 - + 0.93 -0.34 / / -0.76 0.14 0.35 -0.95 + + - / -0.16 0.95 +,-0.88 + ( -0.34 / 0.93 ) - -0.4 / ( -0.95 + 0.35 + 0.14 - -0.76 / ( 0.95 + -0.16 ) )
0.45 -0.3 -0.05 0.8 -0.19 0.55 / / + ^ 2 / * - 0.21 0.42 -0.52 / -,0.55 / -0.19 / 0.8 ^ 2 + -0.05 / -0.3 * 0.45 - ( -0.52 / 0.42 - 0.21 )
-0.55 -0.33 0.43 -0.24 + ^ 1 / / / 0.35 * -0.96 -0.83 * / 0.47 + -0.67,-0.24 ^ 1 + 0.43 / -0.33 / -0.55 / ( 0.35 * ( -0.83 * -0.96 / ( 0.47 + ( -0.67 ) ) ) )
^ -0.21 -0.69 0.04 0.41 + + - ^ 0.98 -0.08 -0.41 / - ^ 2 1 + 1,( 0.41 + 0.04 - ( -0.41 / -0.08 ^ 2 - 0.98 ) ^ 1 + -0.69 + -0.21 ) ^ 1
-0.72 0.49 0.9 0.85 -0.91 0.05 -0.37 * * / + + + * 1.0 -0.58 + ^ 2,-0.37 * 0.05 * -0.91 / 0.85 + 0.9 + 0.49 + -0.72 * ( -0.58 ^ 2 + 1.0 )
-0.01 -0.26 -0.98 -0.24 0.75 -0.07 - + + ^ 1 - * - ^ 2 0.81 -0.46 *,-0.07 - 0.75 + -0.24 ^ 1 + -0.98 - -0.26 * -0.01 ^ 2 - ( -0.46 * 0.81 )
0.71 -0.46 -0.32 -0.3 0.57 0.05 0.99 -0.19 - ^ 1 / + * + + - ^ 1,-0.19 ^ 1 - 0.99 / 0.05 + 0.57 * -0.3 + -0.32 + -0.46 ^ 1 - 0.71
0.68 - -0.15 0.99 * / -0.17 - ^ 1 0.95 -0.6 + + ^ 1 -0.61 0.61 -,0.68 - ( 0.99 * -0.15 / ( -0.17 ^ 1 - ( -0.6 + 0.95 ^ 1 + ( 0.61 - -0.61 ) ) ) )
