Formula,Result
++++**7714*81^33240-9^23-3,77/14*8**1+33**2+40+-9+23**2
---+++2-5578-90-100//-90-44-63-6672,2+(55-78)+-90+35--90/-44/-63--66-(72)
++--*^912-50-23-*-7515*93-933395,91**2+-50--23-(-75*15-93*-93)+33+(95)
+++-+-100-651581*-6-79**/-565-48,-100+76-15+81+-6*-79+(-5/6*5*-48)
-+//5159-51-+-2329+-^26-457481,51/59/-51+(-2+3-29)-(17**1-74+81)
+--**22-276^469-96/*-25-64*-954,22*-2*76-46**2--96+-25*-64/(-9*(54))
+--92-48*19-^821-/*8382^941-50,-92--48+19*(82**1-(-45*75/94**1--50))
--+-95-48/*/88-7-93-29**-17+47-10043,-95+-48-88/-7*-93/-29-(-17*(47+-100)*43)
------5-5099*/-65-15+-5*14-10098-78,-5--50-99--65/-17*(-5+14*-100)-98--78
+++^-461*-17^402^-701/-80^242,-46**1--17*40**2+-70**1+(-80/24**2)
--+++-+-6977*3683-392286-60*692,-69+77-36**2+-39+22+86--60-6*92
/+--+37-1934*-73-9657-/39^-75124,(-57+-19-34--73*-96+57)/(39/-75**1-24)
---^-772-21^462-/*-13-86^-701-63,-77**2-85-46**2-(-13*-86/-70**1--63)
--+--^1719957*-91^-52228/46-99,43**1-99--43+-91*38**2-28-46/-99
++/88^-352*-47-3+82/-32**-2288-32,88/-35**2+-47*-3+(82+-32/(-22*88*-32))
++-+++19-1288*2959^101^99199,19+-78+88+29*59-10**1+99**1+99
-^-971--/*-3-34-17^651/50^182,-97**1-(-3*56/-17-65**1-(50/18**2))
+/*-1+++^-8283*-602*99-39-11-16,-1*(-8**2+83+-60**2+99*86)/-11+-16
--+**-26-5999*//70-962-81/52-9739,(-26*-59*99)+70/-9/53*-81-52/-97-39
-++-5248^-961^+-^992*5129-611,(-52+48+-96**1-(99**2-51*29+-61)**1)
---^3835*/-67-67-95/+-14-16/65171,38**2--67/-67*-95-(-14+-16)/65**1-71
---55*/47/-67-80++--73242*911966,-55-47/(-67/-80)*(-73**2+42+91/19)-74
--/^+^932^-962-53-18*-19-22/-71-6,(93**2+18**2+-53)/-18--19*-22--71/-6
*-+^87161/**/-14-99-8268+-742-40,87**1+61--14/-99*-82*68/-74**2+-40
++++4-98//*+-24-92-17-34^-7019010,4+67+(-24+-92)*-17/-20/-70**1+90+10
-+-+----5981*-621/-86-542567-1451,-59-81--62**1--86/-54+25-67+-14-86
-+++8968*7931--902+^392*82-67,89+68+79*31+-90**2-(39**2+82*-67)
*-42/*-28-23-*/*/3638-33-28^231-41,-42*(-50*-23/(36/38*-33/-28*23**1--41))
-**-913031+-40*71^922/*60-1154,-97*30+31-(40-71*92**2+(60*-11/54))
---*27-3247/46^--56-101+91*-58-22,27/-94-47-46/(-56--10)**1-(91+(-58*-22))
-++/79^-252/-5250/-73^721^72-18,84/-25**2+-52/50+-73/72**1-72**2
++++8^-371*-50^521^292^861,54+-19**1+-50*52**1+29**2+(-28**1)
-+-//981731/04/*-2060-15/1385,98/17/31-0/4+-20*60/-15-18/85
-+-83-3-+/-2656-/-69-100-9552+-8-30,(83--3)+-26/56/(-69+-100--95)/52-(-8+(-30))
-++--*-98^-627-38*-64-78-41^941-14,-98*-6**1--38--94*-78+-41+94**1-(43)
+----39-5^-452-28**-6961-55/-34-97,39--5--45**2--28--69/61*-55+-34/98
/-82-++-87/358/*84+/-4915-21-22,-16/(-87+35/8+84*(-49**1+5)/-21--22)
-+-+/-54-40-94/*6388^-47220/-86-42,-54/-40+-94-63*88/-47**2+-53--86/-42
/11++-38^-72^-292//7346+-4465,11/(38--7**2+-29**2+73/62/(-44+65))
+-//-7054-17^-741/87+*84^-76276,(-70/54)/-17--74**1+76/(-24*-76**2+76)
+^---25/64^-322/-73642//-377190,(-31-64/-32**2--73/64)**2+-37/71/90
+/-/47^972^72^-311*64^5161,47/97**2-72/-31**1+64*5**1+(61)
+*--^431-4-73^562-/88^672-1,(11**1--4)/-73*56**2+(88/88**2--1)
+----+3996^-3127289^731^372,(39+96--31**2-72-89-73**1+(16**2))
-+----^-7321518**23-63-65-40-73-81,-73**2-15-18-23*-63*-65--6+-73--81
^-+-+-85*-8289-4537^501*-76+-8396,-85+-82*89--45+37-50**1-(-76*(-83/96))
-+-/6591-8484++*-6080*66^-17185,75/91--84+84+(25*80+66*-17**1+85)
+++/***7133-33^87117^-682-50,71*3*3*-33/87**1+-61+-68**2--50
+-12-3^-/-*-9067-2513^-481*-6498,12--3+(-90*67*-25/13--48**1--64*98)
++/-3675/25-34--/*689270^-60193,-36/75+-31/-34+(68*92/70--60**1-93)
--++6/-/-553-871-25-20^-381-96,14+-55/3/-8/71+(25--20)--38**1--96
+*-+-89^3629-87/-36-/-5495^-241,-89+36**2-9--87+-36/(-54*-65--24**1)
++*43^-141/+-83/-638722//8674-87,96*-14**1-(-83+-63/87)/22+86/74/-87
+--46-68*-52/*-23-14-/--2894^52150,-46--68+-9*(-23*-14/(-28-94+52**1-50))
+++9295-6-///*-53-94-9745^73143,92+95+-6+(-53*-94/-97/45/73**1-43)
-*++-+^571-77-53^5333-41*-36190,(57**1+-77--53+53**1+-41)*-36**1-90
+^31*-67--48+-16-60+17/*163421,3**1+-67*(-48-(-16+(60-(17+(16*34/21)))))
-14*/-*+-59*--387165^571-73-82-94,14-(-59+-38*71*65-57**1--73)/-82*-94
-++7-84//1825^741**/-866957-94,-47+-84+18/25/74**1--86/69*57*-94
--80/--/617752+-5+*4340*93-68,(-80-(6/17-7-52+(-5+(43*40+93*-68))))
---++*68^811^6014-73/5968-22,68*81**1+60**1+36+-73-59/68--22
-+*^-421/65^-611^672--100+-7780,-42**1+65/-61**1+67**2-(-100--77**2)
++--+35236/*-8996-53*53^-72143,35+2-36--89*-46/-53+53*-72**1+(43)
+///-4238-675/*-9497^^-932-66-70,-42/38/-6/75+-94*97/(-93**2+(66-(-70)))
++-*-18-44/-395327+/27^262^-131,72*-44--39/53+27+(27/26**2+-13**1)
+-+---+-446^-8143^-392-64-681,-4+46--8**1--6--39**2+-64--68+1
-+-74/-8575*-+82+/-5-76*96-23-636,40+-85/75-(82+(-5+-76+96*-23)--63)*6
*+++/-5567*/7898076^-732*7929,-55/67+78/9*80+76+-73**2+79*29
-++^802-91/*-3-93^-^841-192-64,80**2+-91+-3*-93/(39**1--19)**2--64
----^/4352-42^151/7-43-35-12-30,43/52/56-15**1-7/-43--35-(12--30)
