Formula,Result
-93//2832+6959,93-28/32/(69+59)
*/*/3815868892,38/15*86/88*92
/+-/737453562,73-74-12+56-2
++-+2826302017,28+26-30+97+17
+--6967/705614,69-67-70/56+14
+--+42454462,(4+2-45-18+(30))
-94-/8843/7415,(94-(88/43-(74/15)))
+54/**76185331,75+76/18*53/31
++*338/159260,28*38+(15/92)+60
-77-/9360*5921,(77-(93/60-59*(21)))
++/895826/6118,89/58/26+61/18
+-*-25766268,2/57*66-2+68
-6+**5235257,6-(52*35*1+(6))
+1*+60*661877,1-(60+66*18)*77
-/7259/44-6311,72/59-(51*(63-11))
+-+73*49822781,37+47*82-27+(81)
-+534/*84638,5+34-49*63*(8)
--+15/9184337,72+91/8-46-37
-/32-*9793331,32/(27*93-3)-31
+89-*/25505337,(89/(25/50*53-37))
*48+/*53258948,12*(46*25/89+48)
//3673+17/7876,36/73/(17+78/76)
-/*/4615917962,46/15*91/79/62
-+--8821248127,46-2-97+81-27
+72+-14/70219,36+(14-70/2+50)
-++542214+7569,54+22+68-75*69
/78-/*88418292,(78/(56*41/99-(92)))
++-12-68124620,12-68/12+46+20
-**1914-834181,19*14-(83-41)-81
-+-+6356341063,63+56-34+10-63
*94--/52279259,(94*(25/27-92-59))
++-65/17262628,65-17/47+26+(28)
+/-83492/828,(83-4)/92+82/8
-+1182/+743226,11+82-(74+61)/26
**6323//39683,63*23*(39/6-83)
/+5166*/785234,51+66+78/52/34
**/*1159519060,11*59/51*90*60
/*8276/26+153,82*76/(26*(83+(53)))
-*-2845*13515,28-45-13*5-15
/--*9695242440,96*95/24-24-40
//**8091599821,80*91*59/98/(21)
-+5830*/561597,58+30-96/15*97
/*//3786603039,37/43/60*30/(12)
-+275//207882,(27+5-(14/56/82))
//8533+56+7074,(85/33*(56+70*74))
-*/408650*8763,40/86*50-70*52
+*+8579*194375,85+79+19*43+75
+/498-*723935,4/98+(72*39-35)
---909149/6725,90-91-49-67/25
-+/*968854488,(6*88/54)+48-8
+++9152*377333,91+52+37*73+63
+14/62+*941563,14+62*(94*15+33)
+*28/9270*881,28+92*70+8*81
+/9536-+494562,95/36+(75+45+62)
+/*/6453595838,31/53*59/58/38
+--8570*312988,85-70-31*29+(88)
+/8355++951048,83/55+(95+92+(48))
-+/489483*2520,84/94+83-25*(20)
-79+**5721191,79-57*21*1*91
**/*3359372144,(87*59/37*21)*44
-+99*+86726891,99+86/72*68-91
+25***44848546,25+44*84*13*46
-+3569*87/476,35+69-87*(82/6)
+-/*196635136,19/65/54-51+36
-*-/9987531318,(99-80-53)*13-18
+**807750*663,80*77*50+66*3
*/*13574/6029,(1*35/74-60/(29))
-81/*-52969790,81-52/88*97/90
-*/98164*229,98/16*4-22*9
*39+*3274-9358,39*(32*74+93*(58))
+*+-958719451,(9-58+71-94+23)
--/333875*3436,33/38-75-2*97
+35*44-*373819,35+44*(37*38-19)
**/7472*84476,74/72*(84*4)*76
///*3954445025,(39*54/44/50)/25
/--968685+959,(96-86-85)+95/9
*52-+687/775,53*(68+7-85/5)
-+93**9473644,93+80*73*6-44
-++7270/919420,72+70+(91/94)-5
+-+1780*221036,35+80-22*10+36
-27/*/60868067,57-16/86*80/67
+/5980/*689737,59/80+(68*97/37)
*/*196338-4070,19*63/38*(63-(70))
**/*976408723,97*6/56*87*23
+29--/19849928,4*(19/84*99-28)
--*/6470564649,(64/70)*56-41-(70)
+*/339625*805,10/96/25+80*5
+*215/35-2951,60*5+35/(29-1)
+/8838//234239,88/38+23/42/39
***-604034672,60/40*34*67*2
/-21/*29295762,21-29*29/57-62
++*27755-4515,27*75+5+(45-15)
*14++/552223,(14*(72/22+95+3))
+33/36-/686473,33-36/(68/64-73)
++5781-+477516,89+27+(47+75-16)
--/164867/5024,16/98-67-50/2
+-+-2786746531,27-86+96-37+31
++4948+24/4551,49+48+(24+45/51)
////1131496230,(11/31/49/62/30)
++-*493942588,49*39-7+25+88
/*/-384376351,(38-43)/76*3/(51)
*-3831*/988551,38-31-73/85*51
+--+4032125781,(40+76)*12-57+(81)
-+61*2448+9278,34+9*48-(92+78)
---402129*8275,40*21-29-82*75
-*+651085/5613,(65+10+85-56/13)
-+-7187+624690,71-87+5*46-90
+*+33/96224539,(33+49/22)*45+20
+/*33827*1994,3*11/69+19*94
+/3483//258024,(34/77)+25/80/24
+53++/4710351,53+(47/10+3+51)
-+--5025367238,50-25-36+72-38
+55+68//86977,55+(68+(30/97/65))
-++/4962134920,2/62+54+49-(20)
/5/++87962962,5/(87+96+29+62)
+/6041*/613284,60/41+61/32*(84)
--+49/101414,49+10/57-4-14
+*+9892+223297,(98+92)-(22+97)+97
+-/*6235491178,62*35/49-11+78
+-82*/49128480,82-49/12*84+80
+40**/37185899,40+(37/18)*16*99
+/6266-21/7666,62/74+(21-(76/66))
+74/*936/230,83+9*36/(2/80)
++*6791/411498,67*73+41/14+98
--34+*73707816,34-(73*70-78)-16
/-9084--149317,(90-84)/(14*93-45)
+/+75+97163870,75+(97+16)+38+70
++-531021/7864,53-10-21+(78/64)
*67+94+44*1868,67*(3+(44+18*68))
**/53/61727160,53/(61/87)*71*60
+++-7735533634,77-75+53+36+34
++72*724*1858,72+7*67+18*(58)
+-+*53663315,53*66+33-1+5
+-+9043*52936,90+43-5*29-36
-*//4027553480,40*27/55*34-51
-98*//9893658,98-98/93/65*(8)
+88++9613*7095,(72+(96+74+70*95))
/*5385-59-1441,53*85+(59-14*41)
-11///65727056,11-(65/72/70/56)
**4894//717973,48*94*(56/79/73)
--9072-+455794,22-72-(49+57-24)
++/9319*416346,93*19+9*63+46
-/70/462*157,11+4/62-15*44
-+6/9290*8152,6+92/90-74*21
-+*3580/744434,35*80-74/44-(34)
+6--/9572572,6+(97/72-57+2)
+-*6277*265066,62*77-30*5+66
/*4919--838618,(49*19)*(83-86-18)
-/2939*/619058,24+39-79/90*58
+57+/7659*2556,57+76/59/(25*83)
-//*782062778,78*20*62/77-50
+/5713/*116142,57/13+11/61/8
+/275/*64852,76*5+64*8/52
+**773216/846,89*32*16+(43+6)
+//875538*6645,87/55/53+(66*45)
/90/8+19/2357,(90/(28-(19+(23/57))))
+81*/2399*7814,81+23/25*(78*(14))
+++356859/755,55+68+59+7/55
--+*548262539,(5*48+26-25-(39))
++-44*66605116,44-34*60+51+16
--/265*311096,2/65-14*10-23
/32--6842*9779,78/(68-42-(97*96))
-*6036-/68340,60*38-6/83*40
*-*3835*115379,99-35-11*53-79
--1744//352352,17-44-35/23/52
+**/614251521,61/42*51*97+21
--69//52879616,69-52/87/96+16
-+9781/*82963,97+81-82*96/3
+--784368*7814,(78-43-68+(78*14))
////9017493538,90/17/27/35/(56)
++32--69935287,(32-(69-93-52)+87)
--+-7130274957,71-30+27-2-55
--+3579*222019,45+79-22*20-19
+84/22**582282,84+(22/(58*22*25))
+--*9940597852,99*40-14-78+52
++*-2054384565,20-38-38+45+65
+8-+29+7316,8+(29+(7/31)-(6))
--/3346/76391,33/46+7/63-91
-+*4880*782714,48*80+(78*26)-14
-/6280+95*4565,29/80-(95+45*(65))
-+1783/*565178,(17+83-(56*51/78))
/+-81*57153078,81-57*86+30+(78)
-+40/20-761923,40+20/(76/19)-23
-/**522883993,52/28*8/39-93
