Formula,Result
875.95172.45-664.24612.14-162.41+*--,-162.41+612.14*-664.24-172.45-875.95
176.8-711.16-873.36503.43-394.16-+*+,-394.16+503.43+-873.36*-711.16+176.8
958.18-53.0*634.73-101.46/*-/,-101.46/634.73*-697.49--53.0/958.18
-58.6/79.65--/-222.77-302.83/,(-58.6/(-522.42/(-302.83*-222.77)-79.65))
566.18312.9-285.68/+-+-144.61+,(-285.68/312.9+566.18-(-144.61+-691.65))
-180.71-559.04840.13-++-555.31403.73+,840.13--559.04+-180.71+(403.73+-555.31)
781.32-740.65540.17+-413.45+-++,(-413.45+-189.64-540.17+-740.65+781.32)
-75.65-196.28-350.64-738.73496.1--*-,496.1--738.73--350.64*-196.28--75.65
-273.3-252.66**-827.89/*/-744.34,-252.66*-273.3+(-317.77*-827.89/(-744.34))
*829.51-281.56-992.01407.84//**,407.84/-992.01/-281.56*829.51*-385.12
*618.25-364.47993.18-667.73+++-,-667.73+993.18+-364.47+618.25--14.82
996.92574.86*--264.25-686.05//611.48,574.86*996.92-(-686.05/-264.25*(611.48))
187.69*560.76796.5-494.88-**/,-494.88-796.5*560.76--546.34/187.69
179.75/344.74**/-137.67-+,344.74*-402.2*179.75/(307.62+-137.67)
802.27+25.22977.99*--//,858.3-977.99-25.22/-112.1/802.27
/-38.47949.29-236.28--*-,236.28--420.37-949.29*-38.47--798.16
-120.14652.36-777.51+*+350.67/34.51,-777.51/652.36*-120.14+(350.67/(34.51))
142.31-349.63569.17455.4-613.91/-+-,(-613.91/455.4+569.17+-349.63-142.31)
910.28-914.58+-205.94-889.22//+-,-889.22/-205.94/933.7+-914.58-910.28
-*-218.9777.91-+*//,-5.97*(548.04*-969.5/777.91/-218.9)
-629.6317.68+-*+-416.47-515.7,317.68+-629.6-(589.07+(-416.47-(515.7)))
186.43865.41*/384.5/--+,865.41*186.43/(-606.88--39.99+384.5)
217.22-720.39-558.97151.53+/++/,-361.68/151.53+-558.97+-720.39/217.22
331.77-939.84478.77-564.25305.69+-+*,305.69+-564.25-478.77/-939.84+331.77
-436.36136.19937.66+-826.46-/++,-826.46--192.86/937.66+136.19+-436.36
-370.95392.46532.81++//*,389.72+532.81/392.46/370.95*-467.17
898.04287.05-889.64-884.37-876.46*+*+,-876.46*-884.37+-889.64-287.05*898.04
-334.3163.51-754.34*/**+,768.01/-754.34*163.51*334.3+-974.51
196.77308.7-326.9+*/-148.5788.65/,-326.9+308.7*196.77/(788.65/-148.5)
-723.85-334.97-++-516.57351.4-,-228.13+-334.97-(351.4-516.57)+-723.85
949.92543.1-484.2823.33-*+++,21.59*23.33+-484.28+543.1+949.92
251.82-500.12-827.71*-316.06--**,-316.06+-208.78--827.71--500.12*251.82
-773.32-865.86-+-173.05/5.8*865.5,-865.86--773.32+(-173.05/(5.8*(865.5)))
202.77-860.02743.38-320.13566.7*/*+,566.7*-320.13/743.38+-860.02+202.77
*804.87257.29-893.01-629.14+-+/,-629.14/-893.01-257.29+804.87/-95.98
863.94+490.45937.35-947.94*-+,(863.94+(947.94*550.55-937.35+490.45))
-849.95811.38207.82119.08*+/-*,190.86+119.08/207.82-811.38*-849.95
-586.15+-97.68537.44-35.12+-++,-35.12+537.44--97.68+203.09+-586.15
-178.27*-815.54/-/-562.89-486.98*,-178.27*(652.7--815.54/(-486.98*-562.89))
378.87-526.86+398.0671.38-548.1/*,(378.87+(526.86+(-548.1/671.38*398.0)))
136.78277.87-143.48+-250.58-///,-250.58--615.86/-143.48*277.87/136.78
156.47255.22-316.88+-186.27-+*/,-186.27-274.02+-316.88*255.22+156.47
**466.49-65.33-456.29272.52//+,-598.45*(272.52/-456.29/-65.33+466.49)
-998.48-922.72118.85+-*/-/,-38.47*74.28/118.85--922.72/-998.48
-186.14/245.92*/-931.02920.14+,245.92*640.62/-186.14-(920.14+931.02)
-303.69518.44-+-449.01*-893.16329.01*,518.44--303.69+(-449.01+(329.01+-893.16))
715.4764.47420.79//-23.9-522.09-,(420.79/764.47/715.4-(-522.09-23.9))
979.02+86.2633.42**/++,-413.16*633.42/86.2+-950.55+979.02
89.73335.22-348.13+/*-994.73+/,-348.13+335.22*(431.5/-994.73)/89.73
-975.1232.04-614.67-846.5669.18++/-,69.18+-846.56+-614.67/232.04--975.1
-987.82800.06-897.58939.46-76.32++-/,-76.32+939.46+-897.58-800.06+-987.82
-709.88-370.36-164.05-795.2-459.87/*+*,(-459.87/-795.2*-164.05+-370.36*-709.88)
*-903.99-648.84/10.03/-*+,10.03/730.09--648.84*-903.99+-795.79
-18.75386.87-551.17178.42+-+/-,130.53-178.42+-551.17/386.87--18.75
*882.31518.27541.26---497.75-951.58+,(541.26-518.27-882.31)/(-951.58+-497.75)
139.11-886.27-321.01/*//+490.49,-749.82*-321.01/-886.27*139.11+(490.49)
*/54.7-456.4-949.4-24.97+*/,211.94/(-24.97+-949.4*-456.4/54.7)
--706.34-828.74-305.62-160.96-+//,-160.96--305.62+-828.74/-706.34/764.0
/-449.36/-305.39611.5/-+*,611.5/-305.39--708.27+-449.36*-446.8
376.6521.36+699.56146.49/-+/,146.49/699.56--848.07*21.36/376.65
524.23-883.42-365.22729.87-206.68*--*,-206.68*729.87--365.22/-883.42*524.23
588.97*348.3-700.89331.24-603.47+//,(-603.47+331.24+-700.89/348.3)*588.97
-794.21/-675.54908.62*//--805.91,(908.62*-675.54/-279.23+-794.21*(-805.91))
+258.04-670.66-887.56-288.33-///,-288.33--887.56/-670.66/258.04*-240.32
-370.06--673.82936.89-868.55+-**,-868.55+936.89/-673.82--687.23*-370.06
854.52-299.71-521.09-++618.05++,-521.09--299.71+854.52+(-567.54+618.05)
-393.42+414.3/+-+-874.98*,414.3-939.11+-393.42-(-874.98*499.78)
-471.26/+-972.99-766.47///-,-766.47/-972.99/611.37/217.73--471.26
-552.318.8713.75--465.78///*,-465.78/-146.55/13.75/18.87*-552.3
+2.05--*--799.91322.79-,-28.95+2.05*530.22-(322.79--799.91)
