Formula,Result
-89.59-434.51-/-638.38220.59-637.02826.85-164.57+-898.38415.25/-*-++-,-434.51--89.59/(415.25--898.38--733.13*-164.57-826.85+-637.02+220.59--638.38)
314.83-858.72296.96-593.77+/183.49867.38-792.06313.16-339.94809.93/****-*,-593.77+(809.93/-339.94*313.16*-792.06*867.38*183.49)/296.96*-858.72*314.83
-694.34-122.36-734.76171.89-432.24576.8349.31-240.33159.54173.91++**+-/-*,173.91+159.54+-240.33*349.31*576.8+-432.24-171.89/-734.76--122.36*-694.34
-919.66892.53-233.73158.02982.33-245.96-658.86-10.46682.9+///+**+/,(682.9+-10.46/-658.86/-245.96/982.33+158.02*233.73*299.51+892.53/-919.66)
-735.66-580.77-111.91-515.82-227.44-602.64-/*38.66578.45-373.32643.78-*////,-602.64--227.44*(643.78--373.32*578.45/38.66)/-515.82/-111.91/-580.77/-735.66
-933.11363.06502.9720.34305.26-826.93366.76/*/-*//45.59593.8-362.76+/,366.76/-826.93+305.26/20.34-502.97*363.06/-933.11/(-362.76+593.8/45.59)
+712.14-514.64/-490.08-163.2-734.07998.96623.38+/---+/-996.69-102.71/,(623.38+998.96/-734.07--163.2--490.08)/-514.64-712.14+-147.04/(-102.71/-996.69)
-80.3614.46626.5-709.4392.55-346.76393.85-371.94-182.44-431.14++----*-,(-431.14+-182.44+-371.94-393.85--346.76-92.55-709.43)-626.5*14.46--80.36
-649.55/368.14642.24/-556.0880.66899.44//+859.52-84.38-866.88-230.81+*/,-649.55/(642.24/368.14-(899.44/880.66+556.0+(-230.81+-866.88*-84.38/859.52)))
-352.6-338.31-582.63762.23*-*-463.38740.68-670.02971.5665.45-171.25+*-*-*,762.23*-582.63-(-171.25+665.45*971.5--670.02*740.68--463.38)*-338.31*-352.6
-581.52229.07564.97201.3481.7755.7325.08504.51+727.87*-+---/-+,(727.87*478.92-504.51+325.08-55.7-481.77-201.3/564.97-229.07+-581.52)
-154.36102.5-660.88-641.59-837.97700.66-870.28598.48++-//+//128.28268.94/,598.48+-870.28+700.66--837.97/-641.59/-660.88+102.5/-154.36/(268.94*128.28)
-189.09-254.44-596.2//*--973.38221.73-408.57106.7-163.68-190.14--+*/-,-596.2/-254.44/-189.09*(-190.14--163.68-106.7+-408.57*221.73/-973.38--999.42)
-179.59922.4-434.13-779.32139.82-*+/740.72108.58*-//+185.22131.47/,139.82--779.32*-434.13/(-13.55-108.58/740.72)+922.4/-179.59+(131.47/185.22)
208.0-410.86526.43-86.73345.04-904.53695.28368.93-/*/*+-318.28-//+,368.93*695.28/-904.53*345.04*(-318.28-611.83)/-86.73/526.43/-410.86+208.0
612.07-439.41-704.4441.96660.99--*/-960.92-292.84656.12+*-504.45112.35-++,660.99-41.96-(656.12+-292.84*-960.92)*(112.35--504.45)*-704.44+-439.41+612.07
-172.77438.78985.39-588.07+*+*-903.34455.86-413.1376.16//-826.14-713.74/-+,-588.07+985.39*438.78*(76.16/(-713.74/-826.14)/-413.13-455.86+-903.34)+-172.77
874.44-578.57358.27/+521.13-652.85-670.2445.12-466.01*/+-+349.87+*,(874.44-(358.27/578.57+(-466.01*445.12/-670.2+-652.85-521.13+(349.87+(18.39)))))
-454.4-173.7353.49-666.87795.64624.8-486.5626.18-666.72-126.12+*/***-*+,-126.12+-666.72*626.18/-486.5/624.8*795.64*-666.87-353.49*-173.7+-454.4
/*-595.07/**-981.69*743.8-160.92//-940.93-342.28++611.71/-637.63,-595.07/570.54*-878.05*(-981.69*(-160.92/743.8/(-342.28+-940.93+(611.71/(-637.63)))))
-273.98-841.9153.9+19.97-174.23+382.02**/*++//590.3472.96+,382.02*-688.72*-174.23/19.97*793.87+153.9+-841.9/-273.98/(472.96+590.3)
-819.68-300.75-140.52/++-610.8-932.4/+--898.54-536.72512.65500.24-*+,-140.52/-300.75+-819.68+(932.4/-845.98+-610.8-(500.24*512.65/-536.72+-898.54))
809.31-942.25907.33-731.19267.13-96.07-342.35++/-*+*-381.25224.69-390.81+*,-342.35*-96.07+267.13/-731.19-907.33*-942.25*(-390.81+224.69*-381.25)+809.31
-691.99758.14-741.73+462.31525.55597.9774.14/-*609.92-769.57**+-**,74.14/597.97-(-769.57*609.92)*525.55*462.31+-275.4--741.73*758.14*-691.99
197.6833.94-224.38*//226.32-271.95321.37297.04503.09341.97727.86+/+/+-,-224.38*33.94/197.68-(727.86+341.97/503.09+297.04/321.37--271.95+226.32)
-123.5-952.1312.57486.42-958.54-664.31-885.04859.69+823.6766.95///***+*,(66.95/823.67)+859.69/-885.04/-664.31*-958.54*486.42*12.57+-952.13*-123.5
693.62831.13-477.93172.69-802.45-491.14-7.36811.72413.49-625.29/+/*/++/,(-625.29/413.49+811.72/7.36)--491.14*-802.45/172.69+-477.93+831.13/693.62
801.631.17-347.49/116.37883.75+209.4290.16917.12-208.71/-+//+*/,(-208.71/917.12-290.16+209.4)+883.75/116.37/-439.99+-347.49*31.17/801.6
413.446.1728.87586.02276.65400.22898.26-482.13918.89280.74+*-+*/*+-,280.74+918.89*-482.13-898.26+400.22*276.65/586.02*28.87+46.17*413.4
-720.06904.17-295.24*--853.35689.05348.27843.35-982.32--/+*-916.9176.75/,-295.24*904.17-(-982.32-843.35-348.27/689.05+853.35)--720.06*(76.75/-916.91)
665.33-112.4989.47-646.88801.82--**/+-692.48822.86-386.24+-*287.75,801.82--646.88-989.47*112.4*489.02/665.33+(-386.24+822.86--692.48*(287.75))
528.47-477.84458.96-786.53/**2.77/379.98*/+--859.31-950.17-187.87/,-786.53/458.96*(379.98*-750.14/2.77)*-477.84+528.47-(-859.31-(-187.87/950.17))
667.61-33.07**-256.17467.73-506.37*407.52-769.94-511.98223.59*-/*+**,-33.07*667.61*(223.59*-511.98/-769.94/407.52*559.79+-506.37*467.73*-256.17)
-135.2-624.81729.12866.45791.4*--/-325.85-848.43435.18949.23467.06//++*,791.4*866.45-729.12-(467.06/949.23/435.18+-848.43+-325.85)/-624.81*-135.2
*-57.74*455.57-785.84467.3-329.48-+---//-712.19-664.05151.63/+,-329.48-467.3+-785.84-455.57-256.09--57.74/(151.63/-664.05+-712.19)/-721.19
-446.64764.52770.28618.51-545.67-153.68941.73505.51677.63-*-+/+-+++,313.11*677.63-505.51+941.73/-153.68+-545.67-618.51+770.28+764.52+-446.64
191.51984.02231.45-55.14--15.1879.69+-++*-*-373.82235.9-106.55++,879.69+-15.1--743.33+-55.14+231.45*984.02-191.51*(-106.55+235.9+-373.82)
-934.04118.89357.17+/-93.5916.05++--312.18245.63-/-780.24-729.67-902.49/-,(357.17/(16.05*-93.59)+118.89+-934.04-(245.63-(-902.49/-729.67--780.24)/-312.18))
675.04-50.78-959.68116.79-904.79-/+*/717.74967.2366.66319.36-+*/-824.86,-904.79-116.79/-959.68+-50.78/(319.36-66.66-967.23+717.74)*675.04/(-824.86)
-908.15-708.12+-375.13610.46-620.12-/174.17318.18-+/26.53992.02170.41++,-708.12+-908.15-(-620.12/(318.18-174.17)-610.46+375.13/(170.41+992.02-26.53))
-937.99-168.22990.63-129.06861.08706.18+706.69-274.94-9.38--+-+*-+/,-9.38--274.94-706.69+388.16-706.18+861.08/-129.06-990.63+-168.22/-937.99
-204.5310.75-162.72143.28-389.1544.6130.11340.24-201.88-619.07//+*/-+/-,-619.07/-201.88/340.24+30.11*44.61/-389.15-143.28+-162.72/10.75--204.53
457.23276.84381.35-482.45149.32-*/+//-846.59155.28+-869.76995.33773.45--,149.32--482.45*381.35/276.84+457.23/(155.28+-846.59)/(773.45-995.33/-869.76)
58.24150.6761.55-133.65-464.94-85.18/-/+**840.37995.47917.3+-/-334.5,-85.18/-464.94--133.65/761.55+150.6*58.24*(917.3+995.47-840.37/(-334.5))
804.24933.17615.04245.68-567.34107.08401.62635.58-988.64-963.49/*+/--/+-,-963.49/-988.64*635.58+401.62/107.08--567.34-245.68/615.04-933.17*804.24
-/673.32**-443.5407.68-900.45+/227.55-811.19+620.25650.7579.48*/,(-640.88/(673.32*(-900.45+407.68/-443.5)*(227.55-(811.19+(79.48*650.75/620.25)))))
-339.18-126.39-930.57-775.3596.43-/905.71837.65638.21-/*786.83-33.9*/*+,96.43/(638.21-837.65*(-33.9*786.83)/905.71)--775.35/-930.57*-126.39+-339.18
165.93-28.73484.4+-*815.75-112.88513.69437.18/-+-733.98-983.54-129.71*++,(484.4+-28.73-165.93*(437.18/513.69+(-129.71*-983.54+-733.98)--112.88+815.75))
**-111.48--*-63.4685.3-879.14-705.01//-+-894.93187.92+-698.65,-111.48-789.0-306.95*(-705.01/-879.14/685.3*-63.4+(187.92+-894.93-(698.65)))
986.5650.05796.61575.0586.61--74.46855.2577.73-896.99-871.7*+/*++/,(586.61-(-871.7*-896.99+77.73/855.25*74.46)-575.0+796.61+650.05/986.5)
/-185.07-822.29*-*321.37145.7125.59-/-113.42918.58/-134.64/++*,-822.29*-185.07-(125.59-(-134.64/28.92+918.58+-113.42)/145.7*321.37)*744.68
138.25461.97-455.87569.67-273.91565.41-**-750.09767.46-65.75-699.4/-*+,(565.41*(767.46--750.09)*(-699.4/65.75)--273.91-569.67*455.87)-461.97+138.25
95.81-58.51-345.56-619.73-131.0/-++/688.75-514.95-/-512.13744.9*+-801.96,-131.0--619.73--345.56+-58.51+95.81/(-514.95/(744.9*-512.13)-688.75+(-801.96))
578.8748.9113.97322.22547.33*-192.57-759.85-938.85-799.88*/---++**,-799.88*-938.85/-759.85--192.57-688.1-547.33+322.22+13.97*748.91*578.8
-478.39-766.59590.67-388.55+614.68+-677.72-196.82-799.72//+++*--+,-799.72/-196.82/-677.72+-557.91+614.68+-597.48*-388.55-590.67--766.59+-478.39
+-807.55-575.56-720.74355.69472.56-466.99-953.49+//+*-628.6912.47+***,-953.49+-466.99/472.56/355.69+(12.47+-628.69)*-720.74*-575.56*-807.55-81.6
-835.35-836.06/*895.22-850.36-+911.33186.81367.21+-+-996.43-856.05-/*,(-836.06/-835.35*(-850.36-895.22+(82.35+(-856.05--996.43)-367.21/186.81*911.33)))
-35.57-236.12600.34982.91945.64627.75213.9890.97-677.28-784.61*/*-++*-+,-784.61*-677.28/890.97*213.9-627.75/945.64+982.91*600.34--236.12+-35.57
*-917.33373.15388.55619.4*-35.2979.84-881.33144.57+/-+**+*+,144.57+-881.33/979.84--35.2+-898.5*619.4*388.55+373.15*-917.33+-757.31
884.83-685.41204.5-458.55*-226.53807.77+*518.26713.23-861.57/+-+-/*,807.77+(-861.57/713.23+518.26)*-226.53--931.8+-458.55-204.5/-685.41*884.83
-290.47-387.05974.47811.04*-**-146.27-735.59-161.42796.85996.56370.81/*-*-,811.04*974.47--387.05*-290.47*(370.81/996.56*796.85+-161.42*-735.59--146.27)
-95.14156.15-200.41-793.28-387.56-970.19-476.58+-754.9841.1-809.8**+/++--,(-809.8*41.1*-754.98)+-476.58+-970.19/-387.56--793.28+-200.41-156.15--95.14
-526.07510.36-480.79191.34619.63//**258.02-546.76-962.35-966.36385.09-*+**,619.63/191.34/-480.79*(385.09--966.36*-962.35+-546.76*258.02)*510.36*-526.07
693.41795.38322.41-681.24-176.31/**-512.8123.08936.14-444.67-/--*-*,-176.31*(-444.67-936.14/123.08*-512.8-34.08)/-681.24*322.41-795.38*693.41
+528.63450.79-13.32-861.56/589.62+*-355.15103.11-844.82-/*/---,589.62+(-844.82-103.11/-355.15)*-9.53*-861.56/-13.32-450.79-528.63--502.08
-871.98*98.72141.21++960.91-31.62-907.72-24.79-809.98810.87-998.78*/-+/+,-871.98*(141.21+98.72+(-998.78*810.87/-809.98--24.79+-907.72/-31.62*960.91))
-278.94-72.67631.97*-566.04510.52++/**-130.2-977.63-531.21-812.51+*/,510.52+-566.04+989.03/631.97*-72.67*-278.94-(-812.51+-531.21*-977.63/130.2)
301.78683.85243.08*975.75489.75-201.15*771.65334.22*+**-+**-,334.22*771.65+-693.78*-201.15-489.75-975.75+-995.28*243.08*683.85-301.78
*-657.48185.46553.02-346.98-138.7*+////-893.02329.06-409.83-673.26///,-138.7*-346.98+553.02/185.46/-657.48-(-673.26/-409.83/329.06/-893.02)/-903.37
598.16-557.89-777.76-29.78*-843.78581.01-465.83-++*308.38436.43/*//+,-465.83/581.01+-843.78*(436.43/308.38)+-313.46*-29.78/-777.76/-557.89+598.16
659.75-679.9827.01941.49-198.65/86.27-119.44-+*-+/-673.58-761.96-837.55/+,(-119.44-86.27)/-198.65+941.49*827.01--679.9+659.75/(-837.55/-761.96+-673.58)
*-86.34/--685.8--55.11--240.75-685.53-664.63-484.02/+-+*/*,-86.34/-862.27-(-484.02/-664.63+-685.53--240.75+243.34*-55.11/530.32*-685.8)
-452.42840.01265.44-687.38++/-883.29-935.0**/-27.91187.97*+*,-687.38+265.44+(-935.0*883.29*-54.3)/840.01/-452.42-(187.97*27.91+(-47.92))
419.3376.67**458.99-991.31-138.9*+***-265.42-59.61--790.84/+-,376.67*419.3*(-520.95+-138.9/-991.31*458.99*(-790.84/-230.17+-59.61--265.42))
-724.31264.26-586.13-699.5//*+237.45-456.64343.75527.19//++-478.37-933.7*,-699.5/-586.13/264.26*-724.31+(527.19/343.75/-456.64+237.45+(-933.7*-478.37))
-517.45-584.79-840.41-564.77918.91-411.83965.67446.28/-**/+-*/-503.92,446.28/965.67--411.83*918.91*564.77/603.46+-840.41--584.79*-517.45/(-503.92)
-693.46278.14-163.53--880.23614.23631.27705.54335.5263.56*/+/+/+**,63.56*335.52/705.54+631.27/614.23+-880.23/277.84+-163.53*278.14*-693.46
-56.27525.91-875.37+-476.96368.38147.931.6151.7-138.82+**--+-/-,-138.82+51.7*31.61*147.9-368.38--476.96+-472.7/-875.37/525.91--56.27
