Formula,Result
-+**/2415-+8145-9346*+8455-5/-*-7+--47-76-87-1332,24/15*(81+45--93)*46+(84+55)*-5-(-7*(-47--76+-87)--13)/32
--/+1-45/94-7719*///*8622-7967--90/31-6841*-9263,1+(45-94/-77)+19-86*76/-79/67/(-90-31/-68)*41--92*63
-+--+/31667786***/-41-936940-94*-76-37**4829+-97-7,(31/66-77-86)--41/-93*69*40*-94+-76*-37-48*29*(-97+-7)
+++-+/-819879////+--60-5290-295811-75-9017/-46+-4134,-81/98+79-(-60--52+90)*-29/58/11/-75+-90+17--46/(-41+34)
---+**/-56-30-43-57--2122-8326/**/*/9790-88-255464-78,-56/-71*-43*-57+(-21-22)--83-26-97/90*-88/-25*54/64/-78
-+++-/5962-27-18++--6230-402341*-65-54/-78+*-11-59-11,59/62--27+-18+(-62-30+-40+23)+41--65*(54-(-78/(-11/-59+-11)))
+-2722**///*/8112+/*-915546-*-46-282-97-69899943,27-22+81/12*(-91*55/46+-46*-2/82)/-97/-69/89*99*43
--+++---++-75-33-130-40692397*-9379/-57-70-80*39-77,75--33+-13+0--40-69-23+97+-93*79+-57/-70--80-39*-77
+*442/*--+/*-30-1838-92**+-5938-56/-31-41*-98-42-72-29,4*42+(-30*-18/38+-92--59/38*-56*(-31/-41)--98*-42)*-72/-29
+++--846////-7/4161-849409188--+--3240-13-428,8-46--7/(41/61)/-8/49/40+-99+88+(65-40+-13--4-28)
-+-97+--653940**17-62-16-30++-+-50-45*/-26-20-387423,97-(-65-39+78)+17*-62*(16--30)-(-50+-45--26/-20*-38+74+(23))
-/-+--4//38-2-+90+-21-98+39-90/*-80-62-94/26-9099-18,-4-38/-2/(90+(-21+-98)-39/-90)+(-80*-62)/-94-26/-90-99--18
--++*-123*7240-42*-233-+/-484744///*-337797-7246,(-12*3+72*40+-42--23*3-(-48/47+44--33*77/97*-72/46))
-+-8323**///8812-+++-27-91+-1234-4035279573*-34-11,83-23+88/12/(-27+94+-12*34+-40-35)/27*95*73-(-34*-11)
-+++-8468*2169-92//*//-64-72-22-9532+*/61-5057*737,(-84+68)+-55*69+-92-(-64/-72/-22)*-95/32/(61/-50*57+(7*37))
-+--+--41*/-62+--813710-41+-932-93-77/-316023/9046,(41--62/(-81-37+10)*-41-(-9/32)+-93--77--31/60+23-90/46)
-*11/5447*65++618/-94+---87*48-76/*2247-39*-44-65,11*(54/47)-65*(61+8+-94/(-87-48*-76-22*47/-39+-44*-65))
+-12/20*/1521+++29-+*-98+/-61212293*/87-80-606-52,-12+20/(15/21*(-85+(-98*(-61/21+22)+93-87/-80*-60)+6+-52))
+-/*22-4650/+-+--8423-1670//*7561-40-82-19/-79*-6620,22*-46/50-(-84-23+-16-70+75*61/10/-82)/-19+-79/(-66*20)
+*-1723++--9443/688/46-**/*-599095-6871-/-79-9370,-17*23+(-94-43+68/8+46/(-59*90/95*-68*71-(-79/-93-70)))
+-+-+++--3-17-99*-22-4517-6*/-82-79-3264+-17+*-3531-56,(-3--17+-99+-22*-45+17--6+-82/-79*-32-64+-17/(-35*31+(-56)))
-/*/*4126-6129--50-73++-/*60-98-9165/22+-2/77-2023,41*26/-11*29/(-50--73)-(60*-98/-91-65+22/(-2+77/-20)+(23))
-+**6-74///-11+/**-65-28943948-1541*12*-77+37-16,6*-74*(-11/(-65*-28*17/39+48)/-15/41)+1*2--77*(37+-16)
+-*//-/*-22-658542-1728++//85543785/81-68*-6074-56,(95*-65/85-42)/-17/28*(85/54+37+85+81/-68)--60*74+-56
-+--/-8869/-66**-82-994642-27++-43-97/**111-96+7950,-88/69--66/(-82*-99*46)-42+-27-(-43/-97+1*11*-96/(79+50))
--+--*/*-5-796199/*-44-11-455*///-18-102478965399,-5*-79/61*99--44*-11/-4-55+-18/-10/24/37*96-0-99
+------61/-54-66/449-94//*80-776228/8-40*-8*238,-61--54/-66+44/9--94-80*-77/62/28-8/-40+-8*(23*8)
+++/*-6083-38/-8064/-69-+-88-7593/**+-7654-48-285-59,-60*83/-38+-80/64+-69/(-88+-75-93)+(-76+54)*(-11--28)*5/-59
