Formula,Result
2.811.398.275.363.38*--/,*3.38-5.36-8.27//2.81
9.711.523.591.93+-/-+,-1.86/--3.59-1.529.71
6.567.160.543.321.2++*/,-1.2++*0.54*7.166.56
3.543.6+8.27.08+--/,+7.08-8.2-+/3.63.54
4.156.328.036.851.31-/*/,+-/6.85-8.03/6.324.15
3.987.07*-4.53*+-+,+4.53+3.18-1.48/7.073.98
9.37.689.78.87//++*,/0.84+8.87*9.7*7.68-
6.391.819.398.488.83+-//,+8.83-8.48+9.39/1.81*
4.213.252.775.726.62++--,+6.62*--2.77-3.254.21
8.397.341.812.127.28/*+/,/7.28*2.12-+/7.34+
7.888.52.538.790.14+-/+,-0.14-8.79/2.53+-*
4.951.732.232.218.43*+*-,*8.43+2.21/2.23-+4.95
-9.532.050.54.75++/-,+4.75+--2.05-9.539.35
1.048.770.851.00.15+/--,+*/1.0-0.85+8.771.04
7.245.93/3.297.76++/-,+7.76-3.29*1.93-5.937.24
3.510.289.01+6.51/+*+,/6.51+5.98*+/0.28-
-5.128.011.51++-*+,+5.86-1.51*++5.120.29
2.219.147.763.263.65+/--,+--3.26-7.76-9.142.21
-1.214.836.834.08-+/*,-4.08+6.83/4.83*+2.09
9.370.125.236.44/+*-*,++*6.44-5.23*0.12-
8.524.382.981.043.14/*/-,/3.14-1.04/2.98--8.52
2.236.039.038.398.18**-*,+-*8.39-9.03/6.03*
-6.24*4.312.77+//-,+2.77/+/7.08-6.248.71
7.97*6.231.368.02-+-+,-++1.36-6.23-2.837.97
8.854.88-5.383.31/***,+3.31/5.38*/*4.888.85
6.922.452.51*6.29-**/,*6.29*/+2.51/2.45-
1.355.195.48/8.81*---,*8.81*2.07-5.48-5.191.35
-0.277.785.112.23/-/+,/2.23-5.11+*+-6.82
3.744.816.869.413.12/*/*,/3.12+9.41-6.86*4.813.74
5.69.954.588.890.41//*/,/**8.89+4.58*9.955.6
0.877.486.637.569.51+**-,+-*7.56*6.63-7.480.87
4.698.491.048.488.93+/-*,+8.93/+-1.04/8.494.69
-9.59/8.286.43//--,/6.43/8.28-1.49*9.590.6
2.812.537.048.36.39+***,//*+*7.04*2.532.81
+9.86.22.784.55*/-/,+4.55/2.78*6.2//2.3
5.940.041.925.39+--*/,-8.83--*1.92+0.04-
8.378.551.773.848.24/*-+,/8.24*3.84+++8.558.37
5.276.584.25.230.31//*+,/0.31/5.23*4.2+*/
9.974.22/8.556.9*-/+,+6.9-8.55/0.67+4.22+
9.199.262.683.677.86/***,-7.86-3.67*2.68*9.269.19
3.090.528.926.733.87+/*-,+3.87/6.73*8.92+0.523.09
2.723.984.644.394.16--*/,-4.16-4.39*4.64/3.982.72
+4.598.837.350.78/+*+,/++7.35*8.83+4.59/
3.244.931.890.593.96+*/-,+3.96*//1.89-4.933.24
7.198.329.882.542.84///-,/2.84/2.54/9.88+8.327.19
0.367.81*0.81*-+-+,-7.21*0.81-1.53+7.81/
*4.312.2/5.07*/+-,*5.07/5.7-2.2-4.311.4
1.374.588.782.67+/+//,/0.84*+/8.78/4.581.37
9.961.588.376.88.44*/*+,*8.44/6.8+8.37+1.589.96
5.479.35.438.549.16/+/*,/9.16*8.54/5.43*9.35.47
-0.161.28.989.73++-*,+9.73++-1.2-0.164.52
7.930.564.48+-*+*+,*9.23+3.6*4.48+*7.93
/0.047.833.191.7-+*-,-/+3.19*7.83-0.044.04
0.24.38/2.88-*+/+,*3.66/2.88/2.29+4.38+
6.079.877.640.338.71---*,-8.71-0.33-7.64*9.876.07
6.540.98+/-/-+/,/+-9.5+2.99/0.986.54
+3.848.815.923.89/-*+,/3.89---8.81+3.842.12
9.567.334.184.188.85-**-,-8.85*4.18*4.18-7.339.56
5.953.692.146.721.44+-++,+1.44-6.72+2.14+3.695.95
5.734.67.617.056.18-*+-,-6.18*7.05/7.61-4.65.73
5.2-4.288.420.98/*--,/0.98**-4.28*5.545.2
4.457.836.08-4.17++++,+4.17-2.83+6.08+7.834.45
8.933.728.958.628.91/+-/,+8.91+8.62-8.95/3.728.93
7.627.332.58/1.7++-*,+1.7+0.31+2.58+7.33*
+0.721.815.125.05**++,/5.05-5.12+1.81*0.723.84
6.013.531.043.050.38/--/,/0.38-3.05-1.04/3.53*
3.283.493.846.41*/**/,/3.88*6.41*3.84/3.493.28
0.798.096.127.554.55**/+,/-*7.55/6.12+8.09-
