Formula,Result
-+/*334506964,4134+24/69+64-
-*-/479338692,479/33/86+92-
+-+80*86668322,988666*+83-22-
*/*/9497376093,9497/37*15-93*
+/+10/47784038,104778/+40-15+
----5857279872,5857-27-98-66-
---644*198238,6457-1982*-39-
+-/239453/2294,2394/53-2294/+
*/+*1364618458,1364/61*84/83*
+++4154/33877,4154-338/+77+
---+6187577512,6187+64-75-12-
-*613/*977549,613*9775*15//
+/**557268516,5590/68*62/6+
-+--766539996,7665-39-9+96-
+++299650*8940,2996+50+8941*+
+-*753719/3551,754*19/3551/+
/***5296416813,5296*41-68/13/
-+8057*/308029,8057+3091/29*-
+*1187/*804192,1187*5641/92/+
-/**852788817,426*88*81/7+
-*/73603*2464,7312/3/2464/-
-81*/*25366329,122564*12/29-+
/+80//90499135,809093/91/+35-
--+2336*524788,236+5289*-88-
++52**22853156,522285*66*+56+
--*/7514925171,7514/92*65-71-
+**/733585854,7335+85*8*54+
+**63579/3365,6755*79+4065/+
+*4334/*632158,4314*6321*58/+
+-+217219-586,2149+19-586*+
++7832/*299239,7832+2992*39++
//**388579246,238*57*92+46/
++5171//77348,5147+750/48**
+-+3891*798072,5959+7980*+72-
+66*/*11309597,669430*95/97*-
-+/1773/63452,1773/634/+63-
++9510**675845,9510+6758/45+-
--96**23469877,969969+98*-57-
-++8664*904836,8663+9088-+36-
+/8240/*399285,8240/5692*85/+
+**852643*9825,8094*43*9825**
-**/692177874,6920/77-8*61-
+-*662525*8540,6645*62-8540/+
+-+2*1317937,5481*+86-37+
+*5360/*909458,3860-9094*35/+
+-863**264017,8633+2640*17*+
+--7847/97365,7847-7973*-65-
-*/542865/2624,6628/65*8624+-
+60/**75929124,607592*91*23/+
-/*/404493503,4044/93*50/3-
-///5267852610,5267*34/48+10+
+/*789914*7988,7899*14*791*+
--*952583*8798,2625+83-8721*-
*++4698*456448,7235+7264*+48+
-/+/2736667319,2736/66*73/19*
-+*287225*716,2572*71+716*-
-17*/*20195825,502019*58/25*-
--62*4336*8682,19851*-8682*-
*/*/6658799768,6658/37-97/98*
-*/*2145126938,2245*12-93-38*
