Formula,Result
-0.8 0.22 0.97 -0.41 -0.44 -0.97 -0.12 -1.0 -0.73 -0.34 -0.22 0.34 -0.92 -0.58 0.53 / * / + * * * / - / / * / *,/ 0.53 * -0.58 / -0.92 + 0.34 * -0.22 * -0.34 * -0.73 / -1.0 - -0.12 / -0.97 / -0.44 * -0.41 / 0.97 * 0.22 -0.8
-0.08 0.88 -0.78 -0.9 0.83 -0.92 -0.73 -0.28 0.69 0.09 -0.91 -0.62 0.79 0.11 0.08 + / + + - / * * + - * + + +,+ 0.08 / 0.11 + 0.79 + -0.62 - -0.91 / 0.09 * 0.69 * -0.28 + -0.73 - -0.92 * 0.83 + -0.9 + -0.78 + 0.88 -0.08
-0.59 -0.12 -0.3 -0.72 -0.59 -0.52 -0.94 0.28 0.1 0.25 0.84 -0.76 -0.7 0.66 0.7 - - - - * + / + * + * * - /,- 0.7 - 0.66 - -0.7 - -0.76 * 0.84 + 0.25 / 0.1 + 0.28 * -0.94 + -0.52 * -0.59 * -0.72 - -0.3 / -0.12 -0.59
0.83 0.45 0.35 -0.82 -0.53 0.56 0.65 -0.34 0.5 0.68 0.19 -0.65 0.3 -0.59 0.67 * + / - / / / - * * - - * *,* 0.67 + -0.59 / 0.3 - -0.65 / 0.19 / 0.68 / 0.5 - -0.34 * 0.65 * 0.56 - -0.53 - -0.82 * 0.35 * 0.45 0.83
0.86 -0.68 -0.72 -0.15 0.02 0.1 -0.41 0.04 0.98 -0.03 0.47 -0.16 -0.73 0.94 -0.47 / - * / - * + * * - * / * +,/ -0.47 - 0.94 * -0.73 / -0.16 - 0.47 * -0.03 + 0.98 * 0.04 * -0.41 - 0.1 * 0.02 / -0.15 * -0.72 + -0.68 0.86
0.54 0.93 -0.79 -0.25 0.92 0.16 -0.11 -0.34 0.21 0.32 0.25 0.72 -0.28 0.01 0.56 - / * - + - + * * + / - - *,- 0.56 / 0.01 * -0.28 - 0.72 + 0.25 - 0.32 + 0.21 * -0.34 * -0.11 + 0.16 / 0.92 - -0.25 - -0.79 * 0.93 0.54
-0.92 -0.19 0.7 0.82 -0.1 0.54 -0.35 -0.41 -0.11 -0.62 0.76 -0.87 0.03 -0.3 0.2 * - / - - * / + - + * * / -,* 0.2 - -0.3 / 0.03 - -0.87 - 0.76 * -0.62 / -0.11 + -0.41 - -0.35 + 0.54 * -0.1 * 0.82 / 0.7 - -0.19 -0.92
-0.25 -0.71 -0.85 -0.82 0.75 0.62 0.51 0.36 0.74 -0.64 -0.93 0.08 0.44 -0.61 0.25 / / * * * + - / - / / * / +,/ 0.25 / -0.61 * 0.44 * 0.08 * -0.93 + -0.64 - 0.74 / 0.36 - 0.51 / 0.62 / 0.75 * -0.82 / -0.85 + -0.71 -0.25
-0.75 0.25 0.9 0.05 0.47 0.24 0.15 -0.86 -0.9 0.02 0.0 -0.02 0.79 -0.28 0.93 - + + - - + * - - / / - * +,- 0.93 + -0.28 + 0.79 - -0.02 - 0.0 + 0.02 * -0.9 - -0.86 - 0.15 / 0.24 / 0.47 - 0.05 * 0.9 + 0.25 -0.75
0.78 0.67 -0.38 -0.77 -0.92 -0.03 -0.28 -0.84 0.45 -0.33 0.95 -0.79 0.22 0.72 0.56 - * + - + * * / * / - / + *,- 0.56 * 0.72 + 0.22 - -0.79 + 0.95 * -0.33 * 0.45 / -0.84 * -0.28 / -0.03 - -0.92 / -0.77 + -0.38 * 0.67 0.78
