Formula,Result
+///-619632-107,-61-18/32/-10/7+
-*/9199-89*-63-24,9199/-23*-63-24*-
++*30-44/2813-88,-97-44*2813/*-88+
----9256-32/23-3,9156*-100-23-3/*
-+-91-5859/59-2,91-58-59+59-2*/
+/-54-61**-27-76-97,-54-61--27-76*-97*+
-+-*93376-7058,9-36*76/-70+58-
-+--7178-67*-41-34,-7178--67+-41-34*-
+*67-21+*63-78-84,67-21*63-78*-84/+
+-+-6417*-94-78-71,-64-22+-94-78*--71+
-61**/-46-957631,61-46-95/76*31*-
-+24/*-4341-978,24-4341*90/+84-
+-+/-7973-42-3-15,7873/-42+4--15+
+--7998/-754450,7998--7544/-50+
-/-4322/*2476-56,-4322/24-28*-56/-
---*-61-8247-8072,61-82*47--80-72-
-*51-17*/344128,73-17*2041/28*-
++7+-1214/7440,7-1214*+7440/+
+-+64*628031-67,956280*+-12--67+
*-*/-8-11-919126,-8-11/-91*-81-26-
-+-88**81938050,-888193*80*+-44-
---+-34-46935667,-34-46+93-56/-17-
*///-80-586616-66,92-58/66/16-59*
+*/*-84-35-324543,-97-35*-32/45*43+
++--13-55/-61878,-138--618/+78+
--+-15-333-2757,1553-33+-27-57-
+-*-34-2759*74-54,-34-27*59-74-54*+
+-5651/*-13-6-15,5651--13-6*-76/+
--+47-85*-74-5846,47-85*-74-58*-20-
--/44-70/-28-26-37,-100-70/-28-26/--37-
--/38+56-22-9754,3856-22*+70-54-
-/-84-19//-25-5-86,-8459/-25-100/-86/-
++85*7548/-82-3,857548*+-82-3/+
++/30-64-22/-67-90,42-64/-22+-67-50-+
++-67*7615-6489,677015*--64+-50+
-+-4415*78-1269,7615-78-12*+69-
-*//-7282435547,-7282/43/55*47+
--+*68-59-55-2092,68-59*-55+-4-92-
****-988221-9-12,-9882*21*-43*24*
++92-60//-729228,92-6/-7292/-43/+
****702667-7,702*-7*36*-7*
-++7568*41-23-63,7568+48-23*+-63-
+*+-72-864*82-72,-72-86/4*82-72*+
++-36/*-48-5814-46,-36-89-58*-15/+-46+
/-49-79**9610-69,4916-9674*-69*-
