Formula,Result
8.03 8.68 8.05 0.57 8.44 0.11 9.25 8.03 / + - - + - ^ 1 - ^ 2,/ 8.03 + 9.25 - 0.11 - 8.44 + 0.57 1 ^ - 8.05 - 8.68 2 ^ 8.03
10.0 6.78 5.55 4.92 * + + ^ 1 - ^ 1 ^ 0.13 8.45 8.35 - - 1,* 4.92 + 5.55 1 ^ + 6.78 1 ^ - 8.35 - 8.45 0.13 1 ^ - 10.0
4.7 8.41 8.38 6.85 5.68 8.54 2.28 - + ^ 2 + ^ 2 * * + * 7.97,- 2.28 2 ^ + 8.54 2 ^ + 5.68 * 6.85 * 8.38 + 8.41 7.97 * 4.7
1.94 3.28 0.4 8.13 + - / / 4.35 5.23 2.27 7.76 0.73 8.27 / - / / -,+ 8.13 - 0.4 / 3.28 / 8.27 - 0.73 / 7.76 / 2.27 - 5.23 4.35 / 1.94
5.78 3.81 1.35 2.2 3.18 * - ^ 1 - * + 9.9 6.85 1.87 * - / 0.86,* 3.18 1 ^ - 2.2 - 1.35 * 3.81 * 1.87 - 6.85 0.86 / 9.9 + 5.78
6.52 9.06 1.02 0.98 / - ^ 2 / + 6.93 0.76 6.37 6.97 0.51 - * / -,/ 0.98 2 ^ - 1.02 / 9.06 - 0.51 * 6.97 / 6.37 - 0.76 6.93 + 6.52
4.88 4.4 1.47 9.96 0.5 8.79 8.31 7.24 * - ^ 1 + - + ^ 1 - /,* 7.24 1 ^ - 8.31 + 8.79 - 0.5 1 ^ + 9.96 - 1.47 / 4.4 4.88
1.1 2.38 * * 0.14 8.74 3.42 / / + 6.6 4.83 + - ^ 2 4.93 ^ 1,* 2.38 / 3.42 / 8.74 + 4.83 2 ^ 1 ^ 4.93 - 6.6 + 0.14 * 1.1
6.66 1.58 6.15 7.86 6.45 0.58 8.33 0.15 - / / - - / * - ^ 1 1.5,- 0.15 / 8.33 / 0.58 - 6.45 - 7.86 / 6.15 * 1.58 1 ^ 1.5 - 6.66
3.03 - ^ 1 6.3 8.19 2.95 / - ^ 2 + ^ 2 2.64 3.36 9.53 * -,1 ^ / 2.95 2 ^ - 8.19 2 ^ * 9.53 - 3.36 2.64 + 6.3 - 3.03
5.17 2.32 7.54 0.53 5.27 / - ^ 1 - ^ 1 * * 7.06 - 0.8 / 6.96,/ 5.27 1 ^ - 0.53 1 ^ - 7.54 * 2.32 6.96 / 0.8 - 7.06 * 5.17
0.84 3.1 5.1 1.31 6.17 1.67 7.78 6.72 9.94 * - ^ 1 - - - - - /,* 9.94 1 ^ - 6.72 - 7.78 - 1.67 - 6.17 - 1.31 - 5.1 / 3.1 0.84
