Formula,Result
- + 43 1 - ^ 22 2 29,43 1 - 56 2 ^ 29 - -
- / 61 82 * 69 + 58 94,42 2 ^ 69 58 94 + * -
- - ^ 14 1 6 ^ 41 1,14 1 ^ 6 - 41 1 * -
- / / 22 81 ^ 87 2 22,22 81 / 87 50 ^ / 15 -
+ + 66 79 / + 54 67 6,66 62 * 54 79 / 6 / +
+ - ^ 8 87 14 * 71 28,8 2 ^ 14 - 57 4 * +
/ - - 99 7 * 60 77 6,99 7 - 60 77 * / 65 /
/ - + - 37 14 63 22 46,37 14 - 63 + 22 - 33 *
+ + + 18 29 99 ^ 57 1,18 99 + 99 + 57 96 ^ +
* * 37 39 + + 80 49 50,37 39 * 61 15 + 50 + *
+ - ^ 98 88 90 / 39 2,98 1 ^ 38 - 39 2 ^ +
- + + 92 * 61 23 17 74,92 19 61 * + 92 + 74 -
- * / / 50 42 60 89 83,50 42 / 60 / 89 - 83 +
- 6 + + / 48 57 37 88,6 48 57 / 14 + 39 + -
+ - 6 1 - ^ 54 1 76,6 1 ^ 54 1 / 76 - +
+ + ^ 78 1 70 ^ 93 34,78 65 ^ 39 + 93 32 ^ +
- - - * 79 29 9 52 28,20 29 * 9 - 52 - 28 -
+ + - 61 72 / 78 7 2,87 72 * 78 7 / + 2 +
* + / 83 99 52 * 39 96,83 99 - 52 + 62 96 ^ +
+ / * 29 53 / 87 2 44,29 53 * 87 2 * - 44 +
+ + 84 90 + - 8 52 1,84 90 + 8 84 - 27 + +
/ / * * 91 87 47 78 34,91 87 * 47 * 78 / 34 ^
+ * 61 ^ 86 2 / 91 76,61 86 42 / * 91 34 - +
+ / 70 * 43 94 + 65 24,70 43 98 * - 65 24 + +
- ^ 19 1 * 78 ^ 42 2,19 1 ^ 78 42 2 ^ * -
/ / 56 56 / / 23 99 80,56 56 / 23 99 - 80 / +
/ / / * 75 20 46 21 2,75 32 * 46 / 21 + 2 ^
- + / 54 58 / 39 41 5,61 19 / 39 41 / + 5 -
- ^ 85 ^ 48 2 * 50 56,36 48 2 * * 50 56 * -
* / / * 92 50 77 98 46,83 50 * 77 / 98 * 46 *
- + 95 ^ 12 2 / 88 43,95 12 2 ^ + 88 43 / -
+ + - 25 78 31 ^ 55 1,25 78 - 75 + 55 1 ^ +
- + 42 93 / / 57 83 79,42 93 / 57 54 / 79 / -
/ * 75 - 77 / 13 93 71,75 77 13 93 / - * 71 /
* * * / 72 11 93 95 8,72 68 / 93 * 95 ^ 8 *
/ 44 ^ 60 / * 95 72 74,97 60 66 72 * 74 / ^ /
+ - / 91 95 47 / 18 5,91 98 / 47 - 48 5 / +
+ * 42 40 * / 95 34 54,42 37 / 95 34 / 54 * +
+ 33 * + - 78 40 97 44,33 50 40 * 97 / 44 * /
+ 66 - - ^ 45 96 98 68,66 45 24 * 98 - 57 - +
+ + * 33 ^ 9 1 35 50,33 9 1 * * 35 + 50 +
- - + ^ 90 87 59 3 89,7 86 ^ 59 + 3 - 89 -
- 99 + * 40 1 ^ 31 1,68 40 1 ^ 27 1 ^ + -
+ / * 48 72 ^ 73 2 81,48 72 * 73 2 ^ / 81 +
+ + 74 ^ 10 2 ^ 95 2,41 10 3 ^ + 95 2 ^ +
- + / * 59 84 95 71 16,59 84 * 36 / 71 + 16 -
* / + ^ 54 47 4 76 45,79 2 / 4 + 76 / 62 *
+ + 88 75 - * 26 87 39,88 75 / 26 31 * 57 - +
+ * 47 ^ 34 1 ^ 36 1,47 98 8 ^ * 36 1 ^ +
