Formula,Result
+-+++11/32*63147^84117*4852,1132631^/-47+841^+17-4852*+
-+1898-*68-/90^88211/17*1034,1898+6890882^/5-*171034*/--
-+/11^53298//*236190-^78194,11532^/98+2372*90/781^94-/-
-/+64^641^351^-42^21^821,64641^+351^+4221^-821^--
-+-+52620/+*62^29267^50235,526+47-62292^*67+402^/+35-
--+++7143*/724137/33^872145,7143+7241/37*+4872^/+14/5-
+---83*18936254/*--3582731270,831893*-62-54-3582-73-1*70/+
++---^632564497*6188*74-5879,632^56-44-97-6199*+745879-*+
++57++--7634595421/60+19*3767,87634^59-54+21++60193767*+/+
+++-+++^91/33842115889878,91^338/+42+11+58-66+98+30+
+++++++-6910-908491365708477,6910-9078*+49+13+65+70+84+77+
++-+^472/95^611/92847^112,472^95611^/+148/-47+112^+
-/*27-+/22^8293*68687/5165,272282^/93+686*^*87^5165/-
--*/*64724^732^+*291330157,6472*4/732^/9313*59+1^-57-
+79++/7158*62^332//8435^342,797158-623397^*+8435/342^/++
+-+-^461/60^2021617+-237689,461^60202^/-39+17-2376+89++
--69*//*4243911744*/4613+5770,694243*91/17/44*-4613^5770+*-
++/23860-++^211/50984/209,2378/60+211^509/+84+209/-+
+^771*7-/40^842*/8080/922,771^73842^/8080/922^*-*+
-+8841-+^802*1++6399/106582,8841+802^17899+1065/+*+82--
+----++29*3369945161^9116158,83369*+94+51-61-911^-61-58+
*59+++/28^162+81*10927*9386,5928162^/81104*++27+9386*+*
++-////75932155^61/9961224,5993/21/55/61^/9961/-2+24+
-++-/31^831*7697^98132/2980,31831^/7697*-981^+32+2980//
-++-56/4*752523++915+7144,694752^/-56+23+915+7144/+-
+-+7597*3676/91+-*2577^18133,7597+3676*-912577*181^-83+/+
**2918--66*/5277^+63711*124,2995*665277/6371+1^*-124*-*
-^581+-+-70/39^5722918/4558,581^7039572^/-29+18-4558/+-
+-+/29^5180**//375717417939,2951^/80+3757/17/41*79*-39+
++57//-+-1820605250^1644^412,571820-60^52-50/161^/+412^+
++*+^3721^981^692-^89161,372^1+981^*232^+891-61-+
+--**7194^842/**683834392780,7194*842^*6838*34*39/-27-80+
+--29^36182+-+^8929325*8010,29361^-82-892^93+25^8010*++
++^++^4613172/1144*4999*7647,461^31+72+1144/-4999*+5147*+
+-+/*2495^411*22^84170^312,2495*411^/35841^*+70-312^+
+-/**/75952195^4222**847014,753/74*95*422^/2-8470*14*+
--+-37/7690^+795085^161*8084,377690/-7950+1^+161^-4884*-
-+++//4058^232-805196+2915,4058/232^/8051*+96+291^+5-
/99+60*90-+-^302*26^9729438,996090302^26972^*+94+38-*//
-^972-++*542413*4420*10^852,972^5424/13+4420*+10852^*--
-/*/361539-+/7213^4151^332,3615/39^7213/41^+51-/332^-
+-/611/*432085-/87^271+262,611/4320*85/-87271^/782+-+
--+^25189/85^931*93-32+682,251-89+85931^/-9332682+-*-
*/1216-+*4690/7582//18+164874,1216/4690*7582/-181648++74/-*
++-^861//482290/811+7*5595,861^4822/90/-501^+75595*++
++++*65^262^62147/82^41244,65262^+621^+47+82412^/+44+
--/3^781^331*/7558*26^721,3781^/331^/7558/26721^+*+
-+--+*402155**1565^382554735,4021*55*1565*382^*-69-47+35-
-++^781^352*1118*65+57*2791,781^352^+1118*^65572791*+*-
-+-/5518^802//89/758369/3552,5518/802^-897511//69/+3552/-
-+-+/9419*1831^201/*59615165,9419/1831*+201^-5961*51++65-
-+++/578260+162^842//72937,5782/60+162^-842^+729/37/-
+-*13^412^-+3127362--654086,13412^*3127+36-2^-9740-2-+
--5441/++++-7650/74722579692,5441*7650-747/+22+57+96+2/-
*96----43274/--60/3244414628,964327-4-60544--41-46/-28-*
+++--^7021^292*8197^15254,702^1-292^-8166/+152^+54+
+*4638-+++-7336^8111*39536,4638*7336-81^+11+395*+36^+
/16/40+*++^12//993321362028,164112+9933/21/+36+20+28+/+
++--*1618**4178^792-95242416,8118*4178*792^*-9524--24+16+
-----13^24^531^881^3316922,1324531^*-881^-331^-69-37-
--+++^82294/1019/7010*103615,462^94+1019/+705/+1071*-15-
---+^9931^961*8922/6580*1295,991^961^+8922*-6580/-1295*-
+-+++95^14139*982281^51^111,95141^+47+9822*+81-51111^*+
-++^472/86^72*22^992/7676,802^8672^++22992^*+7676/-
+-+69/202310-6**//6537104761,692023/+10-68537/10/47*61*-/
+++//358362*73^90245-99^551,355/62/73902^*+45+99551^-+
--2777*/+*32+-35*77842163815,2777-3274778*-42+*16*38/15*-
+--^982^502*//65164383*2539,982^502^-6516/43/83+/2539*+
*/234/36+^652*87+**33423879,234/36652^223342*38*79+*+/*
*43++^3897/87^-^962/729165,43862^87962^629/-1^/+65+*
-^-+-3896*//78191735/806141,3834-7819/17/35*+806/-1^41-
++43/4652-+/43^83274//569787,434652/+43692^/74+5697/87/-+
--+-8424*36152*/4849/78^431,8453-361*^52-4849/78631^/*-
-++--+/28172/99^50219434317,281/72+99502^/-44-43+43^17-
+-^662/62^211/67//5085-8475,662^62211^/-675098/8475-//+
+++-+73^722^601/4134*754216,73722^+601^-4134/+7542*+13+
/+--+3/41431*2965/16^8186,3414/+31-2965*-1681^/+86-
+-+*955255****7364679^9123,9552*55+7364*67*9*912^*-3+
--+--8691/6921/5775+57^9619,8691-6921/-5775/+57961^/-9-
----21804085*^/96453-/557818,2180-40-85-964/53*5578/18-*-
-+-+-++6568^10395453730*319,6568+102^+95-45+37-12+319*-
-+9011+90/*67-^91**38482659,9011+9067591^3848*26+-*59/+-
+++^52*-18*653732^521^922,52^186537*-94*+521^+872^+
-++69^712^241-*1769/67^4896,69712^+241^+1769*674850^/--
++-696/81+-+39^972/39579383,696-8139972^+3957/-93+/+83+
-++5474*6562-33***/2718199461,5488+6562*-332718/19*94/61*--
--80^222**7325-*84^251*9616,80222^-8225*84251^*9616*-*-
+/-+^141647587-*4821-97/2299,141^64+75-87+4858*972262/--+
-++-+^1412771^932*6142/557,141^27+71-932^+6142*+557/-
+-++^9926491*44^*45981^212,992^64+91+444598*1^*-212^+
+^691/*/+6638093+67-^93242,691^663+80/93*67932^42-+/+
--+/***/26619568492358^395119,2661/95*68*49*23/58+481^-50-
+-+^51*6^102/*48+44545583,51^6102^*+484454+*55/-83+
-+*294*6926/58+*97^501*9994,2931*6926*+5897501^+9994*+/-
---+/-3572507826^222+-451581,3572/50/78+26-222^-4515-81+-
+--+^29188^311/3095**573945,291^88+311^-5695/-5739*45*/
+-^+**65487635/93^7675/913985,6548+76*35+93442^/-9139/-85+
+--+-^752/55^352*7967342057,752^92352^/-7967*+34-46-57+
-70+++++^872/6129672610/6636,70872^6129/+67+26+10-6136/+-
--+-+13^722*9067^/134589255,92722^+9067*-1345/89^+2-55-
-+++284759//528471+//29416857,2847+59+5284/71-+2941/68/57+-
+--**287465//56529/7878*9264,2874*65*565/29/-7878/-9264*+
+-++^241^791/4990^662/8333,241^791^+4990/+6670^-8333/+
--^66183-*/*88585-^4824235,661^83+8858*5/742^42-*35--
-54/37++-+^2022231^*5156252,5432202^22+31-5156*2^/52+/-
+---47/3826*26^971/49^44136,473826/-26971^*+49441^/-3+
--*872546*40+*27^461+^77232,8725*46-4027461^*772+32++--
++-+-/90961/9153//4970753615,529/61*9153/+4970/75/-36+15+
--+47^4213++//*678132512478,474227^+32-6781*32/51/24+78+-
-+*278221*89^+-+165^1424172,2782*21+89113+142^-41+2^*-
+-52/67--+49/71693692*57+4563,52349716/+36-92-/-574563+*+
+--*+89796040*5082+-961*9162,8979-60*40-5056*-961-9162*++
-+--/9974-^36113^651^3222,9974/361^13+-651^-322^+62-
++--++46/9355^351419024^811,469355/+351^+41-90-24+811^+
-++-47**/99518210/662^31160,479951/82/10*-662/+311^+60-
++30*1236*/1428+/14^902^702,301236*+1428/14902^/162^+*+
++-*/*/8296166911^452*90529,8296/16*69/11*922^-9038*+45+
+-++7468^532/**481837^58279,7468+532^+4818*37*582^/-79+
+**/*/*61+^91198229142867767,61911^98+*22/91*42/86*77*67+
++-^211//*14634413/3233*2892,211^1463*44/13/-3233^+2892*+
--+-43/65^1621558*/6767^352,4365162^/-15+58-6767/352^*-
-++/-807237^811*/731^79277,8072-37/811^+731/792^*+77+
++---+12^582/723^93114085,12582^+723/-401^-1-40+85+
-++++/2156879592^431/38^152,556/87+95+92+4564^+38152^/-
-+-+-67^991^122*4165^30141,67991^-122^+4165*-811^+41-
-*2657+-+62^182^492/22+1756,2657*62182^+492^-221556+++-
+66***77151/98-^912/51-1429,667715*1*98912^511429-+-/*+
/*72+---+71^831849/59406487,7271831^+84-9-5992/-64+*87/
+/*1097^662*43++83^982/4520,1097/662^/4383982^+4520/+*+
****90--^46144765^502+4151,90461^44-76-*5*502^*4151++
+-++-*5389^871^51/89234038,5389*871^-51^+8923/+40-38+
