Formula,Result
712.12585.47-463.34-50.87.67++*/,--*-50.8*-463.34/585.47712.12
-136.8251.03681.38-134.03+++/*,+-134.03+/+251.03751.49+-136.8
+-96.72-790.35-//^1,--790.35/96.72/-334.02908.9^-531.52
341.92-516.36/-156.18996.22478.26+-,/-516.36+478.26^996.22156.18-341.92
-874.93-617.49493.88//+^-990.45544.41,/493.88*-617.491^544.41+^
+-414.21467.87-262.95/-+-,-262.95--+467.87--414.21955.28
686.72-337.63-787.63-/670.16+^2,1^--787.632^+-686.72
769.22-465.71268.12857.33/+-^1,/857.33+//-465.711^769.22
-644.14604.76^+^2---679.11,61.35^+848.74*604.76^--644.14
131.8--846.45+/1+^2,1-+-846.452^--414.2131.8
-201.09-918.11-594.84981.16/*+/-,*-0.79++/-594.84--918.11+
-221.13180.34-568.08814.06-523.28-**-,--523.28*814.06/-568.08-180.34-221.13
-831.28/830.3870.06--^1*,-870.061^-/*-845.27-831.28
-216.61103.36596.33*-*-784.36+2,*596.33-103.362^-784.36*-216.61
-147.24214.42-*2*-889.83^1,2^-214.421^-889.83*-147.24
96.47-37.9552.37+^2+^1,-73.96^+552.371*+-37.996.47
*849.79943.0945.47-669.57**+*,*-669.57*45.47+943.09+849.79-397.88
-244.3266.78***-57.64929.88+544.7,*66.78+929.88-57.64*544.7*^
-149.2-689.25-429.2130.97917.1/-**,/917.1-30.97+-429.21*^-149.2
-300.7760.97+-^1756.49^1,+60.97-545.17^-366.51/756.49--300.77
649.78-719.53-768.82--^1^869.53,--768.821^--719.532+649.78
-331.42-970.55+--356.49-*--,--356.49*430.14--583.15*-970.55-331.42
-828.89972.75908.47-112.74447.49*-/*,*447.49-//^*972.75-828.89
-838.36-847.66^///863.98-758.77/,/-269.79+-847.66/-758.77863.98/-838.36
*-604.63325.88-531.47+***/,*-774.2*-531.47/325.88/-604.63997.45
-823.79301.85939.53-771.06+/-^2,+-771.06/939.53-404.62^-301.85-823.79
700.46-511.68210.81620.88-708.59//^*,/-708.59^620.88*210.81*-511.68+
955.82^*-894.26+-//-630.11,+-894.26--178.04/+-630.11-955.82
32.37--284.58-631.86635.31/**/,-635.31*-631.86+-284.58/422.4132.37
-90.22901.94^--+^2284.29,--692.33-901.942^284.29+-
**^1-134.68236.66+^2,1^2^^236.66-134.68+-393.66
-286.35705.68616.63541.02199.28++//,+199.28+541.02/616.63*705.68-286.35
877.39-424.27253.84+-159.71+**-,+-159.71*-168.76+253.84-/877.39
396.77129.26**-873.74636.49*^-178.35,*129.26*--178.35*/*396.77
+-734.58-651.04/746.26/+/+,/++^/-651.04+-734.58355.5
-123.25711.97245.97--^-881.75^1,^245.972^/711.971^-123.25
