Formula,Result
*--+46**+5319141*/1362049*/**8450+5362386,46531+80*67*+136/20*-49-8450*5362+*38/6*+
+-++/79297050///*/*8219*548861326189*/555536,7929/70+50+8219*5488*/98*32/61/89/-5555/36*+
+-++-34259931**++34++*144160/*567815919095,3473-99+3-98-341441*60+5678*15/++91+87*95*+
----+-6240/23-39157+44*+1717798///56384770,6240-23391-/+57*44171+77*+-98-1138/92/70/-
+/+++*9957++++-/3493681579718797/858498*2875,9957*3493/68-15+79+71+87++97-8584/+98/2875*+
-+++4521*185-/****6418693261686/32-9*2177,4521+185*+6418/69*32*61*6/86-+3291577*-/-
+++--++-75299986222**81887569/*5197+-543296,7529+9+98+62*22-8188*75*+69+5197/5432-96+/+
+-+//////4890904329238*9397*/*24703862/5438,4890/90/43/2/92/38/9397*+2470*38/62*-5438/+
+----+-85374198/502281//958648--224--828553,8537-41+98-5022/-81-4786/48/-224-8251-53--+
-++-++----/5366678516//32478993627274*3823,5366/67-85-16-3247/89/-93+62+34-74+38*+49-
++-+19*566++-*944/*-630476711*151932*1415,195659*+944*5830-34*67/-11+1519*+-32+1415*+
-++-*+335919/*2509--70*/24647581*/5038613,3359+19+250*9/-702464/75*-81-+5038/61*+3-
-+---+-818554//14303122/556096**/286481*9652,8185-54+1458/31/-92-5560/-96+2864/81*8952**-
+**367149+6+56/3+36+94*/*23559-/6811*5825,3686*49*65633694235*59/6811/5854*-*++/+++
-67*33+-+//*/8337843618**/12491614-2430*5412,40338337/84*11/18/1249/16*14*+2430/-5412*++-
++//51-/9022/6485///***7919454441072/9475,51/9022/6485/-/7919*45*44*4/10/11/+2489/+
+---*148/7433/14091*+*1492**966054+40/5731,148*7433*-140/-91-1892*9660*54*/405731/+*+
+-+-+84*9879***913127130*4347*-9318+/752437,849879*+913/12*34*-30+4347*-9318-7524*37+*+
++*27218*1/55++-2988//9739++45313//64539,2721*8+22552988-9739/453+13+/+645/39/+/*+
---++-+*629031*54866935-/*956060*7682*803480,6290*31+5486*-69-35+9560*60/7682*+-8034*-57-
--/5436///36507467++*6418*43--383465*/762379,5436/3626/74/67/-6418*713834-65+*/7623/79*+-
+49/*3543++++++++526985**163781*64753062927,493543*5297+85+1637*81*+7975*+84+62+92+7+/+
-69/41-27/45+/**7211+---547028+92745/3746,694127457294*1*5470-28-9242+-5+/3793/+/-/-
