Formula,Result
----729-671888*623-99,-729-325--789--39-99/-
---340/-308546-328-203,340-308546+--328--203+
+244//*768-7395452,244768-739*5/452/+
*-459/*-505-317+27736,-459-202312*27728+/*
-----321-262576401743,-321144+576--687--806+
-898+278/-692/-427498,898278-692-32498-/+-
-+--281-183-876-444-796,-281183-876//-444+448+
++--546/585577792894,-546585523/-792+894+
+-877/-+-977-954-227295,-877375167/-227-295/+
-261*964+*801-479-588,261964-160406*-588+*-
+911/*/195748-384681,911999748/-384/681/+
*//--91075-895434-679,-91075--895*-324*-679*
+569+-*-514-616-400746,569-514-616*-400-746++
--888/359-449/524-861,-888627449524-861+-/-
+*/-73-1486-465-252,-73-363/6*465-252-+
-**875-436-283/-110694,537-436/-143*672694/-
--278/-592-584/-449591,278-592-584//-449591/-
+**328414-432/317-820,328-348*-432*317785/+
-+++-260-336311398-906,-260-336+311+900*-906-
++590407*/-531-930301,590407/-531-930-910-+
+-+836-383-132+-219732,-227-383+356--219732*+
-*-98-702/*-653559805,-98-702*-828118*805/-
---+9212-215-348-508,921-180+-215--390--611-
+--479-843-607*-2835,479-843/-607--2835*+
+/-841*-489-860431-884,449900424/431*--884+
-248*/*-486672843423,248-486940*843+423*-
/493-+/791695-630701,493791695/-92+701+/
-/+/259-3958565-97,259-39/585*593*-97/
+++-724937*-334-647672,-724892+-581-647-+672+
*/379-404/*-689-32940,532-451/-998-329*254/*
+*81687//-88-336-223,81687*-88764/-223++
*+--19192999-976-822,-191631-999+-316-822-+
-/36768//48299839,36768/48299/75/-
+*/-255+-510-575-493398,-255-510-575+--348*398+
--+702-851-975+-762-336,702288+-975--762-336+-
*/261-370+/619-297-578,261370-369-297/-578+*
/18+761//509-94951,778983509-949/51*-/
-+-639+-833429--938-750,-639-833429++14-750/-
--436-133/*-862-1000330,436-133*-862-228*330/-
+367*-325+543*426-169,367-325543639-169*+*-
+/*/309635-381-188-584,635-651/-381*-188/-584+
-*+-899460*-35554179,-899460*-355541*--110-
-+-515-46+--865-161-958,-482-46*616-161--958+-
-126/**153-249-818579,421573-249*-818*-373/-
+----209-900690284-319,-209-900-690-284-1-
*-144*/*-347809-714100,-144-347-233*-173/100**
+-626*+-30878918-491,-62630878/918*-491*+
///555-225801*507431,-42-166/-761/507431//
/-345/697/*458-979-400,-345697458937*984/*/
/*/-921-652/60832-395,-921523/608989**-395/
****810-478537-19220,810-568*537*-19*220*
-398+/270*-586-512-965,398-685-586-512*+-965+-
++-106/709468*-618213,-106709468/+-618213*+
+/**185-436379-719422,185-436*379+-719/-429+
/*301-160/*-645928690,301-160*-645421*690/*
***-203-177-297*-8505,-203-177*-269*-8505**
+542+-+-391-958358-895,542-391162+358--335++
//591466-/453363119,591466/453413/-956-/
**/-1-697932/981699,-1-697/932/981699/*
-+251--501-682/880-317,251-501-682-+880-317/-
--142299*/-688-438586,142-813-240121+586*-
++--7913238*993752,-791305-8+993752*-
+++70/-512-127-411-460,393-512-127/+-411+-460+
-//-824687-576*-1865,-824-269/-576/-1842/-
+232-*/-177-916-144911,232-177704/160*911-+
+-626/*/234799-929-474,-626-665799/-929+-474/*
++/715-165-287*-287-102,715-165/-287+-287-104*+
--18-**972-207-895-213,-18972-66*-895*-213--
-263*/893949+674800,263893949+674-23**-
+/*888-710-937*-690-439,888-710*-937/-690-439/+
*//--80461-136130368,-80339/-567/-975/368*
--988932/*-369-370-823,988-448--369-370/-823*-
-+96-638*/-652-70669,96-638+-652-706/69*-
-*//-95759-93166851,-957264/-931/66*851+
/-990+320/129*974-788,-990320129974-627*/++
-+/-615-381-675*-538465,-615-381/-675*384465*-
**-686917+--232-286-620,-686917*-448-286--620+-
-+*/-219-635290-825-65,-219-635/290+-825/-65+
+//*-933680102407-949,-933-51-102/407--949+
*++*-20502-282589294,-20502*-282+589*-738+
+*/552464-186/469-648,421318+-186*469-648/+
*//*637636-925776318,637930*-925/776*318*
++625+-111624*-104-242,625-723624++-104-242*/
*++915-299*452282-726,915159/452282*+-726+
+---554*-56885900100,-554643244*-403-100+
+-841**/862-673-832538,-92862-673/-877*538-+
*/*/-191-342-829-189-255,-191-342/62*-999/-255/
*/360/*-300185789-167,360-300185*789++-167+
++64344/*863913-512,64344+-997913*-181/+
++--77667-752*268-133,46067*-752+268819*+
+/730715*928-292-908,290715/928292801-*+
+---9390556/-216909,194-26-56--216909/+
-+285/*-414-273-847617,285-414-273*-847/+245-
/-273-458/-370+925-671,-273438-212161-671+/-/
+-+909/-648743643486,909-648743*+-680-486+
+522*/-759-478+-3728,-331-759661*-3728+*+
++-672*/540-84-315635,-813908-84/-315*+635+
