Formula,Result
-97.41 20.37 -51.86 - * / -23.86 59.92 *,- -51.86 * 20.37 * 59.92 -23.86 / -97.41
-65.97 -8.39 -84.53 - * - -70.24 -55.52 -,- -84.53 * -8.39 - -55.52 -70.24 - -65.97
-29.22 -7.61 46.05 -97.34 + / - - 21.65,+ -97.34 / 46.05 - -7.61 21.65 - -29.22
43.78 94.92 90.38 69.17 -81.96 / / / /,/ -81.96 / 69.17 / 90.38 / 94.92 43.78
-82.16 -48.49 - + -80.97 -50.27 -89.72 - /,- -48.49 - -89.72 / -50.27 -80.97 + -82.16
-79.75 53.09 20.03 -49.14 81.52 - - + +,- 81.52 - -49.14 + 20.03 + 53.09 -79.75
-18.98 -82.85 70.7 -87.67 -78.78 - / / /,- -78.78 / -87.67 / 70.7 / -82.85 -18.98
-66.26 -61.22 95.59 65.23 28.12 / / + -,/ 28.12 / 65.23 + 95.59 - -61.22 -66.26
51.3 -73.61 3.67 -28.05 43.66 * + / *,* 43.66 + -28.05 / 3.67 * -73.61 51.3
-74.94 22.34 47.41 - + - -90.49 91.84 -,- 47.41 - 91.84 -90.49 - + 22.34 -74.94
76.72 45.16 -55.59 -29.94 35.41 * + * -,* 35.41 + -29.94 * -55.59 - 45.16 76.72
-71.68 -2.61 84.67 * / * -51.22 29.17 /,* 84.67 / -2.61 / 29.17 -51.22 * -71.68
-7.32 -20.42 -10.05 - / * 20.77 -79.79 /,- -10.05 / -20.42 / -79.79 20.77 * -7.32
83.98 37.12 + * 61.42 38.0 - * -38.88,- 38.0 61.42 * + 37.12 -38.88 * 83.98
85.49 20.88 / - 65.72 57.66 58.94 + -,/ 20.88 + 58.94 - 57.66 65.72 - 85.49
19.94 21.84 -99.03 / + + 82.09 / 43.74,/ -99.03 + 21.84 43.74 / 82.09 + 19.94
60.67 28.32 28.64 82.04 -71.82 / - / /,/ -71.82 - 82.04 / 28.64 / 28.32 60.67
78.2 25.0 -30.64 / * * 75.46 -96.08 -,/ -30.64 * 25.0 - -96.08 75.46 * 78.2
66.81 -66.27 48.09 * / - 2.34 49.63 /,* 48.09 / -66.27 / 49.63 2.34 - 66.81
26.9 -21.54 -94.66 * + / 75.89 72.24 -,* -94.66 + -21.54 - 72.24 75.89 / 26.9
-83.57 75.14 + - -62.61 - 23.29 31.29 *,+ 75.14 * 31.29 23.29 - -62.61 - -83.57
-3.31 -46.97 36.02 57.99 -21.71 / * * /,/ -21.71 * 57.99 * 36.02 / -46.97 -3.31
-14.1 97.1 -76.26 46.69 95.75 / / + -,/ 95.75 / 46.69 + -76.26 - 97.1 -14.1
90.23 30.66 -41.35 -64.73 4.42 + * - *,+ 4.42 * -64.73 - -41.35 * 30.66 90.23
-21.78 - -1.46 24.75 / + 31.21 -41.45 /,/ 24.75 / -41.45 31.21 + -1.46 - -21.78
70.79 7.12 -32.39 48.07 45.05 + - * -,+ 45.05 - 48.07 * -32.39 - 7.12 70.79
