Original,Perturbed,Is_Equivalent
270.0 / 791.32 * 483.49 - -100.1 - -930.55 * 327.31 - -336.2 / 519.96 / -121.77 - -119.91 - -441.93 - -758.83 / -586.17 - -525.29 + 122.42,270.0 / 791.32 * 483.49 - -100.1 - -930.55 * 327.31 - -336.2 / 519.96 / -121.77 - -119.91 - -441.93 - -758.83 / -586.17 - -525.29 + 122.42,True
-994.03 * -980.06 / - / 132.48 / 693.17 - 14.47 + -467.76 / -427.2 - -633.78 * 523.45 * 208.88 / 267.08 - 393.52 * -740.1 + -782.69,-994.03 * -980.06 / - / 132.48 / 693.17 - 14.47 + -467.76 / -427.2 - -633.78 * 523.45 * 208.88 / 267.08 - 393.52 * -740.1 + -782.69,False
968.58 + 106.13 - -495.87 + 304.76 + 856.43 / 132.27 + -487.46 - -612.07 + -500.63 / -549.81 * -638.43 - -27.45 - -7.78 + * + 791.55,968.58 + 106.13 - -495.87 + 304.76 + 856.43 / 132.27 + -487.46 - -612.07 + -500.63 / -549.81 * -638.43 - -27.45 - -7.78 + * + 791.55,False
-912.09 * -151.66 / -365.28 - 352.65 * -182.2 + 929.76 * 312.39 + 573.13 / 772.81 / -460.08 / 794.07 + 107.02 + -568.76 * -120.52 - 947.95,-912.09 * -151.66 / -365.28 - 352.65 * -182.2 + 929.76 * 312.39 + 573.13 / 772.81 / -460.08 / 794.07 + 107.02 + -568.76 * -120.52 - 947.95,True
616.52 + 268.17 * 30.34 - -701.72 / 682.79 + -537.9 + 250.73 * 626.25 + 540.58 - 354.39 / 945.2 * 688.1 - -746.18 - 875.68 - 5.8,616.52 + 268.17 * 30.34 - -701.72 / 682.79 + -537.9 + 250.73 * 626.25 + 540.58 - 354.39 / 945.2 * 688.1 - -746.18 - 875.68 - 5.8,False
901.0 - -256.95 + -970.64 * 645.15 - -606.08 * 94.09 - -355.29 * -518.08 + 545.57 * 844.98 * 666.61 * -396.22 + -665.99 + -379.95 + 833.56,901.0 - -256.95 + -970.64 * 645.15 - -606.08 * 94.09 - -355.29 * -518.08 + 545.57 * 844.98 * 666.61 * -396.22 + -665.99 + -379.95 + 833.56,False
48.45 + 457.28 - -348.68 + 963.71 - -438.18 / -747.11 / 867.79 * -639.48 / 84.4 / 45.05 - 737.41 - -664.05 / -446.74 * -409.6 - -376.83,48.45 + 457.28 - -348.68 + 963.71 - -438.18 / -747.11 / 867.79 * -639.48 / 84.4 / 45.05 - 737.41 - -664.05 / -446.74 * -409.6 - -376.83,True
482.97 / -994.33 * -115.0 + 721.2 + -624.14 - 481.86 / -873.41 * 522.35 / -285.72 / 388.94 / 986.32 / 613.21 / -746.81 / 388.76 + -102.71,482.97 / -994.33 * -115.0 + 721.2 + -624.14 - 481.86 / -873.41 * 522.35 / -285.72 / 388.94 / 986.32 / 613.21 / -746.81 / 388.76 + -102.71,True
-391.07 - 702.06 * 156.75 / 999.05 + / / 838.51 + 623.36 * -589.62 - -410.09 / 79.08 * 839.86 - -215.47 / 120.36 * -894.29 * +,-391.07 - 702.06 * 156.75 / 999.05 + / / 838.51 + 623.36 * -589.62 - -410.09 / 79.08 * 839.86 - -215.47 / 120.36 * -894.29 * +,False
-225.37 / 946.99 / 615.58 * -747.08 / -828.72 - 982.55 / 173.83 / -149.22 - 908.82 / -153.57 * 168.12 - + * 472.37 - 872.06 - 481.2,-225.37 / 946.99 / 615.58 * -747.08 / -828.72 - 982.55 / 173.83 / -149.22 - 908.82 / -153.57 * 168.12 - + * 472.37 - 872.06 - 481.2,False
-921.1 + -915.36 * 70.61 / -892.74 / -694.4 * 284.88 + -442.47 * 842.11 - -973.18 / -261.59 - 730.21 / -549.54 * - + 656.49 - 737.41,-921.1 + -915.36 * 70.61 / -892.74 / -694.4 * 284.88 + -442.47 * 842.11 - -973.18 / -261.59 - 730.21 / -549.54 * - + 656.49 - 737.41,True
-938.48 / 84.98 - 162.81 - -655.09 - -248.34 * -946.39 + 102.38 * -579.33 / 361.17 / 364.79 * -186.51 + 918.75 + -169.49 + -991.16 * 324.25,-938.48 / 84.98 - 162.81 - -655.09 - -248.34 * -946.39 + 102.38 * -579.33 / 361.17 / 364.79 * -186.51 + 918.75 + -169.49 + -991.16 * 324.25,True
266.04 - 942.78 / 846.22 - 974.6 / -649.39 * 695.04 + 959.7 / 448.41 - 332.55 + -126.42 - 401.3 / - - 773.02 + 724.99 * 728.1,266.04 - 942.78 / 846.22 - 974.6 / -649.39 * 695.04 + 959.7 / 448.41 - 332.55 + -126.42 - 401.3 / - - 773.02 + 724.99 * 728.1,False
-159.26 - 115.28 + -990.85 * 270.79 / -13.4 - 308.83 * -542.27 * 907.99 * 584.87 / 544.36 * -309.97 - -642.27 + -108.69 + 69.93 - 906.51,-159.26 - 115.28 + -990.85 * 270.79 / -13.4 - 308.83 * -542.27 * 907.99 * 584.87 / 544.36 * -309.97 - -642.27 + -108.69 + 69.93 - 906.51,True
903.96 / -629.38 + 411.01 + -199.24 + -315.37 - 975.13 * -554.41 / -234.85 + -900.41 - 949.76 + -630.99 / -75.89 + -146.51 + -802.17 / 327.47,903.96 / -629.38 + 411.01 + -199.24 + -315.37 - 975.13 * -554.41 / -234.85 + -900.41 - 949.76 + -630.99 / -75.89 + -146.51 + -802.17 / 327.47,False
