Original,Perturbed,Is_Equivalent
62/31/93*40+90,62/31/93*40+90,True
11-67*7+46/61,11-67*7+46/61,True
-5*45-16+-77/99,-5*45-16+-77/99,True
-48+-93-6/-100/-75,-48+-93-6/-100/-75,True
23*27*-100/-51/-31,23*27*-100/-51/-31,False
-75/43--72/-28--23,-75/43--72/-28--23,True
-81+-35/72--1-39,-81+-35/72--1-39,True
11*-18--83+34-23,11*-18--83+34-23,False
92/28/77+-73/-14,92/28/77+-73/-14,False
-88/71+1-39/87,-88/71+1-39/87,True
1-25+65*87/-17,1-25+65*87/-17,True
-78--65/53/-32/93,-78--65/53/-32/93,True
-75-11+-75+74/84,-75-11+-75+74/84,False
-100*83/52+-54*15,-100*83/52+-54*15,False
-26+-85/45+-24/62,-26+-85/45+-24/62,False
-22*-35*55/39--28,-22*-35*55/39--28,True
-18/-85+0*27+-95,-18/-85+0*27+-95,True
55+14*24--96*9,55+14*24--96*9,False
54/-62/7*-57-40,54/-62/7*-57-40,True
-54*58/29*35*-14,-54*58/29*35*-14,False
44+34/-98+25-8,44+34/-98+25-8,True
74*35+-74/88-34,74*35+-74/88-34,True
-24/-84*95*-94+-83,-24/-84*95*-94+-83,True
-42-70/-78/97/-80,-42-70/-78/97/-80,False
-32*45-26--6/-41,-32*45-26--6/-41,True
-57+-89-73/-65--47,-57+-89-73/-65--47,False
7*-77/-97*-61*91,7*-77/-97*-61*91,False
-37/-87-62*-85/-73,-37/-87-62*-85/-73,False
20--64/-5+-2+11,20--64/-5+-2+11,True
22/51--84/51+-91,22/51--84/51+-91,True
-59+95--92/-95*-18,-59+95--92/-95*-18,True
79/-37+97+-96-63,79/-37+97+-96-63,True
43+77+84/-70-59,43+77+84/-70-59,True
77+-92*-93+47/39,77+-92*-93+47/39,True
-91+23--99+-84/-65,-91+23--99+-84/-65,False
-53*48/16*38+88,-53*48/16*38+88,True
99+-99--49*-68/49,99+-99--49*-68/49,True
-96/-81/89*-92/30,-96/-81/89*-92/30,True
55*33*-12+77+11,55*33*-12+77+11,True
-56/20--87+-22+-67,-56/20--87+-22+-67,True
38--63+39*57/-22,38--63+39*57/-22,True
43--18--63*-14/-31,43--18--63*-14/-31,True
4/79+77/71-88,4/79+77/71-88,False
72/-96-71*-14*54,72/-96-71*-14*54,False
58+25+72*-67--11,58+25+72*-67--11,False
66*14/60*-93-96,66*14/60*-93-96,True
16--97--69*-13-25,16--97--69*-13-25,False
-48*-68+36-48-25,-48*-68+36-48-25,True
-23/27+21*37--77,-23/27+21*37--77,False
-11+94-7*0--62,-11+94-7*0--62,True
23+64*-8*7+-15,23+64*-8*7+-15,False
-8+40+57/6/-53,-8+40+57/6/-53,False
20*-15/-64*-84+26,20*-15/-64*-84+26,False
87+-6+-12-94+-53,87+-6+-12-94+-53,True
-93/60+-18/67-0,-93/60+-18/67-0,True
77+-99*-97/-68-84,77+-99*-97/-68-84,True
-41/82+-36/18/43,-41/82+-36/18/43,False
-67+-31+-38/80/-5,-67+-31+-38/80/-5,True
46-21+69--4-40,46-21+69--4-40,False
51+-54+84--9+63,51+-54+84--9+63,True
8-28-69+35+-11,8-28-69+35+-11,False
96*-3-7+40+81,96*-3-7+40+81,False
-52/40--65+-32+13,-52/40--65+-32+13,True
-72*33/69-27--88,-72*33/69-27--88,True
71*-100--66--27*-95,71*-100--66--27*-95,False
98-54-54*7+64,98-54-54*7+64,True
-41+96+-95/-84*-52,-41+96+-95/-84*-52,True
35--88--81+30+-100,35--88--81+30+-100,False
-54+-10+-82+82*61,-54+-10+-82+82*61,True
41/97*7*-41+96,41/97*7*-41+96,True
33+-82*82*-1+-6,33+-82*82*-1+-6,False
11*19/53+-48/85,11*19/53+-48/85,False
-91+4+1/35*-42,-91+4+1/35*-42,True
-55/79--95/40/-49,-55/79--95/40/-49,False
80/-91--72/-55/73,80/-91--72/-55/73,False
20+23/93--46--92,20+23/93--46--92,False
-26+-82/35+84/-29,-26+-82/35+84/-29,True
1+64/51*-76+-24,1+64/51*-76+-24,True
-3/-87+48/-15/-96,-3/-87+48/-15/-96,True
-71*18*-15/15-43,-71*18*-15/15-43,True
-27/-79*84-0*-98,-27/-79*84-0*-98,False
57*-68+-82--74*74,57*-68+-82--74*74,True
46/-19-60*-5-78,46/-19-60*-5-78,True
-90*-24/-35-38*65,-90*-24/-35-38*65,True
-81/-14+-11+39/-79,-81/-14+-11+39/-79,True
-85-99*-48+-4-28,-85-99*-48+-4-28,False
-98--54-46-49--10,-98--54-46-49--10,False
-11+-82+0+65--19,-11+-82+0+65--19,True
-41-98+-66-88+-36,-41-98+-66-88+-36,True
-48+62--74*-17/97,-48+62--74*-17/97,True
-13/46--49*-38-12,-13/46--49*-38-12,True
53-19/-51*81/-48,53-19/-51*81/-48,True
57--11+99/-25*-77,57--11+99/-25*-77,False
12/-76+-90*-79+6,12/-76+-90*-79+6,True
-4--15/61+-47*60,-4--15/61+-47*60,True
-8/-99-61-67--84,-8/-99-61-67--84,False
72+-32+-88-15--19,72+-32+-88-15--19,True
-65*-54*69/54--79,-65*-54*69/54--79,False
-19--25-60--54/85,-19--25-60--54/85,False
-11/-6-45*-45*-70,-11/-6-45*-45*-70,False
