Original,Perturbed,Is_Equivalent
23-87/-18--85*-52+48-92*55*62--58/-47*85--91*-58/95,23-87/-18--85*-52+48-92*55*62--58/-47*85--91*-58/95,False
73/61+-16/-55+42/-68*63*76*84--95+98/-71+37/-95/-31,73/61+-16/-55+42/-68*63*76*84--95+98/-71+37/-95/-31,False
63*82*-27+88/-60*-51/-70/-80*-2/-48-0/94/-26--18*-73,63*82*-27+88/-60*-51/-70/-80*-2/-48-0/94/-26--18*-73,True
72-42+-94+69*80/71+-84/-78*-23-73/-63-21/-79/-54-87,72-42+-94+69*80/71+-84/-78*-23-73/-63-21/-79/-54-87,False
89+24*49+56/-49*-98--70/49+92+71+75-15*7+-32*-30,89+24*49+56/-49*-98--70/49+92+71+75-15*7+-32*-30,False
0+92*-45/-90/-60--95-20*-56/-74*90*40*-88/-95--57/75,0+92*-45/-90/-60--95-20*-56/-74*90*40*-88/-95--57/75,False
14-73*-16--33*44+64-79/96/61*-17+-44+13+4*67+21,14-73*-16--33*44+64-79/96/61*-17+-44+13+4*67+21,False
57--75/-1/32*-2+-1--46*75/-27+34*-38+-62/57*-47+-80,57--75/-1/32*-2+-1--46*75/-27+34*-38+-62/57*-47+-80,True
72*56+-63*-44+-89+28--98*-15*72-20/-88-74-79+73+-37,72*56+-63*-44+-89+28--98*-15*72-20/-88-74-79+73+-37,True
-5*-4*45+-45/74/84*-13/14+-73+47--27/-38/-15--33*33,-5*-4*45+-45/74/84*-13/14+-73+47--27/-38/-15--33*33,True
-45+24+96+32-86--14*39*38/93/51/-53--32/-24--84--54,-45+24+96+32-86--14*39*38/93/51/-53--32/-24--84--54,False
-9+18--30+-43+28*-76-75+-95/82*-34+-85/-49+41+-57+81,-9+18--30+-43+28*-76-75+-95/82*-34+-85/-49+41+-57+81,True
-30--79+-68+-12-90/-85/-33-75*-88--16*54+40--10+29--24,-30--79+-68+-12-90/-85/-33-75*-88--16*54+40--10+29--24,True
-89/5*-36-95--73*36/31*86+-54+49+-48+17--21+-27+9,-89/5*-36-95--73*36/31*86+-54+49+-48+17--21+-27+9,True
-26+-91-84/7+36+97+-39*-8+31*92--93/-14+-74*-57*88,-26+-91-84/7+36+97+-39*-8+31*92--93/-14+-74*-57*88,True
8/49+56*-68-75*34+-87*90+64/37/80/58/11*38*-66,8/49+56*-68-75*34+-87*90+64/37/80/58/11*38*-66,True
-4/-31-15+-26+-78+-2-95-91-28+89/40/58*34*-46*39,-4/-31-15+-26+-78+-2-95-91-28+89/40/58*34*-46*39,True
-16*4--51*-83/34*-59*66/68+98+21*-35+-75/37+-88--73,-16*4--51*-83/34*-59*66/68+98+21*-35+-75/37+-88--73,True
97-25-54+14-61*63/-39+-21-12/51+-34-82*-79/71-5,97-25-54+14-61*63/-39+-21-12/51+-34-82*-79/71-5,False
-98--60*61+15+-96*61*4*74*53*83/12*-17--15/-7+-94,-98--60*61+15+-96*61*4*74*53*83/12*-17--15/-7+-94,False
-10+43*1*55+-64/-100*81/73-2-47*10+-17*50--67--98,-10+43*1*55+-64/-100*81/73-2-47*10+-17*50--67--98,True
42+33--44--45-53+-85*10/-8--60/13/-69/-90+47/40/39,42+33--44--45-53+-85*10/-8--60/13/-69/-90+47/40/39,True
-62*-65+51/30*86+-1*-10-89-5/-23/-74--73-55-4*-45,-62*-65+51/30*86+-1*-10-89-5/-23/-74--73-55-4*-45,True
-21+19/-56*92*-77+68*-83-77+63*42/-54+-6+37*42--40,-21+19/-56*92*-77+68*-83-77+63*42/-54+-6+37*42--40,True
-53/-43--96*-46-20*59-93*72*67+-72*43+-25*20+-4*2,-53/-43--96*-46-20*59-93*72*67+-72*43+-25*20+-4*2,False
-57*78/81*-77/51*8*-26--12+-20/-70--44+-93*-2--53/-75,-57*78/81*-77/51*8*-26--12+-20/-70--44+-93*-2--53/-75,True
32*97/94*48*8/99+54*17/78*-4+57-33*-41/21+-12,32*97/94*48*8/99+54*17/78*-4+57-33*-41/21+-12,True
-34/-93-44/-45*-82-13*0--10-15/10*0--69+38+-76+-30,-34/-93-44/-45*-82-13*0--10-15/10*0--69+38+-76+-30,True
74--46-18+7+-52--18/-90+91+-43*-63--41*-75-53-2--95,74--46-18+7+-52--18/-90+91+-43*-63--41*-75-53-2--95,False
-16--63+86/30-5/-15/-85*-25-86--99/-48/38-3*-83*63,-16--63+86/30-5/-15/-85*-25-86--99/-48/38-3*-83*63,True
-66*12--33/87+4-67/62/-39--4*-31*-19--24*36--26*-82,-66*12--33/87+4-67/62/-39--4*-31*-19--24*36--26*-82,False
-82--53-39--52+4-14+51*43+-43-42--45+-67*46*18+-52,-82--53-39--52+4-14+51*43+-43-42--45+-67*46*18+-52,True
58--83/-70--28+-65/2+-50-83--64+73+6*49*-72/59*15,58--83/-70--28+-65/2+-50-83--64+73+6*49*-72/59*15,True
34+2--9/13*-5*-34-48/-30/54+-16/33*37/6-40-98,34+2--9/13*-5*-34-48/-30/54+-16/33*37/6-40-98,True
28*90--4/84*18--16+57/98--33--74/99--71*71/-93-94,28*90--4/84*18--16+57/98--33--74/99--71*71/-93-94,True
34/-44*57+-94+86+-75+-99--66/-58*-29/-42/-92*-18+4-90,34/-44*57+-94+86+-75+-99--66/-58*-29/-42/-92*-18+4-90,True
