Original,Perturbed,Is_Equivalent
* - 4.79 / 4.02 + 5.69 + -,* - 4.79 / 4.02 + 5.69 + -,False
9.67 ^ 1 - 2.97 / 7.84 / 5.67,9.67 ^ 1 - 2.97 / 7.84 / 5.67,True
* - 0.64 * 4.62 - 4.39 + 4.94,* - 0.64 * 4.62 - 4.39 + 4.94,True
( 5.7 + 1.09 + + / ( ^ + * ) ),( 5.7 + 1.09 + + / ( ^ + * ) ),False
1.56 - 7.42 - 9.43 - ( 4.65 - 5.99 ),1.56 - 7.42 - 9.43 - ( 4.65 - 5.99 ),True
8.53 - 7.95 + 4.72 - 1 + 5.69,8.53 - 7.95 + 4.72 - 1 + 5.69,False
4.71 / ^ * ( 5.55 * 3.57 - 4.29 ),4.71 / ^ * ( 5.55 * 3.57 - 4.29 ),False
^ + 7.17 / 2.54 ^ 1 - 1.94,^ + 7.17 / 2.54 ^ 1 - 1.94,True
1.4 + 5.61 ^ 8.0 / ( 2.41 / 6.53 ),1.4 + 5.61 ^ 8.0 / ( 2.41 / 6.53 ),True
4.67 ^ 2 + 6.3 * 2.09 + 1.98,4.67 ^ 2 + 6.3 * 2.09 + 1.98,False
3.42 / 1.4 * 7.82 / ( + / ( 7.02 ) ),3.42 / 1.4 * 7.82 / ( + / ( 7.02 ) ),False
- + 2.33 - - + 4.43 * 0.65,- + 2.33 - - + 4.43 * 0.65,False
6.77 ^ 2 + 5.23 - 1.87 ^ 2,6.77 ^ 2 + 5.23 - 1.87 ^ 2,True
6.5 * * - 3.9 - 7.38 + *,6.5 * * - 3.9 - 7.38 + *,False
2.73 * 1.29 * ( 4.2 * 9.57 + 7.45 ),2.73 * 1.29 * ( 4.2 * 9.57 + 7.45 ),True
2.58 * 2.62 * * / 9.25 * 1.38,2.58 * 2.62 * * / 9.25 * 1.38,True
4.62 - 0.98 / 0.97 + 7.89 ^ 2,4.62 - 0.98 / 0.97 + 7.89 ^ 2,True
0.83 ^ 8.5 + 8.92 + 2.8 / 0.73,0.83 ^ 8.5 + 8.92 + 2.8 / 0.73,True
0.41 - - + ( ^ + 1.23 / 5.81 ),0.41 - - + ( ^ + 1.23 / 5.81 ),True
7.51 / 6.17 + 2.23 ^ 9.21 / -,7.51 / 6.17 + 2.23 ^ 9.21 / -,False
( * ^ 1 + ( 1.54 + 2.94 / * ) ),( * ^ 1 + ( 1.54 + 2.94 / * ) ),False
2.93 + 2.32 + - + ^ + ( 1.12 ),2.93 + 2.32 + - + ^ + ( 1.12 ),False
3.01 * ( 6.68 ^ 2 - 3.49 - 9.49 ),3.01 * ( 6.68 ^ 2 - 3.49 - 9.49 ),True
9.36 ^ 1 - 4.23 ^ 1 + 10.0,9.36 ^ 1 - 4.23 ^ 1 + 10.0,True
- * ( 6.68 ^ 3.52 + 3.81 * 2.56 ),- * ( 6.68 ^ 3.52 + 3.81 * 2.56 ),True
6.31 - 8.65 * * ^ 2 + 0.81,6.31 - 8.65 * * ^ 2 + 0.81,True
( 6.41 + 5.42 / 3.5 + 9.47 ^ 2 ),( 6.41 + 5.42 / 3.5 + 9.47 ^ 2 ),False
2.09 / 8.52 - 7.03 * ( 6.51 - 0.19 ),2.09 / 8.52 - 7.03 * ( 6.51 - 0.19 ),True
1.74 ^ 2 + 9.28 - 3.74 ^ 0.03,1.74 ^ 2 + 9.28 - 3.74 ^ 0.03,False
9.52 * 7.15 + * ^ 2 ^ ( 0.09 ),9.52 * 7.15 + * ^ 2 ^ ( 0.09 ),False
- ^ 2 + 6.61 + 8.69 ^ 2,- ^ 2 + 6.61 + 8.69 ^ 2,False
0.26 + 7.8 - 7.55 ^ - ^ 1,0.26 + 7.8 - 7.55 ^ - ^ 1,True
7.62 + 6.49 * 9.56 * 8.55 ^ 1,7.62 + 6.49 * 9.56 * 8.55 ^ 1,True
7.54 ^ 2 - 6.15 + 2 / 4.34,7.54 ^ 2 - 6.15 + 2 / 4.34,True
( 2.46 ^ 2 - 5.23 + 1.34 ^ 2 ),( 2.46 ^ 2 - 5.23 + 1.34 ^ 2 ),True
5.11 - 3.34 / 5.12 ^ 2 - 6.98,5.11 - 3.34 / 5.12 ^ 2 - 6.98,True
9.54 ^ 2 + 5.1 + ( 8.44 * 6.07 ),9.54 ^ 2 + 5.1 + ( 8.44 * 6.07 ),False
( 4.81 ^ 1 + 4.1 - 8.72 - ( 8.25 ) ),( 4.81 ^ 1 + 4.1 - 8.72 - ( 8.25 ) ),True
9.99 - 9.62 * 5.43 + 9.88 / 5.88,9.99 - 9.62 * 5.43 + 9.88 / 5.88,False
/ - ( 8.92 + 5.68 / 6.59 / 6.63 ),/ - ( 8.92 + 5.68 / 6.59 / 6.63 ),False
/ / ( 7.4 + 9.62 / ( 2.62 + 6.73 ) ),/ / ( 7.4 + 9.62 / ( 2.62 + 6.73 ) ),False
- ^ 2 + 7.38 + 3.34 + -,- ^ 2 + 7.38 + 3.34 + -,False
0.7 * + + ( 4.7 - 3.85 ^ 2 ),0.7 * + + ( 4.7 - 3.85 ^ 2 ),False
* + ( 7.5 / 9.63 - 6.27 + * ),* + ( 7.5 / 9.63 - 6.27 + * ),False
6.27 / 6.6 / ( 3.51 ^ 3.36 ) * 0.02,6.27 / 6.6 / ( 3.51 ^ 3.36 ) * 0.02,True
- / 8.23 ^ 1 + 5.87 + -,- / 8.23 ^ 1 + 5.87 + -,True
5.25 - 6.88 / * * 0.17 * 1.13,5.25 - 6.88 / * * 0.17 * 1.13,False
8.35 + + * 6.5 ^ 1 - 1.71,8.35 + + * 6.5 ^ 1 - 1.71,True
6.99 * 3.86 / 1.34 * ( 8.96 + 1.81 ),6.99 * 3.86 / 1.34 * ( 8.96 + 1.81 ),True
( 0.42 / 3.16 ) + 9.7 + * - 1,( 0.42 / 3.16 ) + 9.7 + * - 1,False
8.12 * ( 2.38 * 5.01 - 2 + + ),8.12 * ( 2.38 * 5.01 - 2 + + ),False
4.36 / 7.65 / 3.35 - 4.2 - 6.72,4.36 / 7.65 / 3.35 - 4.2 - 6.72,False
9.51 - * ^ 2 - ^ / ( 3.22 ),9.51 - * ^ 2 - ^ / ( 3.22 ),False
4.53 + 6.82 * ( 7.25 / - ^ 1 ),4.53 + 6.82 * ( 7.25 / - ^ 1 ),True
( 4.36 * 0.21 * * ) * * + 8.2,( 4.36 * 0.21 * * ) * * + 8.2,False
7.51 ^ 2.23 * 2.09 ^ 2 - 2.92,7.51 ^ 2.23 * 2.09 ^ 2 - 2.92,True
* ^ 2 - 4.01 * 8.21 * 9.99,* ^ 2 - 4.01 * 8.21 * 9.99,False
9.82 + 8.08 / 3.48 + 4.57 / 5.9,9.82 + 8.08 / 3.48 + 4.57 / 5.9,False
4.92 / 1 - 2.69 ^ 1 ^ *,4.92 / 1 - 2.69 ^ 1 ^ *,False
6.74 ^ 2 ^ 1.32 / ( 4.49 * ( 10.0 ) ),6.74 ^ 2 ^ 1.32 / ( 4.49 * ( 10.0 ) ),True
8.77 ^ 2 - 6.44 - 0.79 ^ 1.08,8.77 ^ 2 - 6.44 - 0.79 ^ 1.08,True
7.16 + 0.7 * 7.62 * 6.66 - 9.8,7.16 + 0.7 * 7.62 * 6.66 - 9.8,False
8.46 - 8.33 - 4.76 / 8.48 - 3.66,8.46 - 8.33 - 4.76 / 8.48 - 3.66,False
2.0 ^ 0.31 + 8.73 ^ 2 + 8.09,2.0 ^ 0.31 + 8.73 ^ 2 + 8.09,False
3.87 + 3.73 + ( 7.72 - 9.73 + 6.49 ),3.87 + 3.73 + ( 7.72 - 9.73 + 6.49 ),True
6.23 - 5.58 - ( 7.24 - 0.48 * 6.55 ),6.23 - 5.58 - ( 7.24 - 0.48 * 6.55 ),True
6.43 ^ + / 1.04 ^ 2 + 0.1,6.43 ^ + / 1.04 ^ 2 + 0.1,False
3.44 + ( 7.02 * 2.78 - 4.82 / * ),3.44 + ( 7.02 * 2.78 - 4.82 / * ),True
( 3.59 - 6.95 ^ 2 - 6.19 / 2.03 ),( 3.59 - 6.95 ^ 2 - 6.19 / 2.03 ),True
0.11 + 9.73 / 2.04 + 3.33 + 0.43,0.11 + 9.73 / 2.04 + 3.33 + 0.43,True
2.69 - 2.69 - 5.29 - 8.57 + 5.86,2.69 - 2.69 - 5.29 - 8.57 + 5.86,True
- * 7.0 + / - 9.2 ^ 1,- * 7.0 + / - 9.2 ^ 1,False
2.0 ^ 2 + 5.76 / 2.09 + 6.3,2.0 ^ 2 + 5.76 / 2.09 + 6.3,True
1.6 ^ 2 - 7.01 ^ 8.69 - 5.71,1.6 ^ 2 - 7.01 ^ 8.69 - 5.71,True
2.48 / ( 6.43 + 7.06 ) / + * 9.13,2.48 / ( 6.43 + 7.06 ) / + * 9.13,False
9.73 - + - 3.15 - - * 0.3,9.73 - + - 3.15 - - * 0.3,True
1.83 - 4.38 ^ 2 - * - 1.89,1.83 - 4.38 ^ 2 - * - 1.89,True
^ * 1.75 * 9.79 * 0.25 * ( 0.09 ),^ * 1.75 * 9.79 * 0.25 * ( 0.09 ),True
5.22 - / * / * ( 6.77 + 5.09 ),5.22 - / * / * ( 6.77 + 5.09 ),True
6.59 - ( 8.08 + 2.49 / * ^ 2.14 ),6.59 - ( 8.08 + 2.49 / * ^ 2.14 ),False
4.88 + 6.0 + 9.73 / ^ * 8.27,4.88 + 6.0 + 9.73 / ^ * 8.27,False
6.56 + 2.82 - 2.68 / 0.31 * 0.44,6.56 + 2.82 - 2.68 / 0.31 * 0.44,True
7.84 * ( 8.57 ^ 1 + 6.54 + 8.98 ),7.84 * ( 8.57 ^ 1 + 6.54 + 8.98 ),False
1.07 / - ^ 8.0 + 5.08 + 9.52,1.07 / - ^ 8.0 + 5.08 + 9.52,False
2.16 ^ 2 + ( 4.3 - 6.27 - 2.4 ),2.16 ^ 2 + ( 4.3 - 6.27 - 2.4 ),True
1.25 ^ 1 - 6.3 / 3.54 ^ 6.42,1.25 ^ 1 - 6.3 / 3.54 ^ 6.42,True
8.95 + 2.22 * - ^ 8.15 + 0.3,8.95 + 2.22 * - ^ 8.15 + 0.3,False
7.98 * 2.9 + 3.85 ^ 1 - ^,7.98 * 2.9 + 3.85 ^ 1 - ^,False
+ * 2.93 / 7.96 * 4.29 ^ 2,+ * 2.93 / 7.96 * 4.29 ^ 2,True
- + 3.45 / ( 9.94 / 8.43 / 8.13 ),- + 3.45 / ( 9.94 / 8.43 / 8.13 ),True
7.81 - 7.03 + 8.15 + 6.44 * 1,7.81 - 7.03 + 8.15 + 6.44 * 1,False
( 3.66 ^ 2 - 1.63 + ( 0.97 + 7.07 ) ),( 3.66 ^ 2 - 1.63 + ( 0.97 + 7.07 ) ),True
0.81 * 0.1 + 0.49 - 8.2 + 2,0.81 * 0.1 + 0.49 - 8.2 + 2,False
( 5.38 + 8.34 - 0.47 ^ 8.29 - 7.59 ),( 5.38 + 8.34 - 0.47 ^ 8.29 - 7.59 ),True
9.59 / 4.28 / 1.64 - 4.96 ^ 1,9.59 / 4.28 / 1.64 - 4.96 ^ 1,True
3.44 ^ 1 - - - 1.65 - 2.16,3.44 ^ 1 - - - 1.65 - 2.16,False
8.64 - / - 9.42 ^ 2 - 8.9,8.64 - / - 9.42 ^ 2 - 8.9,True
4.08 / / ^ 4.1 + 3.09 + 3.05,4.08 / / ^ 4.1 + 3.09 + 3.05,False
4.53 - 9.5 - 8.51 - * / 0.82,4.53 - 9.5 - 8.51 - * / 0.82,True
