Original,Perturbed,Is_Equivalent
(-655.74//)+486.79-286.01*^,(-655.74//)+486.79-286.01*^,True
-368.95^-629.89--664.38*318.83+-499.73,-368.95^-629.89--664.38*318.83+-499.73,True
-36.03^1+833.56^2-*,-36.03^1+833.56^2-*,False
(*+266.85*-671.51/-787.65-724.01),(*+266.85*-671.51/-787.65-724.01),True
-560.55^-525.52-(-627.2/426.39+(*)),-560.55^-525.52-(-627.2/426.39+(*)),False
(/+-53.5-505.45*(784.53/-553.88)),(/+-53.5-505.45*(784.53/-553.88)),True
-816.37*73.24/-905.87--289.25^-351.11,-816.37*73.24/-905.87--289.25^-351.11,False
+^1+159.58/375.38-190.11,+^1+159.58/375.38-190.11,True
-22.62/++-847.5+-753.55/-794.51,-22.62/++-847.5+-753.55/-794.51,False
^^1+(-110.17^2+990.18),^^1+(-110.17^2+990.18),False
-9.15--738.75--842.17/-746.19//,-9.15--738.75--842.17/-746.19//,True
284.26+918.59*155.91+9.3-81.24,284.26+918.59*155.91+9.3-81.24,True
521.89/562.58+-268.58/317.69+*,521.89/562.58+-268.58/317.69+*,False
(459.16+-571.23*+--724.65/-593.68),(459.16+-571.23*+--724.65/-593.68),False
-92.09/*-(-798.29-(385.25-796.03)),-92.09/*-(-798.29-(385.25-796.03)),False
(97.65-894.18^1+-615.26*1),(97.65-894.18^1+-615.26*1),False
**-124.55*(-619.53*(-903.64+-967.39)),**-124.55*(-619.53*(-903.64+-967.39)),False
-645.59++--683.54-458.75^2,-645.59++--683.54-458.75^2,True
-64.07+1+423.83+63.43/(-217.49),-64.07+1+423.83+63.43/(-217.49),False
604.92*-579.89*459.94-^*401.2,604.92*-579.89*459.94-^*401.2,False
25.45-(-240.87--685.84)/-363.31/-196.89,25.45-(-240.87--685.84)/-363.31/-196.89,True
(*/(240.82+(-594.94-966.41^257.81))),(*/(240.82+(-594.94-966.41^257.81))),True
-/-943.11*23.84*(-560.76--332.27),-/-943.11*23.84*(-560.76--332.27),True
(-958.43/387.63/-416.15^2.4^1),(-958.43/387.63/-416.15^2.4^1),True
249.63/952.04*+*(-485.76*493.87),249.63/952.04*+*(-485.76*493.87),True
(460.66/647.66)+578.66^-195.23+-935.04,(460.66/647.66)+578.66^-195.23+-935.04,False
-891.29-343.78++^1--88.58,-891.29-343.78++^1--88.58,False
-504.93*(-921.43--991.37-1--640.19),-504.93*(-921.43--991.37-1--640.19),True
