Original,Perturbed,Is_Equivalent
-793.09/128.76^2-491.73^1-50.17/-379.03*(355.66^1+++-523.79+90.53/-963.95)+812.18^768.31,-793.09/128.76^2-491.73^1-50.17/-379.03*(355.66^1+++-523.79+90.53/-963.95)+812.18^768.31,True
/+(904.87/-511.78^2+398.37+434.38+571.17)*-112.43-(-495.88*-12.43/20.93/(-337.05-(-125.62/136.52)*95.05)),/+(904.87/-511.78^2+398.37+434.38+571.17)*-112.43-(-495.88*-12.43/20.93/(-337.05-(-125.62/136.52)*95.05)),False
-231.35*614.54/187.5^678.82*173.99--567.16/-517.43--739.85/415.93--896.62/-367.6+-29.55--664.49+(-318.93+(915.75)),-231.35*614.54/187.5^678.82*173.99--567.16/-517.43--739.85/415.93--896.62/-367.6+-29.55--664.49+(-318.93+(915.75)),True
848.61*(603.35*-772.12-822.9*-368.99^1-302.2^1-309.73+2-(-53.59-313.88^2+594.79*-712.58)),848.61*(603.35*-772.12-822.9*-368.99^1-302.2^1-309.73+2-(-53.59-313.88^2+594.79*-712.58)),False
301.95+465.62/568.53/690.52/-984.96*773.44*-801.53--250.46/325.82*(109.54^1+113.18*-684.46+-465.72/-431.43),301.95+465.62/568.53/690.52/-984.96*773.44*-801.53--250.46/325.82*(109.54^1+113.18*-684.46+-465.72/-431.43),True
951.06*-161.12-983.04^2-903.75^1+984.94^-122.18+-58.62*(^+-105.52^1+-634.16*-96.51*661.92),951.06*-161.12-983.04^2-903.75^1+984.94^-122.18+-58.62*(^+-105.52^1+-634.16*-96.51*661.92),False
938.9/382.69/98.35+478.0-(-148.0^2+-686.99/661.38)*(438.02/744.35)--286.82+(509.16/(-112.77+(-357.17*988.53))),938.9/382.69/98.35+478.0-(-148.0^2+-686.99/661.38)*(438.02/744.35)--286.82+(509.16/(-112.77+(-357.17*988.53))),False
629.52+(-882.99^2--980.6^2--539.55^2+402.55^2--378.67*90.68^2+-267.51)*-939.88^2,629.52+(-882.99^2--980.6^2--539.55^2+402.55^2--378.67*90.68^2+-267.51)*-939.88^2,True
-882.9*^^1--878.37-(233.16-99.29^1+-142.02--446.01*-945.54/460.05-(+^1--659.92/209.77)),-882.9*^^1--878.37-(233.16-99.29^1+-142.02--446.01*-945.54/460.05-(+^1--659.92/209.77)),False
-420.45/344.79*-946.43/-16.84--125.42^2-(-207.06/359.52/236.58*-817.91^2-766.95*-761.21)^2+-702.82,-420.45/344.79*-946.43/-16.84--125.42^2-(-207.06/359.52/236.58*-817.91^2-766.95*-761.21)^2+-702.82,True
744.76--229.23/(+*-791.07)*853.48-886.53+676.71+824.65*-164.48*(-128.84*347.56+-428.1/675.17^2+892.48),744.76--229.23/(+*-791.07)*853.48-886.53+676.71+824.65*-164.48*(-128.84*347.56+-428.1/675.17^2+892.48),True
777.92^1+-34.62--625.77/(800.6*-754.0)*(103.76/-759.32--586.35+422.84)+792.01^2-466.32*191.87*(-289.44),777.92^1+-34.62--625.77/(800.6*-754.0)*(103.76/-759.32--586.35+422.84)+792.01^2-466.32*191.87*(-289.44),True
49.18*-221.86+200.06*98.89-125.92+(942.41--162.9)^2^-252.1/505.45--970.64-584.16*789.03/-481.27*(^),49.18*-221.86+200.06*98.89-125.92+(942.41--162.9)^2^-252.1/505.45--970.64-584.16*789.03/-481.27*(^),False
544.24*177.29-(992.93+-415.75/(-279.4^2-(314.76*274.24^810.09*-896.14+597.36/157.1+343.32-299.18^2))),544.24*177.29-(992.93+-415.75/(-279.4^2-(314.76*274.24^810.09*-896.14+597.36/157.1+343.32-299.18^2))),False
-593.47/-454.03*+*-284.01--156.73^1--14.19*-579.34+566.37+429.77/---204.6*-973.27+-923.13^1,-593.47/-454.03*+*-284.01--156.73^1--14.19*-579.34+566.37+429.77/---204.6*-973.27+-923.13^1,True
567.26+*+595.56/-375.43/(930.53^2+822.78)+-614.76^1+65.92+(799.86--295.28)*(-951.81--832.58/-318.6),567.26+*+595.56/-375.43/(930.53^2+822.78)+-614.76^1+65.92+(799.86--295.28)*(-951.81--832.58/-318.6),False
19.39^1+*+610.6^2-193.82*321.32/65.12--988.02*(831.59/178.74)*64.46^2+456.42^2,19.39^1+*+610.6^2-193.82*321.32/65.12--988.02*(831.59/178.74)*64.46^2+456.42^2,False
