Original,Perturbed,Is_Equivalent
-246.12 / 839.66 ^ 1 - -118.95 ^ 1 + 704.48 - 563.65 - -959.21 ^ 1 + -402.3,-246.12 / 839.66 ^ 1 - -118.95 ^ 1 + 704.48 - 563.65 - -959.21 ^ 1 + -402.3,True
-327.22 * -322.25 + 537.68 * -643.49 - -64.91 ^ 1 - 797.04 / 731.36 - 857.78 ^ 1,-327.22 * -322.25 + 537.68 * -643.49 - -64.91 ^ 1 - 797.04 / 731.36 - 857.78 ^ 1,True
-14.75 + 657.39 - -662.29 - 361.83 ^ 2 - -180.19 - -419.38 * 290.42 * 442.72 / -696.77,-14.75 + 657.39 - -662.29 - 361.83 ^ 2 - -180.19 - -419.38 * 290.42 * 442.72 / -696.77,True
-140.57 - 625.69 + 230.9 / -158.99 - -730.3 + 680.87 - 58.5 - -822.3 ^ 1 + ( -166.69 ),-140.57 - 625.69 + 230.9 / -158.99 - -730.3 + 680.87 - 58.5 - -822.3 ^ 1 + ( -166.69 ),True
122.29 ^ 1 + -518.87 * 396.23 - 273.13 + 77.21 / 211.85 ^ 2 - ( 733.87 * 922.33 ),122.29 ^ 1 + -518.87 * 396.23 - 273.13 + 77.21 / 211.85 ^ 2 - ( 733.87 * 922.33 ),True
-610.67 + 7.66 ^ 2 + 807.73 - 821.82 ^ 1 - 17.21 + -72.41 - 949.54 * ( 129.68 ),-610.67 + 7.66 ^ 2 + 807.73 - 821.82 ^ 1 - 17.21 + -72.41 - 949.54 * ( 129.68 ),True
-902.43 / -431.88 / ( 905.47 / -53.76 * -518.31 - -757.67 - -58.2 ^ 2 + -351.37 + -789.63 ),-902.43 / -431.88 / ( 905.47 - -53.76 * -518.31 - -757.67 - -58.2 ^ 2 + -351.37 + -789.63 ),False
277.13 + -448.19 - -59.8 - 640.79 + -404.77 ^ 1 ^ -533.54 - 239.88 / 156.39 / ( -696.47 ),277.13 + -448.19 - -59.8 - 640.79 + -404.77 ^ 1 - -533.54 - 239.88 / 156.39 / ( -696.47 ),False
/ - 419.43 + -393.43 ^ 2 + -12.23 * -624.88 / -60.36 + -831.6 ^ 2 + -610.17,-935.35 - 419.43 + -393.43 ^ 2 + -12.23 * -624.88 / -60.36 + -831.6 ^ 2 + -610.17,False
( 915.9 - 196.29 ^ 1 - -76.96 ) + 341.5 / 574.92 * 304.54 - 367.27 / 431.99 - -886.67,( 915.9 - 196.29 ^ 1 - -76.96 ) + 341.5 / 574.92 * 304.54 - 367.27 / 431.99 - -886.67,True
