Original,Perturbed,Is_Equivalent
-190 - -325 - -967 - -653 ^ 1,-190 - -325 - 658 - -653 ^ 1,False
767 + 77 * -882 - 680 * ( 77 ),767 + 77 * -882 - 680 * ( 77 ),True
( 249 - -963 ^ 1 - -389 * ( 494 ) ),( 249 - -963 ^ 1 - -389 * ( 494 ) ),True
154 / ( -689 - -789 ^ 1 + 801 ),593 / ( -689 - -789 ^ 1 + 801 ),False
-905 / 103 ^ ( -337 / -890 / 772 ),-905 / 103 / ( -337 / -890 / 772 ),False
188 - ( -102 / 677 + ( -791 ^ 1 ) ),188 - ( -102 / 677 + ( -791 ^ 1 ) ),True
-432 / 996 * ( -923 / 978 + 152 ),-432 / 996 * ( -923 / 978 + 152 ),True
-759 ^ 1 - ( -575 / -347 - 991 ),-759 ^ 1 - ( -575 / -347 / 991 ),False
-392 + -255 / -605 - 834 + ( -474 ),-392 + -255 / -605 - 834 + ( -474 ),True
38 - 699 ^ 2 + -457 + 415,868 - 699 ^ 2 + -457 + 415,False
872 ^ 2 - 23 / 545 / 227,872 ^ 2 - 23 / 545 / 442,False
352 ^ 2 - -552 + -461 - 901,352 ^ 2 - -552 + -461 - 878,False
( 294 ^ -616 + 658 ) / 642 / -965,( 294 ^ 1 + 658 ) / 642 / -965,False
( -68 ^ 2 - 455 + 324 * -117 ),( -68 ^ 2 - 455 + 324 * -117 ),True
190 * -625 - 313 - -811 - ( 628 ),190 * -625 - 398 - -811 - ( 628 ),False
-450 / -607 * -851 / -732 / -703,-450 / -607 * -851 / -732 / -703,True
-207 / ( 846 / 933 * -301 ) / ( 400 ),-207 / ( 846 / 933 * -301 ) / ( 400 ),True
-126 / 985 ^ 1 + 706 * 854,12 / 985 ^ 1 + 706 * 854,False
-507 * -22 / 449 + 349 / 349,-507 * -22 / 449 + 349 / 349,True
-422 + -940 ^ 2 - -515 ^ ( 931 ),-422 + -940 ^ 2 - -515 - ( 931 ),False
355 ^ 551 * -479 / ( -17 / 311 ),355 / 551 * -479 / ( -17 / 311 ),False
649 * -649 - 556 / -788 / -790,649 * -649 - 556 / -788 / -790,True
749 * -443 + 856 + -304 + 848,749 * -443 + 856 + -304 + 848,True
( 472 + 446 + ( 936 * 478 / -707 ) ),( 472 + 446 + ( 936 * 478 / -707 ) ),True
-287 / -221 - 498 * -762 ^ 1,-287 / -221 * 498 * -762 ^ 1,False
50 / 425 ^ 2 - 537 * -322,50 / 425 ^ 2 - 537 * -322,True
-253 * 838 ^ 1 - ( 186 - 190 ),-253 * 838 ^ 1 - ( 186 - 190 ),True
( -488 / 978 ) - 671 + -308 ^ 2,( -488 / 978 ) - 671 + -308 ^ 2,True
( 646 + 522 - -701 + 638 / -22 ),( 646 + 522 - -701 + 638 / 181 ),False
( 137 * -132 / ( -68 - 737 ^ 1 ) ),( 137 * -132 / ( -68 - 737 ^ 1 ) ),True
293 + -572 / -720 * 40 + ( -778 ),293 + -572 / -720 * 40 + ( -778 ),True
( -972 / -284 - -435 / ( 501 / -198 ) ),( -972 / -284 - -435 / ( 501 / -198 ) ),True
-60 + 859 * -72 ^ 2 - 61,-60 + 859 - -72 ^ 2 - 61,False
899 - 175 / 531 ^ 2 - -132,899 - 175 / 531 ^ 2 - -132,True
( -860 + ( 325 / ( -753 / -31 - 877 ) ) ),( -860 + ( 325 / ( -753 / -31 - 877 ) ) ),True
-158 / -644 / 548 ^ 1 - 979,-158 / -644 / 548 ^ 1 - 979,True
-577 / -124 * -241 ^ 2 + 946,121 / -124 * -241 ^ 2 + 946,False
-264 / -373 - -205 / 4 ^ 2,-264 / -373 - -205 / 4 ^ 2,True
-636 ^ -975 + -488 ^ 1 + -664,-636 ^ 2 + -488 ^ 1 + -664,False
478 / ( -784 ^ 2 + 185 / 889 ),478 / ( -784 ^ 2 + 185 / 889 ),True
-910 ^ 1 + -610 * 741 / -941,-551 ^ 1 + -610 * 741 / -941,False
( -314 + 894 * -56 ^ 1 + -553 ),( -314 + 894 * -56 ^ 1 + -553 ),True
479 - -383 - 589 * -198 / -747,479 - -383 / 589 * -198 / -747,False
307 + -459 + -569 - -78 / 801,307 + -459 + -569 - -78 / 801,True
163 + 20 / -205 / -843 / -97,163 + 20 / -205 / -843 / -97,True
( -303 + -31 ^ 1 - 205 * -973 ),( -303 + -31 ^ 1 - 205 * -973 ),True
66 + 295 + 722 - -318 - ( -699 ),66 + 295 + 722 - -936 - ( -699 ),False
-247 - -531 - ( 868 * 546 + 694 ),-247 - -531 - ( 868 * 546 + 694 ),True
-415 ^ 1 - -22 - -241 ^ 1,-415 ^ 1 - -22 - -241 ^ 1,True
( 950 + -833 ^ 2 - -328 ^ -836 ),( 950 + -833 ^ 2 - -328 / -836 ),False
-659 / -490 + 267 + -452 / -998,-659 / -490 + 267 + -452 / -998,True
996 + -13 - 842 / -534 + 133,996 + -13 - 842 / -534 + 133,True
-536 + -207 + 656 - ( 20 ^ 2 ),-536 + -207 + 656 - ( 20 ^ 2 ),True
-405 / -12 * 319 + -547 + -842,-405 / -12 * 319 + -547 + -842,True
906 - 738 * 187 - 834 * 642,906 - 738 * 187 - 834 * 642,True
573 - 939 * -560 - -667 ^ 2,573 - -276 * -560 - -667 ^ 2,False
997 / -419 / 332 - -376 * -701,997 / -419 / 332 - -376 * -701,True
-748 / -369 / -669 ^ 1 - -660,-748 / -369 / -669 ^ 1 - -660,True
691 / 612 + -750 ^ -481 + ( -464 ),691 / 612 + -750 ^ 2 + ( -464 ),False
( -463 + -986 * 570 / 198 - 959 ),( -463 + -986 * -516 / 198 - 959 ),False
-961 * ( -108 - -33 / -21 * -360 ),-961 * ( -108 - -33 / -21 * -360 ),True
874 ^ 504 / -975 / 555 * 122,874 - 504 / -975 / 555 * 122,False
593 - -891 - ( 662 * ( -256 ^ 1 ) ),593 - -211 - ( 662 * ( -256 ^ 1 ) ),False
( 354 / -877 / ( -602 - -768 / 711 ) ),( 354 / -877 * ( -602 - -768 / 711 ) ),False
354 * 647 - ( 306 ^ 1 - -842 ),354 * 647 - ( 306 ^ 1 - -842 ),True
453 ^ 1 - ( -786 / ( -731 * 773 ) ),453 ^ 1 - ( -786 / ( -731 * 773 ) ),True
280 * 179 / 740 / -303 * 856,280 * 179 / 740 + -303 * 856,False
( -778 / 818 * 2 - -210 / -465 ),( -778 / 818 ^ 2 - -210 / -465 ),False
314 - -16 * -706 / 882 / 672,314 - -16 * -706 / 882 / 672,True
( -358 ^ 2 + -960 - -931 + 570 ),( -358 ^ 2 + -395 - -931 + 570 ),False
69 / 2 - -462 / -434 * -317,69 ^ 2 - -462 / -434 * -317,False
-976 / 635 / -921 - 710 + 903,-976 / 635 / -921 - 710 + 903,True
-270 ^ 1 - 700 * ( 646 - -267 ),-270 ^ 1 - 700 * ( 646 - -267 ),True
446 * -124 ^ 1 + -848 + 32,446 * -124 ^ 1 + -848 + 32,True
-575 + -403 * -363 / 747 - 72,-575 + -403 * -363 / 747 - 72,True
363 ^ 1 - 787 - 92 + ( 850 ),363 ^ 1 - 787 - 92 + ( 850 ),True
-530 ^ 1 - 865 * 179 - -902,-530 ^ 1 - 865 * 179 - -902,True
526 + -357 / -675 - -215 + -950,526 + -357 / -675 - -215 + -950,True
418 * 857 / -794 / ( -247 / ( 295 ) ),418 * 857 / -715 / ( -247 / ( 295 ) ),False
233 / -234 - -918 ^ 2 + -528,233 / -234 - -918 ^ 2 + -528,True
751 + 994 + 873 / 287 - ( 9 ),751 + 994 + 873 / 287 - ( 9 ),True
-10 * 386 ^ 1 - -525 ^ 445,-10 * 386 ^ 1 - -525 ^ 2,False
-135 + 373 / 568 ^ 2 + -331,-135 + 373 / 568 ^ 2 + -331,True
327 ^ 2 + 975 - 67 ^ 2,327 ^ 2 + 975 - 67 ^ 2,True
( 19 - -643 ^ 2 + -670 * 689 ),( 19 - -643 ^ 2 + -285 * 689 ),False
370 - ( 289 / -720 * -838 ^ 1 ),370 - ( 289 / -720 * -838 ^ 1 ),True
883 * 290 + -577 / -539 - -384,883 * 290 + -577 / -539 - -384,True
( -359 - -351 ^ 2 + 192 - 687 ),( -359 + -351 ^ 2 + 192 - 687 ),False
( -304 - -358 * 1 + -537 ) + 236,( -304 - -358 ^ 1 + -537 ) + 236,False
-811 ^ 2 - -836 + -542 ^ 1,-811 ^ 2 - -836 + -542 ^ 1,True
-516 / 375 ^ 1 - -834 ^ ( -688 ),-516 / 375 ^ 1 - -834 - ( -688 ),False
-526 - 668 ^ 1 + -188 * ( 61 ),-526 - 668 ^ 1 + -188 * ( 61 ),True
-354 ^ 1 * 266 - 637 / 630,-354 ^ 1 - 266 - 637 / 630,False
-309 - -184 + -568 * 556 + ( -107 ),-309 - -184 + -568 * 556 + ( -107 ),True
-220 + -244 - 524 ^ 1 + -149,-220 + -244 - 524 ^ 1 + -149,True
-513 ^ 1 + 301 - ( 845 ^ 1 ),-513 ^ 1 + 52 - ( 845 ^ 1 ),False
744 + -476 + -997 * 699 / -20,744 + -476 + -997 * 699 / 245,False
63 / -290 * -144 ^ ( -448 ^ 1 ),63 / -290 * -144 + ( -448 ^ 1 ),False
-522 - -560 + -290 ^ 2 + 75,-522 - -537 + -290 ^ 2 + 75,False
68 / 566 ^ 2 - 590 ^ 2,68 / 566 ^ 2 - 382 ^ 2,False
