Original,Perturbed,Is_Equivalent
94+419^1+425/-964+-263/455--663+975+-101-24*-554*-159--153-(-483),94+419^1+425/-964+-263/455--663+975+-101-24*-554*-159--153-(-483),False
663-(680+-403--654)-387*803-983^2+(-486^2--62/619)-973--727/-875,663-(680+-403--654)-387*803-983^2+(-486^2--62/619)-973--727/-875,True
565+-102/-395^2+926+304+-709*671/-720--303^1+-403+1+20*-824,565+-102/-395^2+926+304+-709*671/-720--303^1+-403+1+20*-824,False
-297*798*412^2+507*-822-(687*772--699)--596/356^1+39-638-(-806),-297*798*412^2+507*-822-(687*772--699)--596/356^1+39-638-(-806),True
957*-679+-539^1+(380-685^1+962*74^1+287^1+135*-165*-740),957*-679+-539^1+(380-685^1+962*74^1+287^1+135*-165*-740),False
(479+148+-505*-637+-659/-150/964^99+930)--185+-157+320-479+-889+351,(479+148+-505*-637+-659/-150/964^99+930)--185+-157+320-479+-889+351,True
-378/870/-494+-122+-41+941/103+-773+-296-958+(638+-814*841*708*976),-378/870/-494+-122+-41+941/103+-773+-296-958+(638+-814*841*708*976),False
416--717+-368*970--115+(30*252+-689*-576/-928-436^2+109*620)+584,416--717+-368*970--115+(30*252+-689*-576/-928-436^2+109*620)+584,True
-844^1-(-285/-602/(285/634)^2+-545/-641/-854)-(-353-296--14-300)+-993,-844^1-(-285/-602/(285/634)^2+-545/-641/-854)-(-353-296--14-300)+-993,False
443+42+819*214*909/-66/(442^1--961/-374^1+-531^1--845*-745),443+42+819*214*909/-66/(442^1--961/-374^1+-531^1--845*-745),False
721--587/-399--362*210-152/340/-514/-87^1-(658*600/671*-936*-342),721--587/-399--362*210-152/340/-514/-87^1-(658*600/671*-936*-342),False
-646^2+576-769/399/(233*-513^1+743*-398^1-(-111*-628^637+-545)),-646^2+576-769/399/(233*-513^1+743*-398^1-(-111*-628^637+-545)),False
-480*-717*-610+114*289*391*-611/-942/837-(538/(-106--310/-952+881-85)),-480*-717*-610+114*289*391*-611/-942/837-(538/(-106--310/-952+881-85)),True
-977/188/451+610/-522/-119*-604+-576-(52^2--81-(-518--251/-669/-653)),-977/188/451+610/-522/-119*-604+-576-(52^2--81-(-518--251/-669/-653)),False
-600*-232+970*498/-840^1+-407*428/-232+-7-868^1+284*-657/(274),-600*-232+970*498/-840^1+-407*428/-232+-7-868^1+284*-657/(274),True
486--100/162-626/(653*-988--377/-955/518-226-952-616+-261*(-379*-128)),486--100/162-626/(653*-988--377/-955/518-226-952-616+-261*(-379*-128)),False
-189+352*-938^2--627/(361^723)*-578+377^1+-151-234+(970+-773/-462),-189+352*-938^2--627/(361^723)*-578+377^1+-151-234+(970+-773/-462),False
312^2+-997/849--633/653+-159-836^801-599+-416+(-587--841-468+-827),312^2+-997/849--633/653+-159-836^801-599+-416+(-587--841-468+-827),False
-41/569^2--575^1-61/-578*-736^2+264--958^1+311/-845+-319,-41/569^2--575^1-61/-578*-736^2+264--958^1+311/-845+-319,False
-597^1+527/-895*1--77^2--479^2+-570-217*-497+(38+(-176/(-867))),-597^1+527/-895*1--77^2--479^2+-570-217*-497+(38+(-176/(-867))),False
25+-670/(375^2+-137*-691+-702--759)^2+458-606/919*-568^1+(392),25+-670/(375^2+-137*-691+-702--759)^2+458-606/919*-568^1+(392),True
721--751+574+-891--691+291^1+(-679--876*383/-996)/(-35+836^1+-279),721--751+574+-891--691+291^1+(-679--876*383/-996)/(-35+836^1+-279),False
795*784^2-243/-962+-192+-340+430^1+-127^2+-177/400*28^2,795*784^2-243/-962+-192+-340+430^1+-127^2+-177/400*28^2,True
686^2+66/-218*191*677--16/-862/975+971*(161--458^1+-394^2),686^2+66/-218*191*677--16/-862/975+971*(161--458^1+-394^2),True
-494/346+-424+564*897+(305+-651^1+-786*794^2--956/(370+313--412)),-494/346+-424+564*897+(305+-651^1+-786*794^2--956/(370+313--412)),True
(-60-459/6*(769-642+-791--293)/536+(552^1+642-249+65^546+-30)),(-60-459/6*(769-642+-791--293)/536+(552^1+642-249+65^546+-30)),False
469^2-935+185-49*119--342+(-455^64-(355*756+386^2--463--149)),469^2-935+185-49*119--342+(-455^64-(355*756+386^2--463--149)),False
-65/-695*449*-932--986/705^2-(479/-161*541/155/128^1--130*-418),-65/-695*449*-932--986/705^2-(479/-161*541/155/128^1--130*-418),True
492+794--822*(-520^2-(-248+(79-914^2+-653*-35)/969-121-642-284)),492+794--822*(-520^2-(-248+(79-914^2+-653*-35)/969-121-642-284)),False
765^1--72+923^2+-629/-573+907+131-606--815/(-572*713)/(-112--55),765^1--72+923^2+-629/-573+907+131-606--815/(-572*713)/(-112--55),True
819+-248+-233+299+663*-760--859/253+1+760*511+(338-894*993)-(296),819+-248+-233+299+663*-760--859/253+1+760*511+(338-894*993)-(296),False
-479^155--386--283--556^2+-491^1+(336^2+-926/-146/-850*120)--937,-479^155--386--283--556^2+-491^1+(336^2+-926/-146/-850*120)--937,False
