Original,Perturbed,Is_Equivalent
126 ^ 2 + 877 ^ 1 * ( 850 ^ 2 - -956 + -160 ) - 1 - 688,126 ^ 2 + 877 ^ 1 * ( 850 ^ 2 - -956 + -160 ) - 1 - 688,False
488 ^ 1 + -240 - 462 + -472 + ( 536 + -63 ) - ( -934 ^ 1 - -990 ),488 ^ 1 + -240 - 462 + -472 + ( 536 + -63 ) - ( -934 ^ 1 - -990 ),False
105 / -497 ^ 2 - ( -720 + -933 / 60 ^ 1 - -759 + 478 ^ 2 ),105 / -497 ^ 2 - ( -720 + -933 / 60 ^ 1 - -759 + 478 ^ 2 ),True
328 / -191 / -487 * 409 - -398 / ( 37 * ( -841 ^ 2 - -750 / -983 ) ),328 / -191 / -487 * 409 - -398 / ( 37 * ( -841 ^ 2 - -750 / -983 ) ),True
-846 + -705 / 243 + 487 + -802 / -121 - 433 / ( -432 ^ 1 - -765 ),-846 + -705 / 243 + 487 + -802 / -121 - 433 / ( -432 ^ 1 - -765 ),True
( 708 - -716 ^ 1 - 787 / 527 ^ 2 + -677 ^ 2 + 35 * -528 ),( 708 - -716 ^ 1 - 787 / 527 ^ 2 + -677 ^ 2 + 35 * -528 ),False
( -904 ^ 2 - -519 / ( -548 * -651 / 146 + -297 - ( -223 ^ 1 + -818 ) ) ),( -904 ^ 2 - -519 / ( -548 * -651 / 146 + -297 - ( -223 ^ 1 + -818 ) ) ),True
453 ^ 2 + 677 ^ 1 + -138 * 607 - 383 * 115 + -435 / ( 616 ),453 ^ 2 + 677 ^ 1 + -138 * 607 - 383 * 115 + -435 / ( 616 ),False
-775 + -852 + -360 ^ 2 + ( -808 * -144 * -523 / -307 ^ 1 + -536 ),-775 + -852 + -360 ^ 2 + ( -808 * -144 * -523 / -307 ^ 1 + -536 ),True
-384 + 305 / 56 + 900 ^ 1 - -408 + 122 * 865 + -44 / -932,-384 + 305 / 56 + 900 ^ 1 - -408 + 122 * 865 + -44 / -932,True
-694 * ( -467 + -174 - -637 ) + -318 + -88 ^ 2 - -606 - -550 * 142,-694 * ( -467 + -174 - -637 ) + -318 + -88 ^ 2 - -606 - -550 * 142,False
( 855 - -848 + -757 ^ -56 + 38 - 912 ) + -902 ^ 1 - 891 - -896,( 855 - -848 + -757 ^ -56 + 38 - 912 ) + -902 ^ 1 - 891 - -896,True
( -409 + 842 / 143 - 530 ) + ( -602 / -213 + 837 ) ^ 1 - ( -637 + -928 ),( -409 + 842 / 143 - 530 ) + ( -602 / -213 + 837 ) ^ 1 - ( -637 + -928 ),True
850 - -579 ^ 2 + -352 + -546 - -688 / 69 ^ 2 + -825 - 380,850 - -579 ^ 2 + -352 + -546 - -688 / 69 ^ 2 + -825 - 380,False
-59 - ( 134 / 202 ) / -982 - 163 ^ 1 + ( 132 * 238 - 428 - 447 ),-59 - ( 134 / 202 ) / -982 - 163 ^ 1 + ( 132 * 238 - 428 - 447 ),False
-404 / 422 / 779 ^ 1 + -775 ^ 2 ^ -964 * -597 ^ 1 + -470,-404 / 422 / 779 ^ 1 + -775 ^ 2 ^ -964 * -597 ^ 1 + -470,True
-986 / 207 + -63 / -107 ^ 1 + 308 / -431 ^ 2 + -750 ^ 1,-986 / 207 + -63 / -107 ^ 1 + 308 / -431 ^ 2 + -750 ^ 1,False
58 ^ 1 + -677 ^ 1 + ( 88 + 124 / 193 ^ 2 - -379 + -334 ),58 ^ 1 + -677 ^ 1 + ( 88 + 124 / 193 ^ 2 - -379 + -334 ),False
