Original,Perturbed,Is_Equivalent
10.26+-22.46/-75.07+52.81/95.64,10.26+-22.46/-75.07+52.81/95.64,False
^/-19.14/(2.06^+^1),^/-19.14/(2.06^+^1),False
//70.04-63.9*-35.96+-3.43,//70.04-63.9*-35.96+-3.43,True
-97.29++^1*-44.57*3.56,-97.29++^1*-44.57*3.56,True
-9.69*-68.82*-39.56^1+-20.23,-9.69*-68.82*-39.56^1+-20.23,True
53.16^96.87^(27.66+5.68-95.75),53.16^96.87^(27.66+5.68-95.75),False
-59.03-/^1^23.63+82.78,-59.03-/^1^23.63+82.78,False
-73.02/*^1-+*-42.02,-73.02/*^1-+*-42.02,False
-61.48^1+/*1-10.15,-61.48^1+/*1-10.15,False
(-92.65^76.49^1++*76.43),(-92.65^76.49^1++*76.43),False
(62.74^-15.8--79.65*2+59.69),(62.74^-15.8--79.65*2+59.69),False
(-51.87^61.95+-9.31+-75.29)*(-57.27),(-51.87^61.95+-9.31+-75.29)*(-57.27),True
-23.98+(56.21-75.82*-50.37/*),-23.98+(56.21-75.82*-50.37/*),False
-49.83//*-31.48^2+17.18,-49.83//*-31.48^2+17.18,True
-71.18^-13.4+-28.67-++(78.91),-71.18^-13.4+-28.67-++(78.91),False
//8.73^2+67.22+34.66,//8.73^2+67.22+34.66,True
-/-56.8+51.44+-68.04^1,-/-56.8+51.44+-68.04^1,True
71.41/(43.71^2-^)^1,71.41/(43.71^2-^)^1,True
-4.25-67.09*92.94*-5.65/(42.61),-4.25-67.09*92.94*-5.65/(42.61),True
33.13/16.21+(94.96*^//),33.13/16.21+(94.96*^//),False
-27.0--74.15*-65.26*97.13--54.07,-27.0--74.15*-65.26*97.13--54.07,True
/+(/*(-2.93*15.69*-89.71)),/+(/*(-2.93*15.69*-89.71)),False
0.9/92.81-92.14-52.94^2,0.9/92.81-92.14-52.94^2,True
(3.22*53.83/9.88+-58.23)*-22.44,(3.22*53.83/9.88+-58.23)*-22.44,False
66.47--7.18-(-77.5+27.14^1),66.47--7.18-(-77.5+27.14^1),True
-60.06^^-74.46/-34.81**,-60.06^^-74.46/-34.81**,False
-77.23+16.0^2+16.59/48.46,-77.23+16.0^2+16.59/48.46,True
-65.03+-30.58*96.33^2+22.93,-65.03+-30.58*96.33^2+22.93,False
71.17/2+31.92/30.95--11.04,71.17/2+31.92/30.95--11.04,True
+^1^-28.93^2+-98.67,+^1^-28.93^2+-98.67,True
*/-80.2+-32.82*+^2,*/-80.2+-32.82*+^2,True
--98.85--58.86^2--74.33,--98.85--58.86^2--74.33,False
-89.62^1+(-77.36^72.09+84.79),-89.62^1+(-77.36^72.09+84.79),False
(-42.9*39.8/-48.07)^41.31--46.99,(-42.9*39.8/-48.07)^41.31--46.99,False
-71.43/(37.4/-65.08^2--43.3),-71.43/(37.4/-65.08^2--43.3),False
^^1--96.2--48.59/26.02,^^1--96.2--48.59/26.02,False
-87.93+(-28.78/-87.24)*2--88.46,-87.93+(-28.78/-87.24)*2--88.46,False
62.42/-81.06/-91.61-62.61/(-12.04),62.42/-81.06/-91.61-62.61/(-12.04),True
-52.39-12.32+-50.09-71.29-+,-52.39-12.32+-50.09-71.29-+,True
/-79.57*(62.68+-52.35-69.44),/-79.57*(62.68+-52.35-69.44),True
6.82^1+(-79.3+46.39^1),6.82^1+(-79.3+46.39^1),True
46.83-53.3/-6.89/-+92.02,46.83-53.3/-6.89/-+92.02,False
