Original,Perturbed,Is_Equivalent
(5.2/(3.06-3.78/6.88*9.27)),(5.2/(3.06-3.78/6.88*9.27)),True
+-7.48/(4.24+6.53)/1.77,+-7.48/(4.24+6.53)/1.77,True
4.83*4.26/3.74-7.15/5.19,4.83*4.26/3.74-7.15/5.19,False
*+(1.98+(9.31/--0.29)),*+(1.98+(9.31/--0.29)),True
(5.19+(2.58-0.69*-)-7.09),(5.19+(2.58-0.69*-)-7.09),True
1.32/(6.25-9.34-4.38++),1.32/(6.25-9.34-4.38++),False
7.3/6.96+9.38*2.97/5.81,7.3/6.96+9.38*2.97/5.81,True
4.38+4.56-9.53/0.93/(1.02),4.38+4.56-9.53/0.93/(1.02),True
7.4+1.89***8.26/5.79,7.4+1.89***8.26/5.79,True
9.41**/0.63*(0.98/0.54),9.41**/0.63*(0.98/0.54),False
5.96*1.47-0.25++-8.1,5.96*1.47-0.25++-8.1,True
4.32+9.56/7.12+0.43*8.88,4.32+9.56/7.12+0.43*8.88,False
4.1*(1.2/2.59)+1.91+(-),4.1*(1.2/2.59)+1.91+(-),False
1.75-(**0.68-(2.83+7.48)),1.75-(**0.68-(2.83+7.48)),False
-/4.69/1.89+2.94*(7.11),-/4.69/1.89+2.94*(7.11),True
(1.28*5.46*4.46)/0.63/5.67,(1.28*5.46*4.46)/0.63/5.67,True
7.89+8.34/0.73/7.56-(0.38),7.89+8.34/0.73/7.56-(0.38),True
2.48+(2.98+(9.61-+)*6.46),2.48+(2.98+(9.61-+)*6.46),False
8.81*1.28-6.16+1.33+-,8.81*1.28-6.16+1.33+-,False
3.52+5.86+5.98-6.29+2.85,3.52+5.86+5.98-6.29+2.85,True
0.79--/+*1.74+0.49,0.79--/+*1.74+0.49,False
-*8.55/6.04*(8.27-8.88),-*8.55/6.04*(8.27-8.88),True
++(7.72-2.24/9.49*7.17),++(7.72-2.24/9.49*7.17),True
6.85+0.03-2.75+(9.48*9.96),6.85+0.03-2.75+(9.48*9.96),True
6.75*2.67/0.19+5.08-4.36,6.75*2.67/0.19+5.08-4.36,False
(--1.64/(-+5.85/5.55)),(--1.64/(-+5.85/5.55)),False
1.28+8.31*(0.65*(6.71/(0.14))),1.28+8.31*(0.65*(6.71/(0.14))),True
*-3.11*7.68*2.42*5.87,*-3.11*7.68*2.42*5.87,False
4.93-(6.37*//+/6.99),4.93-(6.37*//+/6.99),False
*/1.84*7.63-7.33--,*/1.84*7.63-7.33--,False
7.73/9.14-3.38+6.0/5.42,7.73/9.14-3.38+6.0/5.42,False
4.08/*-6.0*8.08+(2.7),4.08/*-6.0*8.08+(2.7),False
/*(-/7.61*6.15**),/*(-/7.61*6.15**),False
7.34-*+(0.25*4.53*(0.73)),7.34-*+(0.25*4.53*(0.73)),True
2.54/9.99+1.34+8.86-9.14,2.54/9.99+1.34+8.86-9.14,True
8.41-8.26*(2.63/+-6.35),8.41-8.26*(2.63/+-6.35),True
5.76-3.5/(1.24+6.26*3.77),5.76-3.5/(1.24+6.26*3.77),True
(5.07*(7.54-0.94+5.27*+)),(5.07*(7.54-0.94+5.27*+)),True
9.3-2.27*2.98++/7.02,9.3-2.27*2.98++/7.02,False
2.12/5.61-(3.42+//7.63),2.12/5.61-(3.42+//7.63),False
6.94+7.51-6.85*0.02+3.72,6.94+7.51-6.85*0.02+3.72,True
(-*0.75-1.36+4.9-5.64),(-*0.75-1.36+4.9-5.64),True
8.35*(1.55*9.16)/(3.93/6.63),8.35*(1.55*9.16)/(3.93/6.63),True
9.41+0.83+8.32+(2.31-6.3),9.41+0.83+8.32+(2.31-6.3),True
9.34-1.56-3.13+3.21*5.37,9.34-1.56-3.13+3.21*5.37,True
2.28-3.91+9.07+0.67-+,2.28-3.91+9.07+0.67-+,True
