Original,Perturbed,Is_Equivalent
72+9+75+21*51+5/31-89-22*83,72+9+75+21*51+5/31-89-22*83,False
7/36/5+46/13-32+19*7/49*32,7/36/5+46/13-32+19*7/49*32,False
53-85+79/13-68/27-84*(26*58)-(22),53-85+79/13-68/27-84*(26*58)-(22),False
8-38-13*22/9/56+92-38+67-9,8-38-13*22/9/56+92-38+67-9,True
(58+5+31+(71*9)+91/17+18*61*8),(58+5+31+(71*9)+91/17+18*61*8),True
47-38/83+79*49+48+40/8*75/(27),47-38/83+79*49+48+40/8*75/(27),False
(71*(34-(78+3*(3-78)-6*62*83+1))),(71*(34-(78+3*(3-78)-6*62*83+1))),True
66/27-45/(59/91/(47/86*(26+2-64))),66/27-45/(59/91/(47/86*(26+2-64))),True
52+47*60+66-60+69-61/(7-15/61),52+47*60+66-60+69-61/(7-15/61),True
85/(18*5-(71*24*(55-17*75-26)+51)),85/(18*5-(71*24*(55-17*75-26)+51)),False
96/45-20-8+75-99-13+12+(36/18),96/45-20-8+75-99-13+12+(36/18),False
96-41/75/95*40*41/30+42+(35+19),96-41/75/95*40*41/30+42+(35+19),True
(44-68)*73/(10*74*74+91+62-33*94),(44-68)*73/(10*74*74+91+62-33*94),False
(22*47/(91-78/14-23+81*64*(51-22))),(22*47/(91-78/14-23+81*64*(51-22))),False
81/70*90/35*13-(19/(67*95*58)-38),81/70*90/35*13-(19/(67*95*58)-38),True
61-16*91-22*13-67/92+81-31/18,61-16*91-22*13-67/92+81-31/18,True
1/95+24/(96/52)-(48*91*5-89)/(63),1/95+24/(96/52)-(48*91*5-89)/(63),False
32-82+(17*17+36+94+39*88-39-51),32-82+(17*17+36+94+39*88-39-51),True
82/37+82+77/20/14-97-65+52-32,82/37+82+77/20/14-97-65+52-32,False
87+69-89*53/(57*(34/70/(13+73+13))),87+69-89*53/(57*(34/70/(13+73+13))),True
90+42*93/19*13/(84+37*75*25*18),90+42*93/19*13/(84+37*75*25*18),True
92-69*3-65/55+19-15+41/(46+29),92-69*3-65/55+19-15+41/(46+29),False
(21/86+95*(82/54-66-64-24)-91+2),(21/86+95*(82/54-66-64-24)-91+2),True
76/(56*97+86*1+5/73/53*14-41),76/(56*97+86*1+5/73/53*14-41),True
24-16+38/56+64/65+67/53-88-50,24-16+38/56+64/65+67/53-88-50,True
82/50/99-(5-99*26-36*49-67/7),82/50/99-(5-99*26-36*49-67/7),True
82*69+(56-91+81*44*32)*75/40*62,82*69+(56-91+81*44*32)*75/40*62,False
68-(14/20/(26+30-(97+98)/(59*(35+32)))),68-(14/20/(26+30-(97+98)/(59*(35+32)))),True
43/99/44*1-49+5*23+42/2-26,43/99/44*1-49+5*23+42/2-26,True
23+68*73/(52/45+98/40-58)*87*86,23+68*73/(52/45+98/40-58)*87*86,False
(35*4*94)/44/43/66+91/54+82+85,(35*4*94)/44/43/66+91/54+82+85,True
81-55-53*57/76-5/48/(19/86)-43,81-55-53*57/76-5/48/(19/86)-43,True
44/61-(5-42/96+53+97/92+60-29),44/61-(5-42/96+53+97/92+60-29),False
79/42/98-42+96/15-84-54-(34-18),79/42/98-42+96/15-84-54-(34-18),True
78+(94-(31-38-88-51)/92-2)/(37/10),78+(94-(31-38-88-51)/92-2)/(37/10),True
(64*44/65*99)/28+40*4-(52/63-50),(64*44/65*99)/28+40*4-(52/63-50),True
90/58*64/59-10/34+42/81*(79*98),90/58*64/59-10/34+42/81*(79*98),False
(71-47+51/98-42)/55/46/(88/91)*19,(71-47+51/98-42)/55/46/(88/91)*19,True
42/80+11+36/24+56+14*46-52-(34),42/80+11+36/24+56+14*46-52-(34),True
