Original,Perturbed,Is_Equivalent
362.45/-258.84*-473.73/(144.56-372.34)-723.67*-832.77--721.34+889.56*27.21/575.78*38.02*988.07+-779.77*-678.2,362.45/-258.84*-473.73/(144.56-372.34)-723.67*-832.77--721.34+889.56*27.21/575.78*38.02*988.07+-779.77*-678.2,False
343.76+-529.35/954.68+821.19*522.21/-614.06///-671.03*877.25/699.49-373.88-*--481.01*871.24+-509.71,343.76+-529.35/954.68+821.19*522.21/-614.06///-671.03*877.25/699.49-373.88-*--481.01*871.24+-509.71,False
554.95-/-295.34----317.79+-866.43+-528.99/230.94+(-748.95+-733.84/-369.91+-168.2)/(-686.87/8.55*-236.57),554.95-/-295.34----317.79+-866.43+-528.99/230.94+(-748.95+-733.84/-369.91+-168.2)/(-686.87/8.55*-236.57),False
-*-487.06--960.43+/+(-826.07--812.68-(-685.99/-37.58*(-926.71+333.39/-556.62-(-791.69*147.71/909.12)*-564.54))),-*-487.06--960.43+/+(-826.07--812.68-(-685.99/-37.58*(-926.71+333.39/-556.62-(-791.69*147.71/909.12)*-564.54))),True
-224.76*277.6+-103.65*65.23--448.63*(+*508.14+-795.27--216.04/26.02)*-191.19--26.17*(-431.82/436.08/491.82),-224.76*277.6+-103.65*65.23--448.63*(+*508.14+-795.27--216.04/26.02)*-191.19--26.17*(-431.82/436.08/491.82),False
-287.12*369.2+280.99/892.62/-870.37/-706.23/(-659.23-163.62*-894.99)/-331.4*-529.04/29.1*271.28+597.28*219.0,-287.12*369.2+280.99/892.62/-870.37/-706.23/(-659.23-163.62*-894.99)/-331.4*-529.04/29.1*271.28+597.28*219.0,True
-533.09*(369.33/793.6-871.78)+-503.67*-442.74--698.39--835.26/170.5--301.22/283.15/-231.93/(183.96/10.51)++,-533.09*(369.33/793.6-871.78)+-503.67*-442.74--698.39--835.26/170.5--301.22/283.15/-231.93/(183.96/10.51)++,True
-19.18+-911.73*-153.07/-706.72*-386.51+-304.29--623.08+(-618.29*-902.1*497.54)-553.69*-843.04*(577.82*311.16)*-544.84,-19.18+-911.73*-153.07/-706.72*-386.51+-304.29--623.08+(-618.29*-902.1*497.54)-553.69*-843.04*(577.82*311.16)*-544.84,False
-332.72--617.71*(-492.56*649.19-81.15/-668.72+975.03-817.82/-967.56-(-706.16*(-404.51/(238.42--92.8*-750.19-633.86)))),-332.72--617.71*(-492.56*649.19-81.15/-668.72+975.03-817.82/-967.56-(-706.16*(-404.51/(238.42--92.8*-750.19-633.86)))),True
-831.71--977.29+223.83*-170.02/888.4+11.76+-4.88+(-205.05+(133.09*-412.41)+(631.09/--(369.88-+/627.96))),-831.71--977.29+223.83*-170.02/888.4+11.76+-4.88+(-205.05+(133.09*-412.41)+(631.09/--(369.88-+/627.96))),False
940.98*-511.28+-825.47--974.11+(-574.83*-787.9)/286.28/86.61-(-280.88*31.49)*/-(-922.31/-795.87/-989.68*254.18),940.98*-511.28+-825.47--974.11+(-574.83*-787.9)/286.28/86.61-(-280.88*31.49)*/-(-922.31/-795.87/-989.68*254.18),False
65.46--742.5--869.77*940.42*886.2-71.17*201.1/-777.07*-725.57*867.49/-479.55*609.61*778.12-121.75+306.12,65.46--742.5--869.77*940.42*886.2-71.17*201.1/-777.07*-725.57*867.49/-479.55*609.61*778.12-121.75+306.12,True
952.97*++411.27/(898.09--518.51/143.72+-228.73/790.92+854.04+103.66+942.89-669.97*414.25-552.0-(-721.22)),952.97*++411.27/(898.09--518.51/143.72+-228.73/790.92+854.04+103.66+942.89-669.97*414.25-552.0-(-721.22)),True
-935.09+980.68-709.24+248.75*701.9/-954.7+*-606.4*159.11*-871.51*838.18-263.34+-468.9*735.73*410.55,-935.09+980.68-709.24+248.75*701.9/-954.7+*-606.4*159.11*-871.51*838.18-263.34+-468.9*735.73*410.55,True
310.22/-854.43/485.66/-482.83+526.97+-396.21+-272.26+(356.54+(591.06+-58.67/-562.36*-309.03/494.97/-964.96*548.35)),310.22/-854.43/485.66/-482.83+526.97+-396.21+-272.26+(356.54+(591.06+-58.67/-562.36*-309.03/494.97/-964.96*548.35)),True
-723.15/-333.99--540.69+256.83--304.63*-729.68*848.74*(626.42+-567.67*-15.04*-342.51--131.3*150.83+(419.66--488.99)),-723.15/-333.99--540.69+256.83--304.63*-729.68*848.74*(626.42+-567.67*-15.04*-342.51--131.3*150.83+(419.66--488.99)),True
(266.0/462.56--263.06-399.82*951.0*-814.14--621.19+713.91+-288.15)*18.98-553.14+-942.14/9.1+671.6+423.73,(266.0/462.56--263.06-399.82*951.0*-814.14--621.19+713.91+-288.15)*18.98-553.14+-942.14/9.1+671.6+423.73,True
885.32---(-259.8*965.57+(489.17/-41.25)+674.58)/-866.43--860.58*429.83/706.86*-947.94*183.71//-857.87,885.32---(-259.8*965.57+(489.17/-41.25)+674.58)/-866.43--860.58*429.83/706.86*-947.94*183.71//-857.87,False
-498.68/120.37*(411.21*-923.48/-594.3-165.32/-154.31/939.61+911.77*666.52*826.16*-583.9+-15.57+-960.15)-28.64,-498.68/120.37*(411.21*-923.48/-594.3-165.32/-154.31/939.61+911.77*666.52*826.16*-583.9+-15.57+-960.15)-28.64,True
-811.13--257.05+-824.85*605.53+-536.81*-949.91--635.49+837.99-540.68-(-752.7+-183.65/-490.69*-661.56/523.85-(-604.04)),-811.13--257.05+-824.85*605.53+-536.81*-949.91--635.49+837.99-540.68-(-752.7+-183.65/-490.69*-661.56/523.85-(-604.04)),True
952.21/-320.41*-110.84--295.61+-672.29+-652.72-386.0*-871.75+(-641.54*(972.14+-2.62-(-718.34-705.4*479.49*(-526.06)))),952.21/-320.41*-110.84--295.61+-672.29+-652.72-386.0*-871.75+(-641.54*(972.14+-2.62-(-718.34-705.4*479.49*(-526.06)))),True
-282.42/937.7+-691.52*14.33+(-883.04-502.81*559.24)+-778.29-913.65*-399.15*163.62*339.63+610.91-937.48/-367.34,-282.42/937.7+-691.52*14.33+(-883.04-502.81*559.24)+-778.29-913.65*-399.15*163.62*339.63+610.91-937.48/-367.34,False
220.99+121.81*-263.37+-287.65-(603.71/-155.71*-319.72-240.02*-752.87*-613.85/(236.86/-446.06+517.87--78.75-(-3.62))),220.99+121.81*-263.37+-287.65-(603.71/-155.71*-319.72-240.02*-752.87*-613.85/(236.86/-446.06+517.87--78.75-(-3.62))),True
-676.66+-140.05/-529.09*172.52*(-282.23*331.99*427.18+(369.13+(-911.04/66.46/(-789.55*(991.31+(555.66+(-747.87*13.97))))))),-676.66+-140.05/-529.09*172.52*(-282.23*331.99*427.18+(369.13+(-911.04/66.46/(-789.55*(991.31+(555.66+(-747.87*13.97))))))),True
-402.01/484.57+63.15--483.82+-+674.54/-84.81+560.54+-722.03+(-151.75--292.32)/30.96--977.46--848.89-496.8,-402.01/484.57+63.15--483.82+-+674.54/-84.81+560.54+-722.03+(-151.75--292.32)/30.96--977.46--848.89-496.8,True
260.81-391.66/550.4*(-875.41/(-847.04/60.13+-229.04)/-606.46-942.61+-417.61+(825.64+769.35--832.74)+--(-87.46)),260.81-391.66/550.4*(-875.41/(-847.04/60.13+-229.04)/-606.46-942.61+-417.61+(825.64+769.35--832.74)+--(-87.46)),True
20.36/-995.05+-427.03--+-361.8+-496.16+(-301.58+638.31+-605.14+475.39*833.18*-717.77*-45.11+-876.79+578.25),20.36/-995.05+-427.03--+-361.8+-496.16+(-301.58+638.31+-605.14+475.39*833.18*-717.77*-45.11+-876.79+578.25),False
-845.8+-234.46*581.57/-787.14+-440.13/279.37+(-928.76+-732.58)*860.41+-870.45*247.69-5.71*(-450.22-803.09/(251.95)),-845.8+-234.46*581.57/-787.14+-440.13/279.37+(-928.76+-732.58)*860.41+-870.45*247.69-5.71*(-450.22-803.09/(251.95)),True
-877.49--/(401.43/-776.07/-55.33+-959.68+-206.76/726.44)*+*319.51+102.17+-353.4*375.77--246.69*887.43,-877.49--/(401.43/-776.07/-55.33+-959.68+-206.76/726.44)*+*319.51+102.17+-353.4*375.77--246.69*887.43,False
226.01-850.23--714.92*(-911.92+-88.59-*-**-457.29)-(826.65*(-216.17*-532.43-294.31*263.99)--915.31/-95.29),226.01-850.23--714.92*(-911.92+-88.59-*-**-457.29)-(826.65*(-216.17*-532.43-294.31*263.99)--915.31/-95.29),True
(924.99-5.38)+-917.78/219.28+-798.36/(247.73*-958.39--751.8/+*-774.71-+-566.75*559.6/-376.08)--185.16,(924.99-5.38)+-917.78/219.28+-798.36/(247.73*-958.39--751.8/+*-774.71-+-566.75*559.6/-376.08)--185.16,False
979.55*-510.21*-136.07/390.15*-866.63-(343.26/-881.65--387.32/-291.6+-822.53/-56.15+-+(-981.29+565.72--204.66)),979.55*-510.21*-136.07/390.15*-866.63-(343.26/-881.65--387.32/-291.6+-822.53/-56.15+-+(-981.29+565.72--204.66)),True
-791.54/417.15/(796.76/674.3)/-482.99+/+-743.63*-150.48/(-*992.02*348.3*892.53)/479.52+914.17*-678.08,-791.54/417.15/(796.76/674.3)/-482.99+/+-743.63*-150.48/(-*992.02*348.3*892.53)/479.52+914.17*-678.08,False
292.93--549.41--941.6+-919.97+778.84*-429.82/(530.83--985.93)--301.92/166.15*(-799.82--594.18+-958.1-832.57+744.0),292.93--549.41--941.6+-919.97+778.84*-429.82/(530.83--985.93)--301.92/166.15*(-799.82--594.18+-958.1-832.57+744.0),True
