Original,Perturbed,Is_Equivalent
+/(-194.05--/457.85*(-570.28/900.57-(-56.91---(956.86-697.38)))),+/(-194.05--/457.85*(-570.28/900.57-(-56.91---(956.86-697.38)))),False
852.4-688.92*191.66*79.57/979.63/350.33/-394.84/(-673.36--923.42+180.04),852.4-688.92*191.66*79.57/979.63/350.33/-394.84/(-673.36--923.42+180.04),True
(940.88*-221.12+-484.04+(-259.68-805.94)*(-324.88-(-740.35+*--16.62)*+)),(940.88*-221.12+-484.04+(-259.68-805.94)*(-324.88-(-740.35+*--16.62)*+)),True
-803.43*-145.11*(-951.19*-/615.07+231.7+(786.43-927.65*+)+445.31),-803.43*-145.11*(-951.19*-/615.07+231.7+(786.43-927.65*+)+445.31),True
/--554.66*730.61-464.34+-890.52/985.54--18.43+-614.82/643.15*(985.3),/--554.66*730.61-464.34+-890.52/985.54--18.43+-614.82/643.15*(985.3),False
139.4/-949.93*-919.01/655.93+473.23+137.57-311.18**/-763.92*(-628.31),139.4/-949.93*-919.01/655.93+473.23+137.57-311.18**/-763.92*(-628.31),False
/--979.39+-394.63/-896.71+(-232.83+129.38+159.27*-627.42)*583.63+-459.42,/--979.39+-394.63/-896.71+(-232.83+129.38+159.27*-627.42)*583.63+-459.42,False
(570.76-278.98+764.47*500.01+-351.08*879.18+533.58+(-482.11+-769.11)+-866.72),(570.76-278.98+764.47*500.01+-351.08*879.18+533.58+(-482.11+-769.11)+-866.72),False
114.98+-926.04+(-677.95--522.96//*(-890.39-545.25)++-(-422.9/-64.16)),114.98+-926.04+(-677.95--522.96//*(-890.39-545.25)++-(-422.9/-64.16)),True
(835.76/(-422.3+/--936.72/183.58/-670.34*(131.47/804.03)/-155.78+-698.4)),(835.76/(-422.3+/--936.72/183.58/-670.34*(131.47/804.03)/-155.78+-698.4)),False
324.97--621.18+-+94.23/-480.43+218.77+(125.86--251.21)+(-557.01*(-902.97)),324.97--621.18+-+94.23/-480.43+218.77+(125.86--251.21)+(-557.01*(-902.97)),True
