Original,Perturbed,Is_Equivalent
-56.81*//57.83*55.04*-54.04,-56.81*//57.83*55.04*-54.04,True
-57.45/+-89.19-(-93.5+*),-57.45/+-89.19-(-93.5+*),False
-0.67-*+(-29.38*-46.85/-47.62),-0.67-*+(-29.38*-46.85/-47.62),True
-52.02/95.34-/+(-45.5/81.61),-52.02/95.34-/+(-45.5/81.61),False
-59.08--61.3-95.37--58.04*(23.31),-59.08--61.3-95.37--58.04*(23.31),True
45.85/-77.48/-68.27+/+-25.72,45.85/-77.48/-68.27+/+-25.72,False
(54.89--57.71/74.68--98.87+-),(54.89--57.71/74.68--98.87+-),False
42.78/77.72-98.55/-*24.41,42.78/77.72-98.55/-*24.41,False
22.14*82.22*79.24/-89.98/-53.59,22.14*82.22*79.24/-89.98/-53.59,False
27.62/(*+-7.06/-73.39+-58.04),27.62/(*+-7.06/-73.39+-58.04),False
39.85+20.13*20.12*+-80.69,39.85+20.13*20.12*+-80.69,True
-*95.68/88.52-8.33-89.28,-*95.68/88.52-8.33-89.28,True
/--48.52/83.36/+/54.36,/--48.52/83.36/+/54.36,False
-28.71*-56.81/35.37/69.42/-19.44,-28.71*-56.81/35.37/69.42/-19.44,True
-31.95/95.81-/***28.4,-31.95/95.81-/***28.4,False
-73.56/--/-16.25+-96.56,-73.56/--/-16.25+-96.56,False
*+58.91/-14.31+(4.77/58.24),*+58.91/-14.31+(4.77/58.24),False
-31.11/-64.22*(-82.11+-47.62/-40.95),-31.11/-64.22*(-82.11+-47.62/-40.95),True
/-52.6*+/(-94.62*-74.7),/-52.6*+/(-94.62*-74.7),False
-43.87/--(2.74+-90.37*-72.5),-43.87/--(2.74+-90.37*-72.5),False
(/+-28.02*-)*(-80.71*15.76),(/+-28.02*-)*(-80.71*15.76),False
26.09+28.07+-76.75-++-23.93,26.09+28.07+-76.75-++-23.93,True
69.68*---*56.72-(12.52),69.68*---*56.72-(12.52),False
70.91*-*-76.84*20.0/-37.04,70.91*-*-76.84*20.0/-37.04,True
-58.49-33.82*+-89.43*55.42,-58.49-33.82*+-89.43*55.42,True
-31.16-+-34.55+(84.91+12.61),-31.16-+-34.55+(84.91+12.61),True
45.69/89.19/(79.62/*+(22.7)),45.69/89.19/(79.62/*+(22.7)),True
81.48-48.69-(7.88-79.33/83.19),81.48-48.69-(7.88-79.33/83.19),True
(-99.86*-*-95.91)+(79.37--39.91),(-99.86*-*-95.91)+(79.37--39.91),True
(0.44*-1.37*88.5--+13.92),(0.44*-1.37*88.5--+13.92),False
-70.79-(69.37--7.12+-58.65+88.15),-70.79-(69.37--7.12+-58.65+88.15),False
87.48-/+-19.92*-27.82--94.11,87.48-/+-19.92*-27.82--94.11,False
10.78*-33.61+-73.15--74.5*27.48,10.78*-33.61+-73.15--74.5*27.48,False
20.88//-26.33+36.24+3.59,20.88//-26.33+36.24+3.59,True
(60.14*5.99*+-(10.94+16.33)),(60.14*5.99*+-(10.94+16.33)),True
21.24+95.4-*/-63.85-(39.06),21.24+95.4-*/-63.85-(39.06),False
-52.07-88.2--77.31++-58.85,-52.07-88.2--77.31++-58.85,False
-61.96/-43.72+-48.97*(-6.35*/),-61.96/-43.72+-48.97*(-6.35*/),True
(28.31-(56.09*70.45+-99.28*-15.93)),(28.31-(56.09*70.45+-99.28*-15.93)),True
(-10.26+-80.14+89.19+12.84)+-5.42,(-10.26+-80.14+89.19+12.84)+-5.42,True
-60.1+/*-49.32--26.73+-94.0,-60.1+/*-49.32--26.73+-94.0,False
-91.99*(-1.18*5.64)-59.72/*,-91.99*(-1.18*5.64)-59.72/*,False
-10.05*3.16/-+-37.01*-97.35,-10.05*3.16/-+-37.01*-97.35,False
(97.43/-69.91-86.56*-4.94/-33.6),(97.43/-69.91-86.56*-4.94/-33.6),True
83.81-25.29*(-*-89.97+-71.02),83.81-25.29*(-*-89.97+-71.02),False
-70.97--42.45/42.65-72.91/-84.24,-70.97--42.45/42.65-72.91/-84.24,False
