Original,Perturbed,Is_Equivalent
(-*-56.7+86.26+8.72--16.17/(-69.96/41.81-34.23+-95.27-33.37+//13.19-12.53*(+--31.23))),(-*-56.7+86.26+8.72--16.17/(-69.96/41.81-34.23+-95.27-33.37+//13.19-12.53*(+--31.23))),False
(-17.55/40.98)*-34.25+51.65+-86.07/-17.67*58.09/11.63/-7.31/96.91/(-97.91*-14.02/2.94)-53.61/22.93,(-17.55/40.98)*-34.25+51.65+-86.07/-17.67*58.09/11.63/-7.31/96.91/(-97.91*-14.02/2.94)-53.61/22.93,False
24.59*85.41--98.56+50.81-50.53/-26.13*(-76.15*(88.76/*+91.61*-33.01+55.09+17.05/-91.54--10.1)),24.59*85.41--98.56+50.81-50.53/-26.13*(-76.15*(88.76/*+91.61*-33.01+55.09+17.05/-91.54--10.1)),True
98.78/69.71+-41.59*-79.89+-56.05--90.95-56.45*(45.31/-16.62+55.97-(54.52+**16.41)+62.4*22.1),98.78/69.71+-41.59*-79.89+-56.05--90.95-56.45*(45.31/-16.62+55.97-(54.52+**16.41)+62.4*22.1),False
46.2/+/48.11+(/--42.63-55.17)--52.13--23.85+(-13.12+21.69/(51.25+-96.04*70.74+(-96.11/12.57))),46.2/+/48.11+(/--42.63-55.17)--52.13--23.85+(-13.12+21.69/(51.25+-96.04*70.74+(-96.11/12.57))),False
42.32+-62.1*-87.0*-10.73-99.57/-72.23*54.25*13.0+-43.3/++(+-39.05)+88.17+63.85+32.28,42.32+-62.1*-87.0*-10.73-99.57/-72.23*54.25*13.0+-43.3/++(+-39.05)+88.17+63.85+32.28,False
90.45--55.46-97.11-63.37*-82.11+6.02+-29.76*-14.8+12.33/(58.81/17.82+(-43.99/51.02+-15.09)+94.91),90.45--55.46-97.11-63.37*-82.11+6.02+-29.76*-14.8+12.33/(58.81/17.82+(-43.99/51.02+-15.09)+94.91),True
87.38+(26.7-6.79/(38.08*11.31)-16.27+-79.51+-20.36*37.03-(18.36*1.0*46.85--57.15)/42.58)-(-54.28),87.38+(26.7-6.79/(38.08*11.31)-16.27+-79.51+-20.36*37.03-(18.36*1.0*46.85--57.15)/42.58)-(-54.28),True
57.3*(-95.83--65.94*-57.3*(19.75*/*(-24.87*(-2.36/-54.95+(16.25*64.63)--54.99--89.13/68.56/(-15.94))))),57.3*(-95.83--65.94*-57.3*(19.75*/*(-24.87*(-2.36/-54.95+(16.25*64.63)--54.99--89.13/68.56/(-15.94))))),False
-66.74*(95.62--90.01+72.47-96.56/(80.21+(-34.64/-97.13*61.31)-26.44)-*)-44.94/30.99--16.07+-6.14,-66.74*(95.62--90.01+72.47-96.56/(80.21+(-34.64/-97.13*61.31)-26.44)-*)-44.94/30.99--16.07+-6.14,True
-14.7/24.76/66.8*-94.46/(17.63/-47.51-64.31/95.06/---29.28*28.52-(-83.13+-65.56*29.12*92.89)),-14.7/24.76/66.8*-94.46/(17.63/-47.51-64.31/95.06/---29.28*28.52-(-83.13+-65.56*29.12*92.89)),False
54.6--10.87*-99.75/(-27.24+(-84.0/74.57)-30.59)/(-29.6*(28.24*-55.63--66.65--90.06)+78.62/-13.44-/),54.6--10.87*-99.75/(-27.24+(-84.0/74.57)-30.59)/(-29.6*(28.24*-55.63--66.65--90.06)+78.62/-13.44-/),True
(18.67+-55.43)/-74.36+(58.89/-88.45/-76.84/52.71/24.0*-85.21-23.81*-75.23*-73.21/85.43)*42.14+4.34,(18.67+-55.43)/-74.36+(58.89/-88.45/-76.84/52.71/24.0*-85.21-23.81*-75.23*-73.21/85.43)*42.14+4.34,False
